LSP,L L E,L_3 L E,L L E_3,L_3 L E_3
B,{'llX'},"{'llX', 'TlX'}",{'TlX'},"{'TTX', 'TlX'}"
W^+,"{'lX', 'lllX', 'TllX', 'tbllX', 'vvllX', 'jjllX', 'lll'}","{'lllX', 'lX', 'vvTlX', 'TllX', 'Tll', 'tbTlX', 'jjTlX', 'TTlX', 'tbllX', 'vvllX', 'jjllX'}","{'vvTlX', 'TllX', 'Tll', 'tbTlX', 'TTlX', 'jjTlX', 'TX'}","{'vvTTX', 'vvTlX', 'TllX', 'tbTlX', 'TTTX', 'TTl', 'tbTTX', 'TTlX', 'jjTlX', 'jjTTX', 'TX'}"
W^0,"{'ttllX', 'llllX', 'bbllX', 'llX', 'TTllX', 'vvllX', 'jjllX'}","{'ttllX', 'bbTlX', 'llllX', 'vvTlX', 'TlX', 'TlllX', 'bbllX', 'llX', 'TTllX', 'TTTlX', 'jjTlX', 'ttTlX', 'vvllX', 'jjllX'}","{'bbTlX', 'vvTlX', 'TlX', 'TlllX', 'TTTlX', 'jjTlX', 'ttTlX'}","{'vvTTX', 'bbTlX', 'vvTlX', 'TlX', 'TTX', 'TlllX', 'ttTTX', 'bbTTX', 'TTTTX', 'TTllX', 'TTTlX', 'jjTlX', 'ttTlX', 'jjTTX'}"
G,"{'ttllX', 'tblll', 'tblX', 'bbllX', 'jjlll', 'jjllX', 'jjlX'}","{'ttllX', 'bbTlX', 'tblX', 'jjTll', 'bbllX', 'tbTll', 'jjTlX', 'ttTlX', 'jjllX', 'jjlX'}","{'bbTlX', 'tbTX', 'jjTll', 'jjTX', 'tbTll', 'jjTlX', 'ttTlX'}","{'bbTlX', 'tbTX', 'tbTTl', 'ttTTX', 'bbTTX', 'jjTX', 'jjTTX', 'jjTlX', 'ttTlX', 'jjTTl'}"
H^+,"{'vlll', 'vllX', 'vlX'}","{'vTlX', 'vllX', 'vlX', 'vTll'}","{'vTlX', 'vTX', 'vTll'}","{'vTTl', 'vTlX', 'vTX', 'vTTX'}"
H^0,"{'vlll', 'vllX', 'vlX'}","{'vTlX', 'vllX', 'vlX', 'vTll'}","{'vTlX', 'vTX', 'vTll'}","{'vTTl', 'vTlX', 'vTX', 'vTTX'}"
q,"{'jlll', 'jlX', 'jllX'}","{'jTlX', 'jTll', 'jlX', 'jllX'}","{'jTlX', 'jTll', 'jTX'}","{'jTlX', 'jTTX', 'jTX', 'jTTl'}"
d,{'jllX'},"{'jTlX', 'jllX'}",{'jTlX'},"{'jTlX', 'jTTX'}"
u,{'jllX'},"{'jTlX', 'jllX'}",{'jTlX'},"{'jTlX', 'jTTX'}"
l,"{'lX', 'lllX'}","{'lX', 'lllX', 'TllX'}","{'TllX', 'TX'}","{'TllX', 'TTlX', 'TX'}"
nu,"{'ll', 'llX'}","{'Tl', 'llX', 'TlX', 'Tlll'}","{'Tl', 'TlX'}","{'TT', 'TTX', 'TTll', 'TlX'}"
e,"{'lX', 'lllX'}","{'lX', 'lllX', 'TX', 'TllX'}",{'TllX'},"{'TTlX', 'TllX'}"
b_L,"{'tlX', 'bllX', 'tlll'}","{'tlX', 'tTll', 'bllX', 'bTlX'}","{'tTll', 'tTX', 'bTlX'}","{'tTX', 'bTTX', 'bTlX', 'tTTl'}"
t_L,"{'blll', 'blX', 'tllX'}","{'tTlX', 'bTll', 'blX', 'tllX'}","{'tTlX', 'bTll', 'bTX'}","{'bTTl', 'tTlX', 'bTX', 'tTTX'}"
t,{'tllX'},"{'tTlX', 'tllX'}",{'tTlX'},"{'tTlX', 'tTTX'}"
b,{'bllX'},"{'bllX', 'bTlX'}",{'bTlX'},"{'bTTX', 'bTlX'}"
tau_L,"{'lX', 'lllX', 'TllX'}","{'lX', 'TTlX', 'TllX'}","{'TllX', 'TTlX', 'TX'}","{'TTTX', 'TTlX', 'TX'}"
nu_tau,"{'llX', 'TlX', 'Tlll'}","{'ll', 'llX', 'TlX', 'TTll'}","{'TTX', 'TlX', 'TTll'}","{'Tl', 'TTX', 'TlX', 'TTTl'}"
tau,{'TllX'},"{'TTlX', 'TllX'}","{'lX', 'TTlX'}","{'lX', 'TTTX', 'TTlX', 'TX'}"
