CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L L E,B,B,llX,llX,"['B -- (l) -- l -- [X,l]', 'B -- (X) -- nu -- [l,l]', 'B -- (l) -- e -- [l,X]']","['B -- (l) -- l -- [X,l]', 'B -- (X) -- nu -- [l,l]', 'B -- (l) -- e -- [l,X]']",llllX, 2l + MET, 2l + MET, 4l + MET
L L E,W^+,W^+,lX,lX,"['W^+ -- (X) -- l -- [X,l]']","['W^+ -- (X) -- l -- [X,l]']",llX, 1l + MET, 1l + MET, 2l + MET
L L E,W^+,W^+,lX,lllX,"['W^+ -- (X) -- l -- [X,l]']","['W^+ -- (X) -- l -- (l) -- B -- (l) -- e -- [l,X]']",llllX, 1l + MET, 3l + MET, 4l + MET
L L E,W^+,W^+,lX,TllX,"['W^+ -- (X) -- l -- [X,l]']","['W^+ -- (X) -- tau_L -- (T) -- B -- (l) -- e -- [l,X]']",TlllX, 1l + MET, 2l + 1tau + MET, 3l + 1tau + MET
L L E,W^+,W^+,lX,tbllX,"['W^+ -- (X) -- l -- [X,l]']","['W^+ -- (t) -- b_L -- (b) -- B -- (l) -- e -- [l,X]']",tblllX, 1l + MET, 1t + 1b + 2l + MET, 1t + 1b + 3l + MET
L L E,W^+,W^+,lX,vvllX,"['W^+ -- (X) -- l -- [X,l]']","['W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,X]']",vvlllX, 1l + MET, 2l + 2v + MET, 3l + 2v + MET
L L E,W^+,W^+,lX,jjllX,"['W^+ -- (X) -- l -- [X,l]']","['W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [l,X]']",jjlllX, 1l + MET, 2j_l + 2l + MET, 2j_l + 3l + MET
L L E,W^+,W^+,lX,lll,"['W^+ -- (X) -- l -- [X,l]']","['W^+ -- (l) -- nu -- [l,l]']",llllX, 1l + MET, 3l, 4l + MET
L L E,W^+,W^+,lllX,lX,"['W^+ -- (X) -- l -- (l) -- B -- (l) -- e -- [l,X]']","['W^+ -- (X) -- l -- [X,l]']",llllX, 3l + MET, 1l + MET, 4l + MET
L L E,W^+,W^+,lllX,lllX,"['W^+ -- (X) -- l -- (l) -- B -- (l) -- e -- [l,X]']","['W^+ -- (X) -- l -- (l) -- B -- (l) -- e -- [l,X]']",llllllX, 3l + MET, 3l + MET, 6l + MET
L L E,W^+,W^+,lllX,TllX,"['W^+ -- (X) -- l -- (l) -- B -- (l) -- e -- [l,X]']","['W^+ -- (X) -- tau_L -- (T) -- B -- (l) -- e -- [l,X]']",TlllllX, 3l + MET, 2l + 1tau + MET, 5l + 1tau + MET
L L E,W^+,W^+,lllX,tbllX,"['W^+ -- (X) -- l -- (l) -- B -- (l) -- e -- [l,X]']","['W^+ -- (t) -- b_L -- (b) -- B -- (l) -- e -- [l,X]']",tblllllX, 3l + MET, 1t + 1b + 2l + MET, 1t + 1b + 5l + MET
L L E,W^+,W^+,lllX,vvllX,"['W^+ -- (X) -- l -- (l) -- B -- (l) -- e -- [l,X]']","['W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,X]']",vvlllllX, 3l + MET, 2l + 2v + MET, 5l + 2v + MET
L L E,W^+,W^+,lllX,jjllX,"['W^+ -- (X) -- l -- (l) -- B -- (l) -- e -- [l,X]']","['W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [l,X]']",jjlllllX, 3l + MET, 2j_l + 2l + MET, 2j_l + 5l + MET
L L E,W^+,W^+,lllX,lll,"['W^+ -- (X) -- l -- (l) -- B -- (l) -- e -- [l,X]']","['W^+ -- (l) -- nu -- [l,l]']",llllllX, 3l + MET, 3l, 6l + MET
L L E,W^+,W^+,TllX,lX,"['W^+ -- (X) -- tau_L -- (T) -- B -- (l) -- e -- [l,X]']","['W^+ -- (X) -- l -- [X,l]']",TlllX, 2l + 1tau + MET, 1l + MET, 3l + 1tau + MET
L L E,W^+,W^+,TllX,lllX,"['W^+ -- (X) -- tau_L -- (T) -- B -- (l) -- e -- [l,X]']","['W^+ -- (X) -- l -- (l) -- B -- (l) -- e -- [l,X]']",TlllllX, 2l + 1tau + MET, 3l + MET, 5l + 1tau + MET
L L E,W^+,W^+,TllX,TllX,"['W^+ -- (X) -- tau_L -- (T) -- B -- (l) -- e -- [l,X]']","['W^+ -- (X) -- tau_L -- (T) -- B -- (l) -- e -- [l,X]']",TTllllX, 2l + 1tau + MET, 2l + 1tau + MET, 4l + 2tau + MET
L L E,W^+,W^+,TllX,tbllX,"['W^+ -- (X) -- tau_L -- (T) -- B -- (l) -- e -- [l,X]']","['W^+ -- (t) -- b_L -- (b) -- B -- (l) -- e -- [l,X]']",tbTllllX, 2l + 1tau + MET, 1t + 1b + 2l + MET, 1t + 1b + 4l + 1tau + MET
L L E,W^+,W^+,TllX,vvllX,"['W^+ -- (X) -- tau_L -- (T) -- B -- (l) -- e -- [l,X]']","['W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,X]']",vvTllllX, 2l + 1tau + MET, 2l + 2v + MET, 4l + 1tau + 2v + MET
