CAT A,CAT B,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
U D D,L L E,B,B,jjj,llX,"['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']","['B -- (l) -- l -- [X,l]', 'B -- (X) -- nu -- [l,l]', 'B -- (l) -- e -- [l,X]']",jjjllX, 3j_l, 2l + MET, 3j_l + 2l + MET
U D D,L_3 L E,B,B,jjj,llX,"['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']","['B -- (l) -- l -- [X,l]', 'B -- (X) -- nu_tau -- [l,l]', 'B -- (l) -- e -- [l,X]']",jjjllX, 3j_l, 2l + MET, 3j_l + 2l + MET
U D D,L_3 L E,B,B,jjj,TlX,"['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']","['B -- (T) -- tau_L -- [X,l]', 'B -- (X) -- nu -- [T,l]', 'B -- (l) -- e -- [T,X]']",jjjTlX, 3j_l, 1l + 1tau + MET, 3j_l + 1l + 1tau + MET
U D D,L L E_3,B,B,jjj,TlX,"['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']","['B -- (l) -- l -- [X,T]', 'B -- (X) -- nu -- [l,T]', 'B -- (T) -- tau -- [l,X]']",jjjTlX, 3j_l, 1l + 1tau + MET, 3j_l + 1l + 1tau + MET
U D D,L_3 L E_3,B,B,jjj,TTX,"['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']","['B -- (T) -- tau_L -- [X,T]', 'B -- (X) -- nu -- [T,T]', 'B -- (T) -- tau -- [T,X]']",jjjTTX, 3j_l, 2tau + MET, 3j_l + 2tau + MET
U D D,L_3 L E_3,B,B,jjj,TlX,"['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']","['B -- (l) -- l -- [X,T]', 'B -- (X) -- nu_tau -- [l,T]', 'B -- (T) -- tau -- [l,X]']",jjjTlX, 3j_l, 1l + 1tau + MET, 3j_l + 1l + 1tau + MET
U D_3 D,L L E,B,B,bjj,llX,"['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']","['B -- (l) -- l -- [X,l]', 'B -- (X) -- nu -- [l,l]', 'B -- (l) -- e -- [l,X]']",bjjllX, 2j_l + 1b, 2l + MET, 2j_l + 1b + 2l + MET
U D_3 D,L_3 L E,B,B,bjj,llX,"['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']","['B -- (l) -- l -- [X,l]', 'B -- (X) -- nu_tau -- [l,l]', 'B -- (l) -- e -- [l,X]']",bjjllX, 2j_l + 1b, 2l + MET, 2j_l + 1b + 2l + MET
U D_3 D,L_3 L E,B,B,bjj,TlX,"['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']","['B -- (T) -- tau_L -- [X,l]', 'B -- (X) -- nu -- [T,l]', 'B -- (l) -- e -- [T,X]']",bjjTlX, 2j_l + 1b, 1l + 1tau + MET, 2j_l + 1b + 1l + 1tau + MET
U D_3 D,L L E_3,B,B,bjj,TlX,"['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']","['B -- (l) -- l -- [X,T]', 'B -- (X) -- nu -- [l,T]', 'B -- (T) -- tau -- [l,X]']",bjjTlX, 2j_l + 1b, 1l + 1tau + MET, 2j_l + 1b + 1l + 1tau + MET
