CAT A,CAT B,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L L E,U D D,B,B,llX,jjj,"['B -- (l) -- l -- [X,l]', 'B -- (X) -- nu -- [l,l]', 'B -- (l) -- e -- [l,X]']","['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']",jjjllX, 2l + MET, 3j_l, 3j_l + 2l + MET
L L E,U D_3 D,B,B,llX,bjj,"['B -- (l) -- l -- [X,l]', 'B -- (X) -- nu -- [l,l]', 'B -- (l) -- e -- [l,X]']","['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']",bjjllX, 2l + MET, 2j_l + 1b, 2j_l + 1b + 2l + MET
L L E,U D_3 D_3,B,B,llX,bbj,"['B -- (l) -- l -- [X,l]', 'B -- (X) -- nu -- [l,l]', 'B -- (l) -- e -- [l,X]']","['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']",bbjllX, 2l + MET, 1j_l + 2b, 1j_l + 2b + 2l + MET
L L E,U_3 D D,B,B,llX,tjj,"['B -- (l) -- l -- [X,l]', 'B -- (X) -- nu -- [l,l]', 'B -- (l) -- e -- [l,X]']","['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']",tjjllX, 2l + MET, 2j_l + 1t, 2j_l + 1t + 2l + MET
L L E,U_3 D_3 D,B,B,llX,tbj,"['B -- (l) -- l -- [X,l]', 'B -- (X) -- nu -- [l,l]', 'B -- (l) -- e -- [l,X]']","['B -- (t) -- t -- [j,b]', 'B -- (j) -- d -- [t,b]', 'B -- (b) -- b -- [t,j]']",tbjllX, 2l + MET, 1j_l + 1t + 1b, 1j_l + 1t + 1b + 2l + MET
L L E,U_3 D_3 D_3,B,B,llX,tbb,"['B -- (l) -- l -- [X,l]', 'B -- (X) -- nu -- [l,l]', 'B -- (l) -- e -- [l,X]']","['B -- (t) -- t -- [b,b]', 'B -- (b) -- b -- [t,b]', 'B -- (b) -- b -- [t,b]']",tbbllX, 2l + MET, 1t + 2b, 1t + 2b + 2l + MET
L_3 L E,U D D,B,B,llX,jjj,"['B -- (l) -- l -- [X,l]', 'B -- (X) -- nu_tau -- [l,l]', 'B -- (l) -- e -- [l,X]']","['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']",jjjllX, 2l + MET, 3j_l, 3j_l + 2l + MET
L_3 L E,U D D,B,B,TlX,jjj,"['B -- (T) -- tau_L -- [X,l]', 'B -- (X) -- nu -- [T,l]', 'B -- (l) -- e -- [T,X]']","['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']",jjjTlX, 1l + 1tau + MET, 3j_l, 3j_l + 1l + 1tau + MET
L_3 L E,U D_3 D,B,B,llX,bjj,"['B -- (l) -- l -- [X,l]', 'B -- (X) -- nu_tau -- [l,l]', 'B -- (l) -- e -- [l,X]']","['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']",bjjllX, 2l + MET, 2j_l + 1b, 2j_l + 1b + 2l + MET
L_3 L E,U D_3 D,B,B,TlX,bjj,"['B -- (T) -- tau_L -- [X,l]', 'B -- (X) -- nu -- [T,l]', 'B -- (l) -- e -- [T,X]']","['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']",bjjTlX, 1l + 1tau + MET, 2j_l + 1b, 2j_l + 1b + 1l + 1tau + MET
L_3 L E,U D_3 D_3,B,B,llX,bbj,"['B -- (l) -- l -- [X,l]', 'B -- (X) -- nu_tau -- [l,l]', 'B -- (l) -- e -- [l,X]']","['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']",bbjllX, 2l + MET, 1j_l + 2b, 1j_l + 2b + 2l + MET
