CAT,LSP,AA,AB,BB,ALL,AA (Common),AB (Common),BB (Common),ALL (Common),AA (Same Flavour),AB (Same Flavour),BB (Same Flavour),ALL (Same Flavour)
L L E,['B'],{'llllE'},-,-,{'llllE'},llllE,-,-,llllE,['llllE'],-,-,['llllE']
L L E,"['W^+', 'W^0']","{'tblllE', 'vvjjllllE', 'tbjjllllE', 'llllll', 'vvtbllllE', 'ttbbllllE', 'LLllllE', 'vvLllllE', 'vvvvllllE', 'vvlllE', 'jjjjllllE', 'jjLllllE', 'jjlllE', 'LlllE', 'tbLllllE', 'llE'}","{'bblllE', 'jjTTllllE', 'tbllllllE', 'vvllllllE', 'vvTTllllE', 'lllE', 'jjllllllE', 'ttLllllE', 'vvvvllllE', 'tbbbllllE', 'jjLllllE', 'vvllllE', 'ttlllE', 'vvLllllE', 'vvlllE', '33jjllllE', 'tbllllE', 'LLlllE', 'jjllllE', 'tbTTllllE', 'vv33llllE', 'vvjjllllE', 'tttbllllE', 'LLLllllE', 'bbLllllE', 'jjjjllllE', 'jjlllE'}","{'ttttllllE', 'jjTTllllE', 'bbjjllllE', 'vvllllllE', 'bbllllE', 'llllllE', 'vvTTllllE', 'jjllllllE', 'bbllllllE', 'vvvvllllE', 'llllE', 'ttllllE', 'vvllllE', 'ttllllllE', 'TTllllllE', 'ttTTllllE', 'vvttllllE', 'bbbbllllE', 'jjllllE', 'bbTTllllE', 'TTllllE', 'vvjjllllE', 'ttbbllllE', 'llllllllE', 'ttjjllllE', 'jjjjllllE', 'vvbbllllE', 'TTTTllllE'}","{'3333llllE', 'LLllllE', 'jjTTllllE', 'vvllllllE', '33LllllE', '33TTllllE', 'llE', 'vvTTllllE', 'lllE', 'jjllllllE', 'vvvvllllE', 'jjLllllE', 'vvllllE', 'LlllE', 'TTllllllE', 'vvLllllE', 'vvlllE', '33jjllllE', 'LLlllE', 'jjllllE', 'vv33llllE', 'vvjjllllE', 'llllll', 'LLLllllE', '33lllE', 'llllllllE', '33llllE', '33llllllE', 'jjjjllllE', 'TTTTllllE', 'jjlllE'}",ll,lllE,llllE,ll,"['jjvvllllE', 'tbvvllllE', 'jjLllllE', 'tbLllllE', 'tblllE', 'jjlllE', 'llllll', 'tbjjllllE', 'ttbbllllE', 'jjjjllllE', 'LlllE', 'vvLllllE', 'vvlllE', 'llE', 'LLllllE', 'vvvvllllE']","['(JJ)vvllllE', 'lllE', 'vvllllE', '(JJ)LllllE', '(JJ)lllE', 'LLLllllE', 'tbbbllllE', '33jjllllE', 'tttbllllE', 'jjjjllllE', 'LLlllE', 'vvLllllE', '(LL)vvllllE', 'vvlllE', 'tbllllE', 'jjllllE', 'jjTTllllE', 'tbllllllE', 'jjllllllE', 'tbTTllllE', 'vvvvllllE']","['(JJ)vvllllE', 'TTllllllE', 'llllllllE', 'TTTTllllE', 'vvllllE', 'ttttllllE', 'bbjjllllE', 'bbbbllllE', 'ttbbllllE', 'ttjjllllE', 'jjjjllllE', 'llllE', '(LL)vvllllE', '(JJ)llllE', 'jjTTllllE', 'jjllllllE', 'bbllllllE', 'ttllllllE', 'ttTTllllE', 'bbTTllllE', '(LL)llllE', 'vvvvllllE']","['TTllllllE', 'llllllllE', 'TTTTllllE', 'llllll', 'LLLllllE', 'vvLllllE', 'llE', '(JJ)llllE', 'LLllllE', 'vvvvllllE', '(JJ)vvllllE', '(JJ)LllllE', '3333llllE', '33jjllllE', 'jjjjllllE', 'LLlllE', 'vvlllE', '(LL)vvllllE', 'jjTTllllE', '33TTllllE', 'jjllllllE', '33llllllE', 'vvllllE', '(JJ)lllE', 'lllE', 'LlllE']"
L L E,['G'],"{'ttttllllE', 'tbjjllE', 'jjjjllllll', 'tbbblllllE', 'ttbbllllll', 'jjjjllE', 'ttbbllE', 'tbjjllllll', 'tttblllE', '33jjlllE', '33jjlllllE', 'tbbblllE', 'jjjjlllE', '33jjllllE', 'bbbbllllE', 'ttbbllllE', 'tttblllllE', 'jjjjllllE', 'jjjjlllllE'}",-,-,"{'ttttllllE', 'tbjjllE', 'jjjjllllll', 'tbbblllllE', 'ttbbllllll', 'jjjjllE', 'ttbbllE', 'tbjjllllll', 'tttblllE', '33jjlllE', '33jjlllllE', 'tbbblllE', 'jjjjlllE', '33jjllllE', 'bbbbllllE', 'ttbbllllE', 'tttblllllE', 'jjjjllllE', 'jjjjlllllE'}",ll,-,-,ll,"['ttttllllE', '33jjllllE', 'bbbbllllE', 'ttbbllllE', 'jjjjllllE', 'tbjjllE', 'jjjjllE', 'ttbbllE', 'tbbblllllE', '33jjlllllE', 'tttblllllE', 'jjjjlllllE', 'tttblllE', '33jjlllE', 'tbbblllE', 'jjjjlllE', 'jjjjllllll', 'ttbbllllll', 'tbjjllllll']",-,-,"['ttttllllE', '33jjllllE', 'bbbbllllE', 'ttbbllllE', 'jjjjllllE', 'tbjjllE', 'jjjjllE', 'ttbbllE', 'tbbblllllE', '33jjlllllE', 'tttblllllE', 'jjjjlllllE', 'tttblllE', '33jjlllE', 'tbbblllE', 'jjjjlllE', 'jjjjllllll', 'ttbbllllll', 'tbjjllllll']"
L L E,"['H^+', 'H^0']","{'vvllllll', 'vvlllE', 'vvllE', 'vvlllllE', 'vvllllE'}","{'vvllllll', 'vvlllE', 'vvllE', 'vvlllllE', 'vvllllE'}","{'vvllllll', 'vvlllE', 'vvllE', 'vvlllllE', 'vvllllE'}","{'vvllllll', 'vvlllE', 'vvllE', 'vvlllllE', 'vvllllE'}",vvll,vvll,vvll,vvll,"['vvlllE', 'vvlllllE', 'vvllllE', 'vvllE', 'vvllllll']","['vvlllE', 'vvlllllE', 'vvllllE', 'vvllE', 'vvllllll']","['vvlllE', 'vvlllllE', 'vvllllE', 'vvllE', 'vvllllll']","['vvlllE', 'vvlllllE', 'vvllllE', 'vvllE', 'vvllllll']"
L L E,['q'],"{'jjllllll', 'jjlllllE', 'jjllE', 'jjllllE', 'jjlllE'}",-,-,"{'jjllllll', 'jjlllllE', 'jjllE', 'jjllllE', 'jjlllE'}",lljj,-,-,lljj,"['jjlllllE', 'jjlllE', 'jjllE', 'jjllllll', 'jjllllE']",-,-,"['jjlllllE', 'jjlllE', 'jjllE', 'jjllllll', 'jjllllE']"
L L E,['d'],{'jjllllE'},-,-,{'jjllllE'},llllEjj,-,-,llllEjj,['jjllllE'],-,-,['jjllllE']
L L E,['u'],{'jjllllE'},-,-,{'jjllllE'},llllEjj,-,-,llllEjj,['jjllllE'],-,-,['jjllllE']
L L E,"['l', 'nu']","{'llllllE', 'llE', 'llllE'}","{'lllE', 'lllllE'}","{'llllE', 'llll'}","{'lllE', 'llllE', 'lllllE', 'llllllE', 'llE', 'llll'}",llE,lllE,llll,ll,"['llE', 'llllllE', 'llllE']","['lllllE', 'lllE']","['llll', 'llllE']","['llll', 'lllE', 'lllllE', 'llE', 'llllllE', 'llllE']"
L L E,['e'],"{'llllllE', 'llE', 'llllE'}",-,-,"{'llllllE', 'llE', 'llllE'}",llE,-,-,llE,"['llE', 'llllllE', 'llllE']",-,-,"['llE', 'llllllE', 'llllE']"
L L E,"['b_L', 't_L']","{'tblllllE', 'tblllE', 'ttllllll', 'ttllllE', 'ttllE', 'bbllllE'}","{'bblllE', 'ttlllE', 'tbllE', 'tbllllE', 'bblllllE', 'ttlllllE', 'tbllllll'}","{'tblllllE', 'tblllE', 'ttllllE', 'bbllllll', 'bbllE', 'bbllllE'}","{'33lllllE', '33lllE', '33llE', '33llllE', '33llllll'}",ll,ll,ll,ll,"['tblllllE', 'tblllE', 'ttllE', 'ttllllll', 'ttllllE', 'bbllllE']","['bblllllE', 'ttlllllE', 'bblllE', 'ttlllE', 'tbllE', 'tbllllll', 'tbllllE']","['tblllllE', 'tblllE', 'bbllE', 'bbllllll', 'ttllllE', 'bbllllE']","['33lllllE', '33lllE', '33llE', '33llllll', '33llllE']"
L L E,['t'],{'ttllllE'},-,-,{'ttllllE'},ttEllll,-,-,ttEllll,['ttllllE'],-,-,['ttllllE']
L L E,['b'],{'bbllllE'},-,-,{'bbllllE'},llllbbE,-,-,llllbbE,['bbllllE'],-,-,['bbllllE']
L L E,"['tau_L', 'nu_tau']","{'llE', 'LlllE', 'LLllllE'}","{'LLlllE', 'LTlllllE', 'LllE'}","{'TTllllll', 'LTllllE', 'LLllE'}","{'TTllllll', 'LLllllE', 'LLllE', 'LLlllE', 'LTlllllE', 'LllE', 'llE'}",llE,llE,ll,ll,"['LLllllE', 'llE', 'LlllE']","['LLlllE', 'LTlllllE', 'LllE']","['LTllllE', 'LLllE', 'TTllllll']","['LllE', 'TTllllll', 'LTlllllE', 'LLllE', 'LLlllE', 'llE', 'LLllllE']"
L L E,['tau'],{'TTllllE'},-,-,{'TTllllE'},llllETT,-,-,llllETT,['TTllllE'],-,-,['TTllllE']
L_3 L E,['B'],{'LLllE'},-,-,{'LLllE'},llE,-,-,llE,['LLllE'],-,-,['LLllE']
