LSP,L L E,L_3 L E,L L E_3,L_3 L E_3
B,{'llE'},"{'TlE', 'llE'}",{'TlE'},"{'TTE', 'TlE'}"
W^+,"{'lll', 'vvllE', 'tbllE', 'TllE', 'lllE', 'jjllE', 'lE'}","{'TTlE', 'vvTlE', 'vvllE', 'jjTlE', 'tbTlE', 'tbllE', 'TllE', 'lllE', 'jjllE', 'lE', 'Tll'}","{'TTlE', 'vvTlE', 'TllE', 'jjTlE', 'TE', 'tbTlE', 'Tll'}","{'TTlE', 'jjTTE', 'vvTTE', 'TTTE', 'vvTlE', 'TllE', 'tbTTE', 'jjTlE', 'TE', 'tbTlE', 'TTl'}"
W^0,"{'bbllE', 'vvllE', 'ttllE', 'llllE', 'jjllE', 'TTllE', 'llE'}","{'bbTlE', 'bbllE', 'TTTlE', 'vvTlE', 'vvllE', 'jjTlE', 'ttllE', 'llllE', 'TlllE', 'ttTlE', 'jjllE', 'TTllE', 'TlE', 'llE'}","{'bbTlE', 'TTTlE', 'vvTlE', 'jjTlE', 'TlllE', 'ttTlE', 'TlE'}","{'bbTlE', 'jjTTE', 'vvTTE', 'TTTlE', 'vvTlE', 'TTE', 'jjTlE', 'TTTTE', 'bbTTE', 'ttTTE', 'TlllE', 'ttTlE', 'TTllE', 'TlE'}"
G,"{'bbllE', 'jjlll', 'tblll', 'tblE', 'ttllE', 'jjlE', 'jjllE'}","{'bbTlE', 'bbllE', 'tblE', 'jjTll', 'jjTlE', 'ttllE', 'ttTlE', 'jjlE', 'jjllE', 'tbTll'}","{'bbTlE', 'jjTE', 'jjTlE', 'jjTll', 'tbTE', 'ttTlE', 'tbTll'}","{'bbTlE', 'jjTTE', 'jjTE', 'jjTTl', 'jjTlE', 'bbTTE', 'ttTTE', 'tbTE', 'ttTlE', 'tbTTl'}"
H^+,"{'vlE', 'vlll', 'vllE'}","{'vlE', 'vTll', 'vllE', 'vTlE'}","{'vTE', 'vTll', 'vTlE'}","{'vTE', 'vTTl', 'vTTE', 'vTlE'}"
H^0,"{'vlE', 'vlll', 'vllE'}","{'vlE', 'vTll', 'vllE', 'vTlE'}","{'vTE', 'vTll', 'vTlE'}","{'vTE', 'vTTl', 'vTTE', 'vTlE'}"
q,"{'jlll', 'jllE', 'jlE'}","{'jTlE', 'jllE', 'jlE', 'jTll'}","{'jTE', 'jTlE', 'jTll'}","{'jTE', 'jTlE', 'jTTE', 'jTTl'}"
d,{'jllE'},"{'jTlE', 'jllE'}",{'jTlE'},"{'jTTE', 'jTlE'}"
u,{'jllE'},"{'jTlE', 'jllE'}",{'jTlE'},"{'jTTE', 'jTlE'}"
l,"{'lllE', 'lE'}","{'TllE', 'lllE', 'lE'}","{'TE', 'TllE'}","{'TE', 'TllE', 'TTlE'}"
nu,"{'llE', 'll'}","{'Tl', 'TlE', 'llE', 'Tlll'}","{'Tl', 'TlE'}","{'TTE', 'TTll', 'TlE', 'TT'}"
e,"{'lllE', 'lE'}","{'TllE', 'lllE', 'lE', 'TE'}",{'TllE'},"{'TllE', 'TTlE'}"
b_L,"{'tlll', 'bllE', 'tlE'}","{'tTll', 'bTlE', 'bllE', 'tlE'}","{'tTll', 'tTE', 'bTlE'}","{'tTE', 'tTTl', 'bTlE', 'bTTE'}"
t_L,"{'blll', 'blE', 'tllE'}","{'tTlE', 'bTll', 'blE', 'tllE'}","{'tTlE', 'bTE', 'bTll'}","{'tTlE', 'bTE', 'bTTl', 'tTTE'}"
t,{'tllE'},"{'tTlE', 'tllE'}",{'tTlE'},"{'tTlE', 'tTTE'}"
b,{'bllE'},"{'bTlE', 'bllE'}",{'bTlE'},"{'bTTE', 'bTlE'}"
tau_L,"{'TllE', 'lllE', 'lE'}","{'TllE', 'lE', 'TTlE'}","{'TE', 'TllE', 'TTlE'}","{'TE', 'TTlE', 'TTTE'}"
nu_tau,"{'TlE', 'llE', 'Tlll'}","{'TTll', 'TlE', 'llE', 'll'}","{'TTll', 'TTE', 'TlE'}","{'Tl', 'TTE', 'TlE', 'TTTl'}"
tau,{'TllE'},"{'TllE', 'TTlE'}","{'lE', 'TTlE'}","{'TTTE', 'lE', 'TTlE', 'TE'}"
