CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L L E,B,B,llE,llE,"['B -- (l) -- l -- [E,l]', 'B -- (E) -- nu -- [l,l]', 'B -- (l) -- e -- [l,E]']","['B -- (l) -- l -- [E,l]', 'B -- (E) -- nu -- [l,l]', 'B -- (l) -- e -- [l,E]']",llllE, 2l + MET, 2l + MET, 4l + MET
L L E,W^+,W^+,lll,lll,"['W^+ -- (l) -- nu -- [l,l]']","['W^+ -- (l) -- nu -- [l,l]']",llllll, 3l, 3l, 6l
L L E,W^+,W^+,lll,vvllE,"['W^+ -- (l) -- nu -- [l,l]']","['W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']",vvlllllE, 3l, 2l + 2v + MET, 5l + 2v + MET
L L E,W^+,W^+,lll,tbllE,"['W^+ -- (l) -- nu -- [l,l]']","['W^+ -- (t) -- b_L -- (b) -- B -- (l) -- e -- [l,E]']",tblllllE, 3l, 1t + 1b + 2l + MET, 1t + 1b + 5l + MET
L L E,W^+,W^+,lll,TllE,"['W^+ -- (l) -- nu -- [l,l]']","['W^+ -- (E) -- tau_L -- (T) -- B -- (l) -- e -- [l,E]']",TlllllE, 3l, 2l + 1tau + MET, 5l + 1tau + MET
L L E,W^+,W^+,lll,lllE,"['W^+ -- (l) -- nu -- [l,l]']","['W^+ -- (E) -- l -- (l) -- B -- (l) -- e -- [l,E]']",llllllE, 3l, 3l + MET, 6l + MET
L L E,W^+,W^+,lll,jjllE,"['W^+ -- (l) -- nu -- [l,l]']","['W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [l,E]']",jjlllllE, 3l, 2j_l + 2l + MET, 2j_l + 5l + MET
L L E,W^+,W^+,lll,lE,"['W^+ -- (l) -- nu -- [l,l]']","['W^+ -- (E) -- l -- [E,l]']",llllE, 3l, 1l + MET, 4l + MET
L L E,W^+,W^+,vvllE,lll,"['W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']","['W^+ -- (l) -- nu -- [l,l]']",vvlllllE, 2l + 2v + MET, 3l, 5l + 2v + MET
L L E,W^+,W^+,vvllE,vvllE,"['W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']","['W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']",vvvvllllE, 2l + 2v + MET, 2l + 2v + MET, 4l + 4v + MET
L L E,W^+,W^+,vvllE,tbllE,"['W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']","['W^+ -- (t) -- b_L -- (b) -- B -- (l) -- e -- [l,E]']",vvtbllllE, 2l + 2v + MET, 1t + 1b + 2l + MET, 1t + 1b + 4l + 2v + MET
L L E,W^+,W^+,vvllE,TllE,"['W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']","['W^+ -- (E) -- tau_L -- (T) -- B -- (l) -- e -- [l,E]']",vvTllllE, 2l + 2v + MET, 2l + 1tau + MET, 4l + 1tau + 2v + MET
L L E,W^+,W^+,vvllE,lllE,"['W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']","['W^+ -- (E) -- l -- (l) -- B -- (l) -- e -- [l,E]']",vvlllllE, 2l + 2v + MET, 3l + MET, 5l + 2v + MET
L L E,W^+,W^+,vvllE,jjllE,"['W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']","['W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [l,E]']",vvjjllllE, 2l + 2v + MET, 2j_l + 2l + MET, 2j_l + 4l + 2v + MET
L L E,W^+,W^+,vvllE,lE,"['W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']","['W^+ -- (E) -- l -- [E,l]']",vvlllE, 2l + 2v + MET, 1l + MET, 3l + 2v + MET
L L E,W^+,W^+,tbllE,lll,"['W^+ -- (t) -- b_L -- (b) -- B -- (l) -- e -- [l,E]']","['W^+ -- (l) -- nu -- [l,l]']",tblllllE, 1t + 1b + 2l + MET, 3l, 1t + 1b + 5l + MET
L L E,W^+,W^+,tbllE,vvllE,"['W^+ -- (t) -- b_L -- (b) -- B -- (l) -- e -- [l,E]']","['W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']",vvtbllllE, 1t + 1b + 2l + MET, 2l + 2v + MET, 1t + 1b + 4l + 2v + MET
L L E,W^+,W^+,tbllE,tbllE,"['W^+ -- (t) -- b_L -- (b) -- B -- (l) -- e -- [l,E]']","['W^+ -- (t) -- b_L -- (b) -- B -- (l) -- e -- [l,E]']",ttbbllllE, 1t + 1b + 2l + MET, 1t + 1b + 2l + MET, 2t + 2b + 4l + MET
L L E,W^+,W^+,tbllE,TllE,"['W^+ -- (t) -- b_L -- (b) -- B -- (l) -- e -- [l,E]']","['W^+ -- (E) -- tau_L -- (T) -- B -- (l) -- e -- [l,E]']",tbTllllE, 1t + 1b + 2l + MET, 2l + 1tau + MET, 1t + 1b + 4l + 1tau + MET
L L E,W^+,W^+,tbllE,lllE,"['W^+ -- (t) -- b_L -- (b) -- B -- (l) -- e -- [l,E]']","['W^+ -- (E) -- l -- (l) -- B -- (l) -- e -- [l,E]']",tblllllE, 1t + 1b + 2l + MET, 3l + MET, 1t + 1b + 5l + MET
L L E,W^+,W^+,tbllE,jjllE,"['W^+ -- (t) -- b_L -- (b) -- B -- (l) -- e -- [l,E]']","['W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [l,E]']",tbjjllllE, 1t + 1b + 2l + MET, 2j_l + 2l + MET, 2j_l + 1t + 1b + 4l + MET
L L E,W^+,W^+,tbllE,lE,"['W^+ -- (t) -- b_L -- (b) -- B -- (l) -- e -- [l,E]']","['W^+ -- (E) -- l -- [E,l]']",tblllE, 1t + 1b + 2l + MET, 1l + MET, 1t + 1b + 3l + MET
L L E,W^+,W^+,TllE,lll,"['W^+ -- (E) -- tau_L -- (T) -- B -- (l) -- e -- [l,E]']","['W^+ -- (l) -- nu -- [l,l]']",TlllllE, 2l + 1tau + MET, 3l, 5l + 1tau + MET
L L E,W^+,W^+,TllE,vvllE,"['W^+ -- (E) -- tau_L -- (T) -- B -- (l) -- e -- [l,E]']","['W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']",vvTllllE, 2l + 1tau + MET, 2l + 2v + MET, 4l + 1tau + 2v + MET
L L E,W^+,W^+,TllE,tbllE,"['W^+ -- (E) -- tau_L -- (T) -- B -- (l) -- e -- [l,E]']","['W^+ -- (t) -- b_L -- (b) -- B -- (l) -- e -- [l,E]']",tbTllllE, 2l + 1tau + MET, 1t + 1b + 2l + MET, 1t + 1b + 4l + 1tau + MET
L L E,W^+,W^+,TllE,TllE,"['W^+ -- (E) -- tau_L -- (T) -- B -- (l) -- e -- [l,E]']","['W^+ -- (E) -- tau_L -- (T) -- B -- (l) -- e -- [l,E]']",TTllllE, 2l + 1tau + MET, 2l + 1tau + MET, 4l + 2tau + MET
L L E,W^+,W^+,TllE,lllE,"['W^+ -- (E) -- tau_L -- (T) -- B -- (l) -- e -- [l,E]']","['W^+ -- (E) -- l -- (l) -- B -- (l) -- e -- [l,E]']",TlllllE, 2l + 1tau + MET, 3l + MET, 5l + 1tau + MET
L L E,W^+,W^+,TllE,jjllE,"['W^+ -- (E) -- tau_L -- (T) -- B -- (l) -- e -- [l,E]']","['W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [l,E]']",jjTllllE, 2l + 1tau + MET, 2j_l + 2l + MET, 2j_l + 4l + 1tau + MET
L L E,W^+,W^+,TllE,lE,"['W^+ -- (E) -- tau_L -- (T) -- B -- (l) -- e -- [l,E]']","['W^+ -- (E) -- l -- [E,l]']",TlllE, 2l + 1tau + MET, 1l + MET, 3l + 1tau + MET
L L E,W^+,W^+,lllE,lll,"['W^+ -- (E) -- l -- (l) -- B -- (l) -- e -- [l,E]']","['W^+ -- (l) -- nu -- [l,l]']",llllllE, 3l + MET, 3l, 6l + MET
L L E,W^+,W^+,lllE,vvllE,"['W^+ -- (E) -- l -- (l) -- B -- (l) -- e -- [l,E]']","['W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']",vvlllllE, 3l + MET, 2l + 2v + MET, 5l + 2v + MET
L L E,W^+,W^+,lllE,tbllE,"['W^+ -- (E) -- l -- (l) -- B -- (l) -- e -- [l,E]']","['W^+ -- (t) -- b_L -- (b) -- B -- (l) -- e -- [l,E]']",tblllllE, 3l + MET, 1t + 1b + 2l + MET, 1t + 1b + 5l + MET
L L E,W^+,W^+,lllE,TllE,"['W^+ -- (E) -- l -- (l) -- B -- (l) -- e -- [l,E]']","['W^+ -- (E) -- tau_L -- (T) -- B -- (l) -- e -- [l,E]']",TlllllE, 3l + MET, 2l + 1tau + MET, 5l + 1tau + MET
L L E,W^+,W^+,lllE,lllE,"['W^+ -- (E) -- l -- (l) -- B -- (l) -- e -- [l,E]']","['W^+ -- (E) -- l -- (l) -- B -- (l) -- e -- [l,E]']",llllllE, 3l + MET, 3l + MET, 6l + MET
L L E,W^+,W^+,lllE,jjllE,"['W^+ -- (E) -- l -- (l) -- B -- (l) -- e -- [l,E]']","['W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [l,E]']",jjlllllE, 3l + MET, 2j_l + 2l + MET, 2j_l + 5l + MET
L L E,W^+,W^+,lllE,lE,"['W^+ -- (E) -- l -- (l) -- B -- (l) -- e -- [l,E]']","['W^+ -- (E) -- l -- [E,l]']",llllE, 3l + MET, 1l + MET, 4l + MET
L L E,W^+,W^+,jjllE,lll,"['W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [l,E]']","['W^+ -- (l) -- nu -- [l,l]']",jjlllllE, 2j_l + 2l + MET, 3l, 2j_l + 5l + MET
L L E,W^+,W^+,jjllE,vvllE,"['W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [l,E]']","['W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']",vvjjllllE, 2j_l + 2l + MET, 2l + 2v + MET, 2j_l + 4l + 2v + MET
L L E,W^+,W^+,jjllE,tbllE,"['W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [l,E]']","['W^+ -- (t) -- b_L -- (b) -- B -- (l) -- e -- [l,E]']",tbjjllllE, 2j_l + 2l + MET, 1t + 1b + 2l + MET, 2j_l + 1t + 1b + 4l + MET
L L E,W^+,W^+,jjllE,TllE,"['W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [l,E]']","['W^+ -- (E) -- tau_L -- (T) -- B -- (l) -- e -- [l,E]']",jjTllllE, 2j_l + 2l + MET, 2l + 1tau + MET, 2j_l + 4l + 1tau + MET
L L E,W^+,W^+,jjllE,lllE,"['W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [l,E]']","['W^+ -- (E) -- l -- (l) -- B -- (l) -- e -- [l,E]']",jjlllllE, 2j_l + 2l + MET, 3l + MET, 2j_l + 5l + MET
