CAT A,CAT B,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L L E,L_3 L E,B,B,llX,TlX,"['B -- (l) -- l -- [X,l]', 'B -- (X) -- nu -- [l,l]', 'B -- (l) -- e -- [l,X]']","['B -- (T) -- tau_L -- [X,l]', 'B -- (X) -- nu -- [T,l]', 'B -- (l) -- e -- [T,X]']",TlllX, 2l + MET, 1l + 1tau + MET, 3l + 1tau + MET
L L E,L_3 L E,B,B,llX,llX,"['B -- (l) -- l -- [X,l]', 'B -- (X) -- nu -- [l,l]', 'B -- (l) -- e -- [l,X]']","['B -- (l) -- l -- [X,l]', 'B -- (X) -- nu_tau -- [l,l]', 'B -- (l) -- e -- [l,X]']",llllX, 2l + MET, 2l + MET, 4l + MET
L L E,L L E_3,B,B,llX,TlX,"['B -- (l) -- l -- [X,l]', 'B -- (X) -- nu -- [l,l]', 'B -- (l) -- e -- [l,X]']","['B -- (l) -- l -- [X,T]', 'B -- (X) -- nu -- [l,T]', 'B -- (T) -- tau -- [l,X]']",TlllX, 2l + MET, 1l + 1tau + MET, 3l + 1tau + MET
L L E,L_3 L E_3,B,B,llX,TTX,"['B -- (l) -- l -- [X,l]', 'B -- (X) -- nu -- [l,l]', 'B -- (l) -- e -- [l,X]']","['B -- (T) -- tau_L -- [X,T]', 'B -- (X) -- nu -- [T,T]', 'B -- (T) -- tau -- [T,X]']",TTllX, 2l + MET, 2tau + MET, 2l + 2tau + MET
L L E,L_3 L E_3,B,B,llX,TlX,"['B -- (l) -- l -- [X,l]', 'B -- (X) -- nu -- [l,l]', 'B -- (l) -- e -- [l,X]']","['B -- (l) -- l -- [X,T]', 'B -- (X) -- nu_tau -- [l,T]', 'B -- (T) -- tau -- [l,X]']",TlllX, 2l + MET, 1l + 1tau + MET, 3l + 1tau + MET
L_3 L E,L L E,B,B,TlX,llX,"['B -- (T) -- tau_L -- [X,l]', 'B -- (X) -- nu -- [T,l]', 'B -- (l) -- e -- [T,X]']","['B -- (l) -- l -- [X,l]', 'B -- (X) -- nu -- [l,l]', 'B -- (l) -- e -- [l,X]']",TlllX, 1l + 1tau + MET, 2l + MET, 3l + 1tau + MET
L_3 L E,L L E,B,B,llX,llX,"['B -- (l) -- l -- [X,l]', 'B -- (X) -- nu_tau -- [l,l]', 'B -- (l) -- e -- [l,X]']","['B -- (l) -- l -- [X,l]', 'B -- (X) -- nu -- [l,l]', 'B -- (l) -- e -- [l,X]']",llllX, 2l + MET, 2l + MET, 4l + MET
L_3 L E,L L E_3,B,B,TlX,TlX,"['B -- (T) -- tau_L -- [X,l]', 'B -- (X) -- nu -- [T,l]', 'B -- (l) -- e -- [T,X]']","['B -- (l) -- l -- [X,T]', 'B -- (X) -- nu -- [l,T]', 'B -- (T) -- tau -- [l,X]']",TTllX, 1l + 1tau + MET, 1l + 1tau + MET, 2l + 2tau + MET
L_3 L E,L L E_3,B,B,llX,TlX,"['B -- (l) -- l -- [X,l]', 'B -- (X) -- nu_tau -- [l,l]', 'B -- (l) -- e -- [l,X]']","['B -- (l) -- l -- [X,T]', 'B -- (X) -- nu -- [l,T]', 'B -- (T) -- tau -- [l,X]']",TlllX, 2l + MET, 1l + 1tau + MET, 3l + 1tau + MET
L_3 L E,L_3 L E_3,B,B,TlX,TTX,"['B -- (T) -- tau_L -- [X,l]', 'B -- (X) -- nu -- [T,l]', 'B -- (l) -- e -- [T,X]']","['B -- (T) -- tau_L -- [X,T]', 'B -- (X) -- nu -- [T,T]', 'B -- (T) -- tau -- [T,X]']",TTTlX, 1l + 1tau + MET, 2tau + MET, 1l + 3tau + MET
