LSP,L Q D,L Q D_3,L Q_3 D,L Q_3 D_3,L_3 Q D,L_3 Q D_3,L_3 Q_3 D,L_3 Q_3 D_3
B,"{'jjl', 'jjX'}","{'bjl', 'bjX'}","{'tjl', 'bjX'}","{'tbl', 'bbX'}","{'jjX', 'jjT'}","{'bjT', 'bjX'}","{'tjT', 'bjX'}","{'tbT', 'bbX'}"
W^+,"{'jjTX', 'vvjjl', 'jjlX', 'tbjjX', 'jjX', 'jjTlX', 'jjjjl', 'jjllX', 'jjl', 'vvjjX', 'jjjjX', 'tbjjl'}","{'vbjX', 'vbjl', 'vtjX', 'bjX', 'vtjl', 'bjl'}","{'bjlX', 'tjjjl', 'bjTX', 'bjl', 'vvtjl', 'ttbjl', 'tjTlX', 'tjllX', 'tjX', 'tbbjX', 'vvbjX', 'bjjjX'}","{'tbX', 'bbl', 'vtbX', 'vttl', 'vtbl', 'vbbX'}","{'jjjjX', 'jjjjT', 'jjlX', 'jjT', 'tbjjX', 'jjX', 'jjTlX', 'tbjjT', 'vvjjX', 'jjTTX', 'vvjjT', 'jjTX'}","{'vtjT', 'vtjX', 'vbjT', 'bjT', 'bjX', 'vbjX'}","{'bjlX', 'ttbjT', 'bjTX', 'tjjjT', 'bjT', 'tjTlX', 'tjTTX', 'vvtjT', 'tjX', 'tbbjX', 'vvbjX', 'bjjjX'}","{'tbX', 'vtbT', 'vttT', 'vtbX', 'bbT', 'vbbX'}"
W^0,"{'vvjjl', 'jjlX', 'jjlll', 'jjTTl', 'jjX', 'bbjjX', 'jjjjl', 'jjllX', 'jjl', 'vvjjX', 'bbjjl', 'ttjjX', 'jjTTX', 'jjjjX', 'ttjjl'}","{'vbjX', 'vbjl', 'vtjX', 'bjX', 'vtjl', 'bjl'}","{'bbbjX', 'tjjjl', 'tbbjl', 'tttjl', 'tjlX', 'tjl', 'bjllX', 'vvtjl', 'bjX', 'tjTTl', 'tjlll', 'ttbjX', 'bjTTX', 'vvbjX', 'bjjjX'}","{'tbl', 'vtbX', 'vttl', 'vtbl', 'vbbX', 'bbX'}","{'jjTTT', 'jjjjT', 'jjT', 'ttjjT', 'jjX', 'bbjjX', 'jjllX', 'bbjjT', 'vvjjX', 'jjTTX', 'ttjjX', 'jjjjX', 'vvjjT', 'jjTX', 'jjTll'}","{'vtjT', 'vtjX', 'vbjT', 'bjT', 'bjX', 'vbjX'}","{'bbbjX', 'tttjT', 'tjTX', 'tbbjT', 'tjTll', 'tjjjT', 'tjTTT', 'bjllX', 'bjX', 'ttbjX', 'vvtjT', 'tjT', 'bjTTX', 'vvbjX', 'bjjjX'}","{'tbT', 'vtbT', 'vttT', 'vtbX', 'vbbX', 'bbX'}"
G,"{'tbjjX', 'jjX', 'bbjjX', 'jjjjl', 'jjl', 'bbjjl', 'ttjjX', 'jjjjX', 'ttjjl', 'tbjjl'}","{'bbbjX', 'tbbjl', 'bjjjl', 'bbbjl', 'bjl', 'ttbjl', 'bjX', 'ttbjX', 'tbbjX', 'bjjjX'}","{'bbbjX', 'tjjjl', 'tbbjl', 'tttjl', 'tjjjX', 'bjjjl', 'tjl', 'bjX', 'ttbjX', 'bjjjX'}","{'tttbl', 'tbl', 'tbjjX', 'bbbbX', 'tbbbl', 'bbjjX', 'bbjjl', 'ttbbX', 'tbjjl', 'bbX'}","{'jjjjT', 'jjT', 'tbjjX', 'ttjjT', 'bbjjX', 'jjX', 'bbjjT', 'tbjjT', 'ttjjX', 'jjjjX'}","{'bbbjX', 'tbbjT', 'bjjjT', 'bjT', 'bjX', 'ttbjX', 'ttbjT', 'tbbjX', 'bbbjT', 'bjjjX'}","{'bbbjX', 'tjjjX', 'tttjT', 'tbbjT', 'tjjjT', 'bjjjT', 'bjX', 'ttbjX', 'tjT', 'bjjjX'}","{'tbbbT', 'tbT', 'tbjjX', 'bbbbX', 'bbjjX', 'tbjjT', 'bbjjT', 'ttbbX', 'bbX', 'tttbT'}"
H^+,"{'vjjX', 'vjjl'}","{'vbjX', 'vbjl', 'tjl', 'tjX'}","{'vbjX', 'vbjl', 'tjX', 'vtjX', 'vtjl', 'bjl'}","{'vbbl', 'tbX', 'bbl', 'vtbX', 'vtbl', 'vbbX', 'ttl'}","{'vjjX', 'vjjT'}","{'vbjX', 'tjX', 'vbjT', 'tjT'}","{'vtjT', 'tjX', 'vtjX', 'vbjT', 'bjT', 'vbjX'}","{'ttT', 'tbX', 'vtbT', 'vtbX', 'bbT', 'vbbX', 'vbbT'}"
H^0,"{'vjjX', 'vjjl'}","{'vbjX', 'vbjl', 'bjl', 'bjX'}","{'vbjl', 'vtjX', 'tjl', 'bjX', 'vtjl', 'vbjX'}","{'tbl', 'vbbl', 'vtbX', 'vtbl', 'vbbX', 'bbX'}","{'vjjX', 'vjjT'}","{'vbjX', 'bjT', 'vbjT', 'bjX'}","{'vbjX', 'vtjT', 'vtjX', 'vbjT', 'bjX', 'tjT'}","{'tbT', 'vtbT', 'vtbX', 'vbbX', 'vbbT', 'bbX'}"
q,"{'jl', 'jjjX', 'jjjl', 'jX'}","{'bjjX', 'bl', 'bX', 'bjjl'}","{'tjjX', 'tjjl', 'bjjX', 'bjjl'}","{'bbjl', 'tbjX', 'tbjl', 'bbjX'}","{'jT', 'jjjX', 'jjjT', 'jX'}","{'bjjX', 'bjjT', 'bX', 'bT'}","{'tjjX', 'bjjT', 'bjjX', 'tjjT'}","{'bbjT', 'tbjT', 'tbjX', 'bbjX'}"
d,"{'jl', 'jjjX', 'jjjl', 'jX'}","{'bjjX', 'bjjl'}","{'bjjX', 'tjjl', 'tl', 'bX'}","{'bbjX', 'tbjl'}","{'jT', 'jjjX', 'jjjT', 'jX'}","{'bjjX', 'bjjT'}","{'bjjX', 'tT', 'tjjT', 'bX'}","{'tbjT', 'bbjX'}"
u,"{'jjjX', 'jjjl'}","{'bjjX', 'bjjl'}","{'bjjX', 'tjjl'}","{'bbjX', 'tbjl'}","{'jjjX', 'jjjT'}","{'bjjX', 'bjjT'}","{'bjjX', 'tjjT'}","{'tbjT', 'bbjX'}"
l,"{'jj', 'jjlX', 'jjX', 'jjll'}","{'bjlX', 'bjX', 'bj', 'bjll'}","{'bjlX', 'tjX', 'tj', 'tjll'}","{'tb', 'tbll', 'bblX', 'tbX'}","{'jjTl', 'jjX', 'jjlX', 'jjTX'}","{'bjTl', 'bjlX', 'bjX', 'bjTX'}","{'tjX', 'bjlX', 'tjTl', 'bjTX'}","{'bbTX', 'tbTl', 'bblX', 'tbX'}"
