CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L Q D,B,B,jjl,jjl,"['B -- (l) -- l -- [j,j]', 'B -- (j) -- q -- [l,j]', 'B -- (j) -- d -- [l,j]']","['B -- (l) -- l -- [j,j]', 'B -- (j) -- q -- [l,j]', 'B -- (j) -- d -- [l,j]']",jjjjll, 2j_l + 1l, 2j_l + 1l, 4j_l + 2l
L Q D,B,B,jjl,jjX,"['B -- (l) -- l -- [j,j]', 'B -- (j) -- q -- [l,j]', 'B -- (j) -- d -- [l,j]']","['B -- (X) -- nu -- [j,j]', 'B -- (j) -- q -- [X,j]', 'B -- (j) -- d -- [X,j]']",jjjjlX, 2j_l + 1l, 2j_l + MET, 4j_l + 1l + MET
L Q D,B,B,jjX,jjl,"['B -- (X) -- nu -- [j,j]', 'B -- (j) -- q -- [X,j]', 'B -- (j) -- d -- [X,j]']","['B -- (l) -- l -- [j,j]', 'B -- (j) -- q -- [l,j]', 'B -- (j) -- d -- [l,j]']",jjjjlX, 2j_l + MET, 2j_l + 1l, 4j_l + 1l + MET
L Q D,B,B,jjX,jjX,"['B -- (X) -- nu -- [j,j]', 'B -- (j) -- q -- [X,j]', 'B -- (j) -- d -- [X,j]']","['B -- (X) -- nu -- [j,j]', 'B -- (j) -- q -- [X,j]', 'B -- (j) -- d -- [X,j]']",jjjjX, 2j_l + MET, 2j_l + MET, 4j_l + MET
L Q D,W^+,W^+,tbjjl,tbjjl,"['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [l,j]']","['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [l,j]']",ttbbjjjjll, 2j_l + 1t + 1b + 1l, 2j_l + 1t + 1b + 1l, 4j_l + 2t + 2b + 2l
L Q D,W^+,W^+,tbjjl,vvjjX,"['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [l,j]']","['W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [X,j]']",vvtbjjjjlX, 2j_l + 1t + 1b + 1l, 2j_l + 2v + MET, 4j_l + 1t + 1b + 1l + 2v + MET
L Q D,W^+,W^+,tbjjl,vvjjl,"['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [l,j]']","['W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [l,j]']",vvtbjjjjll, 2j_l + 1t + 1b + 1l, 2j_l + 1l + 2v, 4j_l + 1t + 1b + 2l + 2v
L Q D,W^+,W^+,tbjjl,jjlX,"['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [l,j]']","['W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [X,j]']",tbjjjjllX, 2j_l + 1t + 1b + 1l, 2j_l + 1l + MET, 4j_l + 1t + 1b + 2l + MET
L Q D,W^+,W^+,tbjjl,jjX,"['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [l,j]']","['W^+ -- (X) -- l -- [j,j]', 'W^+ -- (j) -- q -- [X,j]']",tbjjjjlX, 2j_l + 1t + 1b + 1l, 2j_l + MET, 4j_l + 1t + 1b + 1l + MET
L Q D,W^+,W^+,tbjjl,jjTX,"['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [l,j]']","['W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [X,j]']",tbjjjjTlX, 2j_l + 1t + 1b + 1l, 2j_l + 1tau + MET, 4j_l + 1t + 1b + 1l + 1tau + MET
