LSP,L Q D,L Q D_3,L Q_3 D,L Q_3 D_3,L_3 Q D,L_3 Q D_3,L_3 Q_3 D,L_3 Q_3 D_3
B,"{'jjE', 'jjl'}","{'bjl', 'bjE'}","{'tjl', 'bjE'}","{'bbE', 'tbl'}","{'jjE', 'jjT'}","{'bjT', 'bjE'}","{'tjT', 'bjE'}","{'bbE', 'tbT'}"
W^+,"{'jjTE', 'jjjjl', 'vvjjl', 'tbjjE', 'jjE', 'jjl', 'jjTlE', 'jjjjE', 'vvjjE', 'tbjjl', 'jjlE', 'jjllE'}","{'bjl', 'bjE', 'vbjE', 'vtjE', 'vbjl', 'vtjl'}","{'bjl', 'vvtjl', 'tjllE', 'ttbjl', 'bjlE', 'bjTE', 'tjTlE', 'tjE', 'bjjjE', 'tbbjE', 'tjjjl', 'vvbjE'}","{'vtbE', 'vttl', 'bbl', 'tbE', 'vbbE', 'vtbl'}","{'jjjjT', 'jjTTE', 'tbjjT', 'jjTE', 'tbjjE', 'vvjjT', 'jjE', 'jjTlE', 'jjjjE', 'jjT', 'vvjjE', 'jjlE'}","{'vbjT', 'bjE', 'vtjT', 'vbjE', 'vtjE', 'bjT'}","{'tjTTE', 'bjlE', 'ttbjT', 'bjTE', 'vvtjT', 'tjTlE', 'tjE', 'bjjjE', 'tbbjE', 'tjjjT', 'vvbjE', 'bjT'}","{'vtbE', 'vttT', 'bbT', 'tbE', 'vtbT', 'vbbE'}"
W^0,"{'jjTTE', 'bbjjl', 'jjjjl', 'jjlll', 'vvjjl', 'ttjjE', 'jjllE', 'jjTTl', 'jjl', 'jjE', 'jjjjE', 'vvjjE', 'jjlE', 'bbjjE', 'ttjjl'}","{'bjl', 'bjE', 'vbjE', 'vtjE', 'vbjl', 'vtjl'}","{'vvtjl', 'tbbjl', 'bjE', 'ttbjE', 'tjl', 'bjllE', 'tjTTl', 'tjlll', 'tjlE', 'bbbjE', 'bjjjE', 'tjjjl', 'vvbjE', 'bjTTE', 'tttjl'}","{'tbl', 'vtbE', 'vttl', 'bbE', 'vbbE', 'vtbl'}","{'bbjjT', 'jjjjT', 'jjTTT', 'jjTTE', 'jjTE', 'ttjjT', 'vvjjT', 'ttjjE', 'jjE', 'jjllE', 'jjTll', 'jjT', 'jjjjE', 'vvjjE', 'bbjjE'}","{'vbjT', 'bjE', 'vtjT', 'vbjE', 'vtjE', 'bjT'}","{'tttjT', 'bjE', 'ttbjE', 'tjTE', 'vvtjT', 'bjllE', 'tjTTT', 'tjT', 'bbbjE', 'tbbjT', 'bjjjE', 'tjjjT', 'vvbjE', 'tjTll', 'bjTTE'}","{'vtbE', 'vttT', 'vtbT', 'tbT', 'bbE', 'vbbE'}"
G,"{'bbjjl', 'jjjjl', 'tbjjE', 'ttjjE', 'jjE', 'jjl', 'jjjjE', 'tbjjl', 'bbjjE', 'ttjjl'}","{'bjl', 'tbbjl', 'ttbjl', 'bjE', 'bbbjl', 'ttbjE', 'bjjjl', 'bbbjE', 'bjjjE', 'tbbjE'}","{'tbbjl', 'bjE', 'ttbjE', 'bjjjl', 'tjl', 'tjjjE', 'bbbjE', 'bjjjE', 'tjjjl', 'tttjl'}","{'tbl', 'bbbbE', 'bbjjl', 'tbjjE', 'tbbbl', 'tttbl', 'tbjjl', 'bbE', 'bbjjE', 'ttbbE'}","{'jjjjT', 'bbjjT', 'tbjjT', 'ttjjT', 'tbjjE', 'ttjjE', 'jjE', 'jjjjE', 'jjT', 'bbjjE'}","{'bjjjT', 'bjE', 'ttbjE', 'ttbjT', 'bbbjT', 'bbbjE', 'tbbjT', 'bjjjE', 'tbbjE', 'bjT'}","{'bjjjT', 'tttjT', 'bjE', 'ttbjE', 'tjjjE', 'tjT', 'tbbjT', 'bjjjE', 'bbbjE', 'tjjjT'}","{'bbjjT', 'tbbbT', 'bbbbE', 'tbjjT', 'tbjjE', 'tbT', 'tttbT', 'bbE', 'bbjjE', 'ttbbE'}"
H^+,"{'vjjE', 'vjjl'}","{'vbjl', 'tjl', 'vbjE', 'tjE'}","{'bjl', 'vbjE', 'vtjE', 'tjE', 'vbjl', 'vtjl'}","{'vtbE', 'bbl', 'tbE', 'ttl', 'vbbE', 'vbbl', 'vtbl'}","{'vjjE', 'vjjT'}","{'tjT', 'vbjT', 'vbjE', 'tjE'}","{'vbjT', 'vbjE', 'vtjT', 'vtjE', 'tjE', 'bjT'}","{'ttT', 'vtbE', 'bbT', 'tbE', 'vtbT', 'vbbT', 'vbbE'}"
H^0,"{'vjjE', 'vjjl'}","{'vbjl', 'bjl', 'bjE', 'vbjE'}","{'bjE', 'vbjE', 'vtjE', 'tjl', 'vbjl', 'vtjl'}","{'tbl', 'vtbE', 'bbE', 'vbbE', 'vbbl', 'vtbl'}","{'vjjE', 'vjjT'}","{'vbjT', 'bjT', 'bjE', 'vbjE'}","{'vbjT', 'bjE', 'vbjE', 'vtjT', 'vtjE', 'tjT'}","{'vtbE', 'vtbT', 'tbT', 'bbE', 'vbbT', 'vbbE'}"
q,"{'jl', 'jjjl', 'jE', 'jjjE'}","{'bjjE', 'bE', 'bjjl', 'bl'}","{'bjjE', 'tjjl', 'bjjl', 'tjjE'}","{'bbjl', 'bbjE', 'tbjE', 'tbjl'}","{'jT', 'jE', 'jjjT', 'jjjE'}","{'bjjE', 'bE', 'bT', 'bjjT'}","{'tjjT', 'bjjT', 'tjjE', 'bjjE'}","{'tbjT', 'bbjE', 'tbjE', 'bbjT'}"
d,"{'jl', 'jjjl', 'jE', 'jjjE'}","{'bjjE', 'bjjl'}","{'bjjE', 'bE', 'tjjl', 'tl'}","{'bbjE', 'tbjl'}","{'jT', 'jE', 'jjjT', 'jjjE'}","{'bjjE', 'bjjT'}","{'tjjT', 'bE', 'tT', 'bjjE'}","{'tbjT', 'bbjE'}"
u,"{'jjjl', 'jjjE'}","{'bjjE', 'bjjl'}","{'bjjE', 'tjjl'}","{'bbjE', 'tbjl'}","{'jjjT', 'jjjE'}","{'bjjE', 'bjjT'}","{'tjjT', 'bjjE'}","{'tbjT', 'bbjE'}"
l,"{'jjll', 'jjlE', 'jjE', 'jj'}","{'bj', 'bjll', 'bjE', 'bjlE'}","{'bjlE', 'tjll', 'tj', 'tjE'}","{'tb', 'tbll', 'tbE', 'bblE'}","{'jjE', 'jjTl', 'jjlE', 'jjTE'}","{'bjTE', 'bjlE', 'bjE', 'bjTl'}","{'bjTE', 'tjTl', 'bjlE', 'tjE'}","{'tbTl', 'bblE', 'bbTE', 'tbE'}"
