LSP,L Q D,L Q D_3,L Q_3 D,L Q_3 D_3,L_3 Q D,L_3 Q D_3,L_3 Q_3 D,L_3 Q_3 D_3
B,"{'jjl', 'jjX'}","{'bjl', 'bjX'}","{'tjl', 'bjX'}","{'tbl', 'bbX'}","{'jjT', 'jjX'}","{'bjT', 'bjX'}","{'tjT', 'bjX'}","{'tbT', 'bbX'}"
W^+,"{'jjjjX', 'tbjjl', 'jjl', 'jjX', 'vvjjX', 'jjTX', 'jjjjl', 'tbjjX', 'vvjjl', 'jjTlX', 'jjllX', 'jjlX'}","{'vtjl', 'bjX', 'bjl', 'vbjX', 'vtjX', 'vbjl'}","{'tjjjl', 'tbbjX', 'tjTlX', 'vvtjl', 'tjX', 'bjjjX', 'vvbjX', 'ttbjl', 'bjl', 'tjllX', 'bjlX', 'bjTX'}","{'vtbX', 'vttl', 'vbbX', 'vtbl', 'bbl', 'tbX'}","{'jjjjX', 'vvjjT', 'jjjjT', 'jjlX', 'jjT', 'jjX', 'vvjjX', 'jjTX', 'tbjjX', 'jjTTX', 'jjTlX', 'tbjjT'}","{'bjT', 'vbjT', 'bjX', 'vtjX', 'vbjX', 'vtjT'}","{'tbbjX', 'tjTlX', 'tjX', 'bjjjX', 'vvbjX', 'vvtjT', 'ttbjT', 'tjjjT', 'bjlX', 'tjTTX', 'bjT', 'bjTX'}","{'vtbX', 'vbbX', 'vttT', 'tbX', 'bbT', 'vtbT'}"
W^0,"{'jjjjX', 'jjl', 'jjX', 'vvjjX', 'jjjjl', 'jjlll', 'bbjjl', 'vvjjl', 'ttjjX', 'jjTTX', 'ttjjl', 'bbjjX', 'jjllX', 'jjTTl', 'jjlX'}","{'vtjl', 'bjX', 'bjl', 'vbjX', 'vtjX', 'vbjl'}","{'tbbjl', 'tjjjl', 'bbbjX', 'vvtjl', 'bjllX', 'tjlX', 'bjjjX', 'tjTTl', 'bjX', 'tjl', 'vvbjX', 'bjTTX', 'tttjl', 'ttbjX', 'tjlll'}","{'bbX', 'vtbX', 'vttl', 'vbbX', 'vtbl', 'tbl'}","{'jjjjX', 'ttjjT', 'bbjjT', 'vvjjT', 'jjjjT', 'jjTll', 'jjTTT', 'jjT', 'jjX', 'vvjjX', 'jjTX', 'jjTTX', 'ttjjX', 'bbjjX', 'jjllX'}","{'bjT', 'vbjT', 'bjX', 'vtjX', 'vbjX', 'vtjT'}","{'bbbjX', 'bjllX', 'bjjjX', 'tttjT', 'bjX', 'tjT', 'vvtjT', 'vvbjX', 'tbbjT', 'tjjjT', 'tjTll', 'tjTTT', 'ttbjX', 'bjTTX', 'tjTX'}","{'bbX', 'vtbX', 'tbT', 'vbbX', 'vttT', 'vtbT'}"
G,"{'jjjjX', 'tbjjl', 'jjl', 'jjX', 'jjjjl', 'tbjjX', 'bbjjl', 'ttjjX', 'ttjjl', 'bbjjX'}","{'tbbjl', 'tbbjX', 'bbbjX', 'bbbjl', 'bjjjX', 'bjX', 'bjjjl', 'ttbjl', 'bjl', 'ttbjX'}","{'tbbjl', 'tjjjl', 'tjjjX', 'bbbjX', 'bjjjX', 'bjX', 'bjjjl', 'tjl', 'tttjl', 'ttbjX'}","{'tbjjl', 'tttbl', 'bbX', 'ttbbX', 'tbbbl', 'bbbbX', 'tbjjX', 'bbjjl', 'tbl', 'bbjjX'}","{'jjjjX', 'ttjjT', 'bbjjT', 'jjjjT', 'jjT', 'jjX', 'tbjjX', 'ttjjX', 'bbjjX', 'tbjjT'}","{'tbbjX', 'bbbjX', 'bjjjX', 'bjX', 'bbbjT', 'tbbjT', 'ttbjT', 'bjjjT', 'ttbjX', 'bjT'}","{'tjjjX', 'bbbjX', 'bjjjX', 'tttjT', 'bjX', 'tjT', 'tbbjT', 'tjjjT', 'bjjjT', 'ttbjX'}","{'bbX', 'bbjjT', 'tbbbT', 'ttbbX', 'tbT', 'bbbbX', 'tbjjX', 'tttbT', 'bbjjX', 'tbjjT'}"
H^+,"{'vjjX', 'vjjl'}","{'tjl', 'tjX', 'vbjl', 'vbjX'}","{'tjX', 'vtjl', 'bjl', 'vbjX', 'vtjX', 'vbjl'}","{'vbbl', 'vtbX', 'vbbX', 'vtbl', 'bbl', 'tbX', 'ttl'}","{'vjjX', 'vjjT'}","{'tjT', 'tjX', 'vbjX', 'vbjT'}","{'bjT', 'tjX', 'vbjT', 'vtjX', 'vbjX', 'vtjT'}","{'vtbX', 'ttT', 'vbbX', 'vbbT', 'tbX', 'bbT', 'vtbT'}"
H^0,"{'vjjX', 'vjjl'}","{'bjl', 'vbjl', 'bjX', 'vbjX'}","{'vtjl', 'bjX', 'tjl', 'vbjX', 'vtjX', 'vbjl'}","{'bbX', 'vbbl', 'vtbX', 'vbbX', 'vtbl', 'tbl'}","{'vjjX', 'vjjT'}","{'bjX', 'vbjX', 'vbjT', 'bjT'}","{'vbjT', 'bjX', 'tjT', 'vtjX', 'vbjX', 'vtjT'}","{'bbX', 'vtbX', 'tbT', 'vbbX', 'vbbT', 'vtbT'}"
q,"{'jjjX', 'jjjl', 'jl', 'jX'}","{'bjjX', 'bl', 'bX', 'bjjl'}","{'bjjX', 'tjjX', 'tjjl', 'bjjl'}","{'tbjX', 'tbjl', 'bbjX', 'bbjl'}","{'jjjX', 'jT', 'jjjT', 'jX'}","{'bjjX', 'bT', 'bjjT', 'bX'}","{'bjjT', 'tjjX', 'tjjT', 'bjjX'}","{'tbjX', 'bbjT', 'bbjX', 'tbjT'}"
d,"{'jl', 'jjjl', 'jjjX', 'jX'}","{'bjjX', 'bjjl'}","{'bjjX', 'tjjl', 'bX', 'tl'}","{'tbjl', 'bbjX'}","{'jjjX', 'jT', 'jjjT', 'jX'}","{'bjjX', 'bjjT'}","{'bjjX', 'bX', 'tjjT', 'tT'}","{'bbjX', 'tbjT'}"
u,"{'jjjX', 'jjjl'}","{'bjjX', 'bjjl'}","{'bjjX', 'tjjl'}","{'tbjl', 'bbjX'}","{'jjjX', 'jjjT'}","{'bjjX', 'bjjT'}","{'bjjX', 'tjjT'}","{'bbjX', 'tbjT'}"
l,"{'jjll', 'jj', 'jjX', 'jjlX'}","{'bjlX', 'bjll', 'bjX', 'bj'}","{'tjX', 'tj', 'tjll', 'bjlX'}","{'tb', 'bblX', 'tbX', 'tbll'}","{'jjTX', 'jjTl', 'jjX', 'jjlX'}","{'bjTl', 'bjlX', 'bjTX', 'bjX'}","{'bjlX', 'tjX', 'bjTX', 'tjTl'}","{'tbTl', 'bblX', 'tbX', 'bbTX'}"
