Category,LSP,decays via,Signatures,Chain,NV_cascade,Signatures (ER)
U D D,B,u,jjj,"B -- (j) -- u -- [j,j]",1, 3j_l
U D D,B,d,jjj,"B -- (j) -- d -- [j,j]",1, 3j_l
U D D,B,d,jjj,"B -- (j) -- d -- [j,j]",1, 3j_l
U D_3 D,B,u,bjj,"B -- (j) -- u -- [j,b]",1, 2j_l + 1b
U D_3 D,B,d,bjj,"B -- (j) -- d -- [j,b]",1, 2j_l + 1b
U D_3 D,B,b,bjj,"B -- (b) -- b -- [j,j]",1, 2j_l + 1b
U D_3 D_3,B,u,bbj,"B -- (j) -- u -- [b,b]",1, 1j_l + 2b
U D_3 D_3,B,b,bbj,"B -- (b) -- b -- [j,b]",1, 1j_l + 2b
U D_3 D_3,B,b,bbj,"B -- (b) -- b -- [j,b]",1, 1j_l + 2b
U_3 D D,B,t,tjj,"B -- (t) -- t -- [j,j]",1, 2j_l + 1t
U_3 D D,B,d,tjj,"B -- (j) -- d -- [t,j]",1, 2j_l + 1t
U_3 D D,B,d,tjj,"B -- (j) -- d -- [t,j]",1, 2j_l + 1t
U_3 D_3 D,B,t,tbj,"B -- (t) -- t -- [j,b]",1, 1j_l + 1t + 1b
U_3 D_3 D,B,d,tbj,"B -- (j) -- d -- [t,b]",1, 1j_l + 1t + 1b
U_3 D_3 D,B,b,tbj,"B -- (b) -- b -- [t,j]",1, 1j_l + 1t + 1b
U_3 D_3 D_3,B,t,tbb,"B -- (t) -- t -- [b,b]",1, 1t + 2b
U_3 D_3 D_3,B,b,tbb,"B -- (b) -- b -- [t,b]",1, 1t + 2b
U_3 D_3 D_3,B,b,tbb,"B -- (b) -- b -- [t,b]",1, 1t + 2b
U D D,W^+,u,tbjjj,"W^+ -- (t) -- b_L -- (b) -- B -- (j) -- u -- [j,j]",3, 3j_l + 1t + 1b
U D D,W^+,u,jjjlX,"W^+ -- (X) -- l -- (l) -- B -- (j) -- u -- [j,j]",3, 3j_l + 1l + MET
U D D,W^+,u,vvjjj,"W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- u -- [j,j]",3, 3j_l + 2v
U D D,W^+,u,jjjjj,"W^+ -- (j) -- q -- (j) -- B -- (j) -- u -- [j,j]",3, 5j_l
U D D,W^+,u,jjjTX,"W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- u -- [j,j]",3, 3j_l + 1tau + MET
U D D,W^+,d,tbjjj,"W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [j,j]",3, 3j_l + 1t + 1b
U D D,W^+,d,jjjlX,"W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [j,j]",3, 3j_l + 1l + MET
