LSP,U D D,U D_3 D,U D_3 D_3,U_3 D D,U_3 D_3 D,U_3 D_3 D_3
B,{'jjj'},{'bjj'},{'bbj'},{'tjj'},{'tbj'},{'tbb'}
W^+,"{'jjjlX', 'jjjTX', 'tbjjj', 'vvjjj', 'jjjjj'}","{'bjjTX', 'vbjj', 'bjjjj', 'bjjlX', 'vvbjj', 'vtjj', 'tbbjj'}","{'vtbj', 'vvbbj', 'vbbj', 'tbbbj', 'bbjjj', 'bbjlX', 'bbjTX'}","{'tjjlX', 'ttbjj', 'vbjj', 'vtjj', 'tjjTX', 'tjjjj', 'vvtjj'}","{'vtbj', 'vvtbj', 'vttj', 'vbbj', 'tbjlX', 'tbjTX', 'tbjjj', 'ttbbj'}","{'vbbb', 'vtbb', 'vttb'}"
W^0,"{'jjjX', 'ttjjj', 'jjjll', 'jjjTT', 'bbjjj', 'jjjjj', 'vvjjj'}","{'bjjll', 'ttbjj', 'vbjj', 'bjjjj', 'vvbjj', 'bjjTT', 'bbbjj', 'vtjj', 'bjjX'}","{'bbjll', 'vtbj', 'vvbbj', 'bbjTT', 'vbbj', 'bbjX', 'bbjjj', 'ttbbj', 'bbbbj'}","{'tjjjj', 'vbjj', 'tjjll', 'tjjTT', 'tjjX', 'vtjj', 'tbbjj', 'tttjj', 'vvtjj'}","{'tbjX', 'vtbj', 'vvtbj', 'vttj', 'vbbj', 'tbbbj', 'tttbj', 'tbjTT', 'tbjjj', 'tbjll'}","{'vbbb', 'vtbb', 'vttb'}"
G,{'jjj'},{'bjj'},{'bbj'},{'tjj'},{'tbj'},{'tbb'}
H^+,{'vjjj'},"{'tjj', 'vbjj'}","{'tbj', 'vbbj'}","{'bjj', 'vtjj'}","{'bbj', 'vtbj', 'ttj'}","{'bbb', 'ttb'}"
H^0,{'vjjj'},"{'bjj', 'vbjj'}","{'bbj', 'vbbj'}","{'tjj', 'vtjj'}","{'vtbj', 'tbj'}",{'tbb'}
q,{'jjjj'},{'bjjj'},{'bbjj'},{'tjjj'},{'tbjj'},{'tbbj'}
d,"{'jjjj', 'jj'}","{'bjjj', 'bj'}",{'bbjj'},"{'tj', 'tjjj'}","{'tb', 'tbjj'}",{'tbbj'}
u,"{'jjjj', 'jj'}","{'bjjj', 'bj'}","{'bbjj', 'bb'}",{'tjjj'},{'tbjj'},{'tbbj'}
l,{'jjjl'},{'bjjl'},{'bbjl'},{'tjjl'},{'tbjl'},{'tbbl'}
nu,{'jjjX'},{'bjjX'},{'bbjX'},{'tjjX'},{'tbjX'},{'tbbX'}
e,{'jjjl'},{'bjjl'},{'bbjl'},{'tjjl'},{'tbjl'},{'tbbl'}
b_L,{'bjjj'},"{'ttjj', 'bbjj'}","{'bbbj', 'ttbj'}",{'tbjj'},"{'tbbj', 'tttj'}","{'tbbb', 'tttb'}"
t_L,{'tjjj'},{'tbjj'},{'tbbj'},"{'ttjj', 'bbjj'}","{'bbbj', 'ttbj'}","{'ttbb', 'bbbb'}"
t,{'tjjj'},{'tbjj'},{'tbbj'},"{'ttjj', 'jj'}","{'ttbj', 'bj'}","{'ttbb', 'bb'}"
b,{'bjjj'},"{'bbjj', 'jj'}","{'bbbj', 'bj'}",{'tbjj'},"{'tj', 'tbbj'}","{'tbbb', 'tb'}"
tau_L,{'jjjT'},{'bjjT'},{'bbjT'},{'tjjT'},{'tbjT'},{'tbbT'}
nu_tau,{'jjjX'},{'bjjX'},{'bbjX'},{'tjjX'},{'tbjX'},{'tbbX'}
tau,{'jjjT'},{'bjjT'},{'bbjT'},{'tjjT'},{'tbjT'},{'tbbT'}
