CAT A,CAT B,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
U D D,U D_3 D,B,B,jjj,bjj,"['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']","['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']",bjjjjj, 3j_l, 2j_l + 1b, 5j_l + 1b
U D D,U D_3 D_3,B,B,jjj,bbj,"['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']","['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']",bbjjjj, 3j_l, 1j_l + 2b, 4j_l + 2b
U D D,U_3 D D,B,B,jjj,tjj,"['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']","['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']",tjjjjj, 3j_l, 2j_l + 1t, 5j_l + 1t
U D D,U_3 D_3 D,B,B,jjj,tbj,"['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']","['B -- (t) -- t -- [j,b]', 'B -- (j) -- d -- [t,b]', 'B -- (b) -- b -- [t,j]']",tbjjjj, 3j_l, 1j_l + 1t + 1b, 4j_l + 1t + 1b
U D D,U_3 D_3 D_3,B,B,jjj,tbb,"['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']","['B -- (t) -- t -- [b,b]', 'B -- (b) -- b -- [t,b]', 'B -- (b) -- b -- [t,b]']",tbbjjj, 3j_l, 1t + 2b, 3j_l + 1t + 2b
U D_3 D,U D D,B,B,bjj,jjj,"['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']","['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']",bjjjjj, 2j_l + 1b, 3j_l, 5j_l + 1b
U D_3 D,U D_3 D_3,B,B,bjj,bbj,"['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']","['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']",bbbjjj, 2j_l + 1b, 1j_l + 2b, 3j_l + 3b
U D_3 D,U_3 D D,B,B,bjj,tjj,"['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']","['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']",tbjjjj, 2j_l + 1b, 2j_l + 1t, 4j_l + 1t + 1b
U D_3 D,U_3 D_3 D,B,B,bjj,tbj,"['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']","['B -- (t) -- t -- [j,b]', 'B -- (j) -- d -- [t,b]', 'B -- (b) -- b -- [t,j]']",tbbjjj, 2j_l + 1b, 1j_l + 1t + 1b, 3j_l + 1t + 2b
U D_3 D,U_3 D_3 D_3,B,B,bjj,tbb,"['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']","['B -- (t) -- t -- [b,b]', 'B -- (b) -- b -- [t,b]', 'B -- (b) -- b -- [t,b]']",tbbbjj, 2j_l + 1b, 1t + 2b, 2j_l + 1t + 3b
U D_3 D_3,U D D,B,B,bbj,jjj,"['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']","['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']",bbjjjj, 1j_l + 2b, 3j_l, 4j_l + 2b
U D_3 D_3,U D_3 D,B,B,bbj,bjj,"['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']","['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']",bbbjjj, 1j_l + 2b, 2j_l + 1b, 3j_l + 3b
U D_3 D_3,U_3 D D,B,B,bbj,tjj,"['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']","['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']",tbbjjj, 1j_l + 2b, 2j_l + 1t, 3j_l + 1t + 2b
U D_3 D_3,U_3 D_3 D,B,B,bbj,tbj,"['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']","['B -- (t) -- t -- [j,b]', 'B -- (j) -- d -- [t,b]', 'B -- (b) -- b -- [t,j]']",tbbbjj, 1j_l + 2b, 1j_l + 1t + 1b, 2j_l + 1t + 3b
U D_3 D_3,U_3 D_3 D_3,B,B,bbj,tbb,"['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']","['B -- (t) -- t -- [b,b]', 'B -- (b) -- b -- [t,b]', 'B -- (b) -- b -- [t,b]']",tbbbbj, 1j_l + 2b, 1t + 2b, 1j_l + 1t + 4b
U_3 D D,U D D,B,B,tjj,jjj,"['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']","['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']",tjjjjj, 2j_l + 1t, 3j_l, 5j_l + 1t
U_3 D D,U D_3 D,B,B,tjj,bjj,"['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']","['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']",tbjjjj, 2j_l + 1t, 2j_l + 1b, 4j_l + 1t + 1b
U_3 D D,U D_3 D_3,B,B,tjj,bbj,"['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']","['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']",tbbjjj, 2j_l + 1t, 1j_l + 2b, 3j_l + 1t + 2b
U_3 D D,U_3 D_3 D,B,B,tjj,tbj,"['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']","['B -- (t) -- t -- [j,b]', 'B -- (j) -- d -- [t,b]', 'B -- (b) -- b -- [t,j]']",ttbjjj, 2j_l + 1t, 1j_l + 1t + 1b, 3j_l + 2t + 1b
U_3 D D,U_3 D_3 D_3,B,B,tjj,tbb,"['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']","['B -- (t) -- t -- [b,b]', 'B -- (b) -- b -- [t,b]', 'B -- (b) -- b -- [t,b]']",ttbbjj, 2j_l + 1t, 1t + 2b, 2j_l + 2t + 2b
U_3 D_3 D,U D D,B,B,tbj,jjj,"['B -- (t) -- t -- [j,b]', 'B -- (j) -- d -- [t,b]', 'B -- (b) -- b -- [t,j]']","['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']",tbjjjj, 1j_l + 1t + 1b, 3j_l, 4j_l + 1t + 1b
U_3 D_3 D,U D_3 D,B,B,tbj,bjj,"['B -- (t) -- t -- [j,b]', 'B -- (j) -- d -- [t,b]', 'B -- (b) -- b -- [t,j]']","['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']",tbbjjj, 1j_l + 1t + 1b, 2j_l + 1b, 3j_l + 1t + 2b
U_3 D_3 D,U D_3 D_3,B,B,tbj,bbj,"['B -- (t) -- t -- [j,b]', 'B -- (j) -- d -- [t,b]', 'B -- (b) -- b -- [t,j]']","['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']",tbbbjj, 1j_l + 1t + 1b, 1j_l + 2b, 2j_l + 1t + 3b
U_3 D_3 D,U_3 D D,B,B,tbj,tjj,"['B -- (t) -- t -- [j,b]', 'B -- (j) -- d -- [t,b]', 'B -- (b) -- b -- [t,j]']","['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']",ttbjjj, 1j_l + 1t + 1b, 2j_l + 1t, 3j_l + 2t + 1b
U_3 D_3 D,U_3 D_3 D_3,B,B,tbj,tbb,"['B -- (t) -- t -- [j,b]', 'B -- (j) -- d -- [t,b]', 'B -- (b) -- b -- [t,j]']","['B -- (t) -- t -- [b,b]', 'B -- (b) -- b -- [t,b]', 'B -- (b) -- b -- [t,b]']",ttbbbj, 1j_l + 1t + 1b, 1t + 2b, 1j_l + 2t + 3b
U_3 D_3 D_3,U D D,B,B,tbb,jjj,"['B -- (t) -- t -- [b,b]', 'B -- (b) -- b -- [t,b]', 'B -- (b) -- b -- [t,b]']","['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']",tbbjjj, 1t + 2b, 3j_l, 3j_l + 1t + 2b
U_3 D_3 D_3,U D_3 D,B,B,tbb,bjj,"['B -- (t) -- t -- [b,b]', 'B -- (b) -- b -- [t,b]', 'B -- (b) -- b -- [t,b]']","['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']",tbbbjj, 1t + 2b, 2j_l + 1b, 2j_l + 1t + 3b
