LSP,L L E,L_3 L E,L L E_3,L_3 L E_3
B,{'llX'},"{'TlX', 'llX'}",{'TlX'},"{'TTX', 'TlX'}"
W^+,"{'TllX', 'vvllX', 'tbllX', 'lllX', 'jjllX', 'lll', 'lX'}","{'TllX', 'vvllX', 'tbllX', 'tbTlX', 'lllX', 'jjTlX', 'jjllX', 'vvTlX', 'Tll', 'lX', 'TTlX'}","{'TllX', 'tbTlX', 'jjTlX', 'vvTlX', 'Tll', 'TX', 'TTlX'}","{'TllX', 'TTTX', 'vvTTX', 'tbTlX', 'jjTlX', 'TTl', 'vvTlX', 'jjTTX', 'tbTTX', 'TX', 'TTlX'}"
W^0,"{'vvllX', 'TTllX', 'ttllX', 'jjllX', 'llX', 'llllX', 'bbllX'}","{'vvllX', 'TlllX', 'TTTlX', 'TlX', 'TTllX', 'jjTlX', 'ttllX', 'jjllX', 'vvTlX', 'llX', 'bbTlX', 'llllX', 'bbllX', 'ttTlX'}","{'TlllX', 'TTTlX', 'TlX', 'jjTlX', 'vvTlX', 'bbTlX', 'ttTlX'}","{'TlllX', 'bbTTX', 'TTTTX', 'TTTlX', 'ttTTX', 'vvTTX', 'TlX', 'jjTlX', 'TTllX', 'vvTlX', 'jjTTX', 'bbTlX', 'TTX', 'ttTlX'}"
G,"{'jjlX', 'jjlll', 'ttllX', 'jjllX', 'tblll', 'bbllX', 'tblX'}","{'jjlX', 'jjTlX', 'ttllX', 'jjllX', 'tbTll', 'bbTlX', 'bbllX', 'tblX', 'ttTlX', 'jjTll'}","{'tbTX', 'jjTlX', 'tbTll', 'bbTlX', 'jjTX', 'ttTlX', 'jjTll'}","{'bbTTX', 'tbTX', 'jjTTl', 'ttTTX', 'tbTTl', 'jjTlX', 'jjTTX', 'bbTlX', 'jjTX', 'ttTlX'}"
H^+,"{'vllX', 'vlll', 'vlX'}","{'vllX', 'vTlX', 'vTll', 'vlX'}","{'vTX', 'vTll', 'vTlX'}","{'vTTX', 'vTX', 'vTTl', 'vTlX'}"
H^0,"{'vllX', 'vlll', 'vlX'}","{'vllX', 'vTlX', 'vTll', 'vlX'}","{'vTX', 'vTll', 'vTlX'}","{'vTTX', 'vTX', 'vTTl', 'vTlX'}"
q,"{'jllX', 'jlX', 'jlll'}","{'jllX', 'jTll', 'jlX', 'jTlX'}","{'jTlX', 'jTll', 'jTX'}","{'jTlX', 'jTTl', 'jTTX', 'jTX'}"
d,{'jllX'},"{'jllX', 'jTlX'}",{'jTlX'},"{'jTlX', 'jTTX'}"
u,{'jllX'},"{'jllX', 'jTlX'}",{'jTlX'},"{'jTlX', 'jTTX'}"
l,"{'lX', 'lllX'}","{'TllX', 'lX', 'lllX'}","{'TllX', 'TX'}","{'TllX', 'TX', 'TTlX'}"
nu,"{'ll', 'llX'}","{'Tlll', 'TlX', 'llX', 'Tl'}","{'TlX', 'Tl'}","{'TTX', 'TlX', 'TTll', 'TT'}"
e,"{'lX', 'lllX'}","{'TllX', 'TX', 'lX', 'lllX'}",{'TllX'},"{'TllX', 'TTlX'}"
b_L,"{'tlX', 'tlll', 'bllX'}","{'tlX', 'bTlX', 'tTll', 'bllX'}","{'tTll', 'tTX', 'bTlX'}","{'tTTl', 'bTTX', 'tTX', 'bTlX'}"
t_L,"{'blX', 'tllX', 'blll'}","{'blX', 'tllX', 'bTll', 'tTlX'}","{'bTX', 'bTll', 'tTlX'}","{'tTTX', 'bTX', 'bTTl', 'tTlX'}"
t,{'tllX'},"{'tllX', 'tTlX'}",{'tTlX'},"{'tTTX', 'tTlX'}"
b,{'bllX'},"{'bTlX', 'bllX'}",{'bTlX'},"{'bTTX', 'bTlX'}"
tau_L,"{'TllX', 'lX', 'lllX'}","{'TllX', 'lX', 'TTlX'}","{'TllX', 'TX', 'TTlX'}","{'TX', 'TTlX', 'TTTX'}"
nu_tau,"{'Tlll', 'TlX', 'llX'}","{'ll', 'TTll', 'TlX', 'llX'}","{'TTX', 'TlX', 'TTll'}","{'TTX', 'TlX', 'TTTl', 'Tl'}"
tau,{'TllX'},"{'TllX', 'TTlX'}","{'lX', 'TTlX'}","{'TX', 'lX', 'TTlX', 'TTTX'}"
