CAT,LSP,AA,AB,BB,ALL,AA (Common),AB (Common),BB (Common),ALL (Common),AA (Same Flavour),AB (Same Flavour),BB (Same Flavour),ALL (Same Flavour)
L Q D,['B'],"{'jjjjE', 'jjjjll', 'jjjjlE'}",-,-,"{'jjjjE', 'jjjjll', 'jjjjlE'}",jjjj,-,-,jjjj,"['jjjjll', 'jjjjE', 'jjjjlE']",-,-,"['jjjjll', 'jjjjE', 'jjjjlE']"
L Q D,"['W^+', 'W^0']","{'ttbbjjjjlE', 'jjjjjjll', 'vvvvjjjjlE', 'vvjjjjll', 'jjjjjjLllE', 'vvvvjjjjE', 'jjjjjjLlE', 'vvjjjjLllE', 'vvvvjjjjll', 'vvtbjjjjlE', 'jjjjjjjjlE', 'ttbbjjjjll', 'tbjjjjjjlE', 'tbjjjjLE', 'tbjjjjjjll', 'jjjjLLlE', 'tbjjjjll', 'tbjjjjjjE', 'vvjjjjLE', 'jjjjE', 'jjjjjjE', 'jjjjjjjjE', 'jjjjjjLE', 'vvjjjjjjlE', 'jjjjLE', 'tbjjjjLllE', 'jjjjLLE', 'ttbbjjjjE', 'vvjjjjE', 'tbjjjjE', 'jjjjLLllE', 'vvjjjjLlE', 'jjjjll', 'vvtbjjjjE', 'vvtbjjjjll', 'jjjjjjjjll', 'vvjjjjjjll', 'tbjjjjLlE', 'vvjjjjjjE'}","{'bbjjjjLllE', 'bbjjjjLlE', '33jjjjll', 'jjjjjjll', '33jjjjlllE', 'vvvvjjjjlE', 'tbbbjjjjll', 'jjjjLLLllE', 'tbbbjjjjE', 'vvjjjjll', 'vvjjjjLLlE', 'vvvvjjjjE', 'vvjjjjjjE', 'tbjjjjTTE', 'tbbbjjjjlE', 'bbjjjjLE', 'jjjjjjllll', 'jjjjjjLLE', 'vvvvjjjjll', '33jjjjE', 'vv33jjjjE', 'tttbjjjjlE', 'ttjjjjLlE', 'jjjjjjjjlE', '33jjjjlE', 'vv33jjjjlE', 'vvjjjjLE', 'jjjjE', 'vvjjjjLLE', 'jjjjjjE', 'jjjjjjjjE', 'tbjjjjllll', '33jjjjjjlE', 'vvjjjjTTll', 'jjjjjjLLlE', 'vvjjjjllll', 'jjjjjjLE', 'vvjjjjjjlE', 'tttbjjjjE', '33jjjjllE', 'jjjjLE', '33jjjjjjE', 'jjjjLLE', 'tttbjjjjll', '33jjjjjjll', 'jjjjjjTTll', 'jjjjTTll', 'vvjjjjE', 'vv33jjjjll', 'jjjjll', 'tbjjjjTTlE', 'jjjjllll', 'jjjjjjjjll', 'vvjjjjjjll', 'tbjjjjTTll', 'ttjjjjLllE', 'jjjjLLLlE', 'jjjjLLLE', 'ttjjjjLE'}","{'jjjjjjll', 'bbjjjjTTlE', 'jjjjTTlllE', 'ttjjjjjjlE', 'vvjjjjllE', 'vvvvjjjjE', 'ttjjjjllll', 'bbjjjjjjE', 'vvvvjjjjll', 'jjjjTTTTlE', 'jjjjTTllE', 'bbjjjjlE', 'jjjjjjlE', 'jjjjjjTTll', 'jjjjTTll', 'jjjjll', 'ttjjjjlE', 'jjjjllllll', 'bbjjjjE', 'jjjjllllE', 'ttbbjjjjlE', 'vvbbjjjjlE', 'ttjjjjllE', 'jjjjjjllll', 'vvjjjjTTlE', 'ttttjjjjE', 'ttjjjjE', 'vvbbjjjjll', 'jjjjjjlllE', 'ttjjjjTTE', 'jjjjjjE', 'jjjjjjjjE', 'vvjjjjllll', 'jjjjTTE', 'ttjjjjjjll', 'jjjjTTllll', 'ttbbjjjjE', 'vvjjjjE', 'bbjjjjjjlE', 'jjjjjjTTE', 'vvttjjjjll', 'jjjjTTTTll', 'ttjjjjjjE', 'vvjjjjlllE', 'vvvvjjjjlE', 'bbjjjjll', 'ttjjjjTTlE', 'jjjjjjTTlE', 'jjjjTTTTE', 'vvttjjjjE', 'jjjjjjjjlE', 'vvjjjjTTE', 'jjjjlllE', 'ttttjjjjll', 'bbjjjjlllE', 'jjjjTTlE', 'vvjjjjjjlE', 'jjjjlE', 'bbjjjjTTE', 'bbbbjjjjE', 'jjjjllll', 'vvjjjjjjll', 'bbjjjjjjll', 'vvjjjjjjE', 'bbbbjjjjll', 'vvjjjjlE', 'ttttjjjjlE', 'vvjjjjll', 'bbbbjjjjlE', 'ttjjjjTTll', 'vvttjjjjlE', 'ttbbjjjjll', 'bbjjjjTTll', 'jjjjjjllE', 'bbjjjjllll', 'jjjjE', 'jjjjllE', 'bbjjjjllE', 'ttjjjjll', 'jjjjjjjjll', 'vvbbjjjjE', 'jjjjlllllE', 'ttjjjjlllE', 'vvjjjjTTll'}","{'33jjjjll', 'jjjjjjll', 'vvvvjjjjlE', 'vvjjjjLLlE', 'vvjjjjll', 'vvvvjjjjE', '33jjjjTTll', 'jjjjjjllll', 'jjjjjjLLE', 'vvvvjjjjll', '33jjjjE', 'vv33jjjjE', 'jjjjjjjjlE', '3333jjjjE', 'vv33jjjjlE', 'vvjjjjLE', 'jjjjE', '33jjjjLE', 'vvjjjjLLE', 'jjjjjjE', '3333jjjjll', 'jjjjLLLLlE', 'jjjjjjjjE', 'vvjjjjTTll', '33jjjjjjlE', '33jjjjllll', 'jjjjjjLLlE', 'vvjjjjllll', 'jjjjjjLE', 'vvjjjjjjlE', '33jjjjLLE', 'jjjjLE', '3333jjjjlE', '33jjjjjjE', 'jjjjLLE', 'jjjjTTllll', '33jjjjjjll', 'jjjjjjTTll', 'jjjjTTll', 'vvjjjjE', 'vv33jjjjll', 'jjjjll', '33jjjjLLlE', 'jjjjLLLLE', 'jjjjllllll', 'jjjjTTTTll', 'jjjjllll', 'jjjjjjjjll', 'vvjjjjjjll', 'vvjjjjjjE', 'jjjjLLLE'}",jjjj,jjjj,jjjj,jjjj,"['jjjjLE', 'vvjjjjll', 'jjjjLLE', 'vvjjjjLE', 'ttbbjjjjlE', 'jjjjjjjjlE', 'tbjjjjjjlE', 'tbjjjjjjE', 'jjjjjjjjE', 'ttbbjjjjE', 'jjjjLLllE', 'vvjjjjLlE', 'jjjjll', 'jjjjjjll', 'tbjjjjll', 'vvjjjjLllE', 'jjjjLLlE', 'vvjjjjE', 'vvvvjjjjlE', 'vvvvjjjjE', 'jjjjE', 'jjjjjjE', 'tbjjjjE', 'tbvvjjjjE', 'jjvvjjjjE', 'tbvvjjjjlE', 'jjvvjjjjlE', 'vvvvjjjjll', 'jjjjjjLllE', 'tbjjjjLllE', 'ttbbjjjjll', 'tbjjjjjjll', 'jjjjjjjjll', 'tbvvjjjjll', 'jjvvjjjjll', 'jjjjjjLlE', 'tbjjjjLlE', 'tbjjjjLE', 'jjjjjjLE']","['jjjjLE', 'vvjjjjll', 'jjjjLLE', 'vvjjjjLE', 'tbbbjjjjlE', 'tttbjjjjlE', 'jjjjjjjjlE', '33jjjjjjlE', 'tbbbjjjjE', 'jjjjjjjjE', 'tttbjjjjE', '33jjjjjjE', 'jjjjLLLlE', 'vvjjjjLLE', 'jjjjll', '(JJ)jjjjll', 'vvjjjjLLlE', 'jjjjLLLE', 'vvjjjjE', 'vvvvjjjjlE', 'vvvvjjjjE', 'jjjjE', '(JJ)jjjjE', 'jjlljjjjll', 'tblljjjjll', 'jjTTjjjjll', 'tbTTjjjjll', '(JJ)vvjjjjE', '(LL)vvjjjjll', '(JJ)vvjjjjlE', 'vvvvjjjjll', 'bbLljjjjlE', '33lljjjjlE', 'jjLLjjjjlE', 'tbTTjjjjlE', 'ttLljjjjlE', 'tbbbjjjjll', 'tttbjjjjll', '33jjjjjjll', 'jjjjjjjjll', '(JJ)vvjjjjll', '(LL)jjjjll', 'jjjjLLLllE', 'bbLljjjjE', 'tbTTjjjjE', 'jjLLjjjjE', 'ttLljjjjE', '33lljjjjE', 'bbLjjjjE', '33ljjjjE', 'jjLjjjjE', 'ttLjjjjE']","['vvjjjjll', 'jjjjlE', '(LL)jjjjE', 'vvjjjjlE', 'ttjjjjjjlE', 'ttbbjjjjlE', 'bbjjjjjjlE', 'jjjjjjjjlE', 'ttttjjjjlE', 'bbbbjjjjlE', 'bbjjjjjjE', 'ttttjjjjE', 'jjjjjjjjE', 'ttbbjjjjE', 'ttjjjjjjE', 'bbbbjjjjE', 'TTlljjjjE', 'lllljjjjE', 'TTTTjjjjE', '(LL)vvjjjjE', 'jjjjll', '(JJ)jjjjll', '(LL)vvjjjjlE', '(LL)jjjjlE', 'vvjjjjE', 'vvvvjjjjlE', 'vvvvjjjjE', 'jjjjE', '(JJ)jjjjE', 'ttlljjjjll', 'jjTTjjjjll', 'jjlljjjjll', 'ttTTjjjjll', 'bbTTjjjjll', 'bblljjjjll', '(JJ)vvjjjjE', '(LL)vvjjjjll', '(JJ)vvjjjjlE', 'vvvvjjjjll', 'bbTTjjjjlE', 'jjlljjjjlE', 'ttTTjjjjlE', 'jjTTjjjjlE', 'bblljjjjlE', 'ttlljjjjlE', 'ttjjjjjjll', 'ttttjjjjll', 'bbjjjjjjll', 'bbbbjjjjll', 'ttbbjjjjll', 'jjjjjjjjll', '(JJ)vvjjjjll', 'TTlljjjjlE', 'TTTTjjjjlE', 'lllljjjjlE', '(LL)jjjjll', 'ttlljjjjE', 'ttTTjjjjE', 'jjTTjjjjE', 'bbTTjjjjE', 'jjlljjjjE', 'bblljjjjE', 'lllljjjjll', 'TTlljjjjll', 'TTTTjjjjll', '(JJ)jjjjlE']","['jjjjLE', 'vvjjjjll', 'jjjjLLE', 'vvjjjjLE', 'jjjjjjjjlE', '33jjjjjjlE', '3333jjjjlE', '3333jjjjE', 'jjjjjjjjE', '33jjjjjjE', 'jjjjLLLLE', 'vvjjjjLLE', 'jjjjll', '(JJ)jjjjll', 'vvjjjjLLlE', 'jjjjLLLE', 'vvjjjjE', 'vvvvjjjjlE', 'vvvvjjjjE', 'jjjjE', '(JJ)jjjjE', '33TTjjjjll', 'jjlljjjjll', '33lljjjjll', 'jjTTjjjjll', '(JJ)vvjjjjE', '(LL)vvjjjjll', '(JJ)vvjjjjlE', 'vvvvjjjjll', '(JJ)jjjjLLlE', '3333jjjjll', '33jjjjjjll', 'jjjjjjjjll', '(JJ)vvjjjjll', 'jjjjLLLLlE', '(LL)jjjjll', 'TTlljjjjll', 'lllljjjjll', 'TTTTjjjjll', '(JJ)jjjjLLE', '(JJ)jjjjLE']"
L Q D,['G'],"{'jjjjE', '3333jjjjll', '33jjjjE', 'jjjjjjE', 'jjjjll', '33jjjjll', 'jjjjjjjjE', 'jjjjjjll', '33jjjjjjlE', 'jjjjjjlE', 'jjjjjjjjlE', 'jjjjjjjjll', '33jjjjlE', '3333jjjjlE', '3333jjjjE', '33jjjjjjE', 'jjjjlE', '33jjjjjjll'}",-,-,"{'jjjjE', '3333jjjjll', '33jjjjE', 'jjjjjjE', 'jjjjll', '33jjjjll', 'jjjjjjjjE', 'jjjjjjll', '33jjjjjjlE', 'jjjjjjlE', 'jjjjjjjjlE', 'jjjjjjjjll', '33jjjjlE', '3333jjjjlE', '3333jjjjE', '33jjjjjjE', 'jjjjlE', '33jjjjjjll'}",jjjj,-,-,jjjj,"['jjjjE', 'jjjjlE', '(JJ)jjjjE', '3333jjjjll', 'jjjjjjjjll', '33jjjjjjll', 'jjjjll', '(JJ)jjjjlE', '(JJ)jjjjll', '33jjjjjjlE', 'jjjjjjjjlE', '3333jjjjlE', 'jjjjjjjjE', '3333jjjjE', '33jjjjjjE']",-,-,"['jjjjE', 'jjjjlE', '(JJ)jjjjE', '3333jjjjll', 'jjjjjjjjll', '33jjjjjjll', 'jjjjll', '(JJ)jjjjlE', '(JJ)jjjjll', '33jjjjjjlE', 'jjjjjjjjlE', '3333jjjjlE', 'jjjjjjjjE', '3333jjjjE', '33jjjjjjE']"
L Q D,"['H^+', 'H^0']","{'vvjjjjll', 'vvjjjjE', 'vvjjjjlE'}","{'vvjjjjll', 'vvjjjjE', 'vvjjjjlE'}","{'vvjjjjll', 'vvjjjjE', 'vvjjjjlE'}","{'vvjjjjll', 'vvjjjjE', 'vvjjjjlE'}",jjjjvv,jjjjvv,jjjjvv,jjjjvv,"['vvjjjjlE', 'vvjjjjE', 'vvjjjjll']","['vvjjjjlE', 'vvjjjjE', 'vvjjjjll']","['vvjjjjlE', 'vvjjjjE', 'vvjjjjll']","['vvjjjjlE', 'vvjjjjE', 'vvjjjjll']"
L Q D,['q'],"{'jjjjE', 'jjjjjjE', 'jjjjll', 'jjE', 'jjjjjjll', 'jjll', 'jjjjjjlE', 'jjlE', 'jjjjlE'}",-,-,"{'jjjjE', 'jjjjjjE', 'jjjjll', 'jjE', 'jjjjjjll', 'jjll', 'jjjjjjlE', 'jjlE', 'jjjjlE'}",jj,-,-,jj,"['jjjjE', 'jjjjlE', 'jjjjjjE', 'jjE', 'jjjjll', 'jjlE', 'jjjjjjlE', 'jjjjjjll', 'jjll']",-,-,"['jjjjE', 'jjjjlE', 'jjjjjjE', 'jjE', 'jjjjll', 'jjlE', 'jjjjjjlE', 'jjjjjjll', 'jjll']"
L Q D,['d'],"{'jjjjE', 'jjjjjjE', 'jjjjll', 'jjE', 'jjjjjjll', 'jjll', 'jjjjjjlE', 'jjlE', 'jjjjlE'}",-,-,"{'jjjjE', 'jjjjjjE', 'jjjjll', 'jjE', 'jjjjjjll', 'jjll', 'jjjjjjlE', 'jjlE', 'jjjjlE'}",jj,-,-,jj,"['jjjjE', 'jjjjlE', 'jjjjjjE', 'jjE', 'jjjjll', 'jjlE', 'jjjjjjlE', 'jjjjjjll', 'jjll']",-,-,"['jjjjE', 'jjjjlE', 'jjjjjjE', 'jjE', 'jjjjll', 'jjlE', 'jjjjjjlE', 'jjjjjjll', 'jjll']"
L Q D,['u'],"{'jjjjjjll', 'jjjjjjE', 'jjjjjjlE'}",-,-,"{'jjjjjjll', 'jjjjjjE', 'jjjjjjlE'}",jjjjjj,-,-,jjjjjj,"['jjjjjjll', 'jjjjjjlE', 'jjjjjjE']",-,-,"['jjjjjjll', 'jjjjjjlE', 'jjjjjjE']"
L Q D,"['l', 'nu']","{'jjjjE', 'jjjjll', 'jjjjllE', 'jjjj', 'jjjjllll', 'jjjjlE', 'jjjjlllE'}","{'jjjjE', 'jjjjll', 'jjjjllE', 'jjjj', 'jjjjllll', 'jjjjlE', 'jjjjlllE'}","{'jjjjE', 'jjjjll', 'jjjjllE', 'jjjj', 'jjjjllll', 'jjjjlE', 'jjjjlllE'}","{'jjjjE', 'jjjjll', 'jjjjllE', 'jjjj', 'jjjjllll', 'jjjjlE', 'jjjjlllE'}",jjjj,jjjj,jjjj,jjjj,"['jjjjE', 'jjjjlE', 'jjjjllll', 'jjjjll', 'jjjjllE', 'jjjjlllE', 'jjjj']","['jjjjE', 'jjjjlE', 'jjjjllll', 'jjjjll', 'jjjjllE', 'jjjjlllE', 'jjjj']","['jjjjE', 'jjjjlE', 'jjjjllll', 'jjjjll', 'jjjjllE', 'jjjjlllE', 'jjjj']","['jjjjE', 'jjjjlE', 'jjjjllll', 'jjjjll', 'jjjjllE', 'jjjjlllE', 'jjjj']"
L Q D,['e'],"{'jjjjllE', 'jjjjllll', 'jjjjlllE'}",-,-,"{'jjjjllE', 'jjjjllll', 'jjjjlllE'}",jjjjll,-,-,jjjjll,"['jjjjllE', 'jjjjlllE', 'jjjjllll']",-,-,"['jjjjllE', 'jjjjlllE', 'jjjjllll']"
L Q D,"['b_L', 't_L']","{'33jjjjlE', '33jjjjE', '33jjjjll'}","{'33jjjjlE', '33jjjjE', '33jjjjll'}","{'33jjjjlE', '33jjjjE', '33jjjjll'}","{'33jjjjlE', '33jjjjE', '33jjjjll'}",jjjj,jjjj,jjjj,jjjj,"['33jjjjll', '33jjjjlE', '33jjjjE']","['33jjjjll', '33jjjjlE', '33jjjjE']","['33jjjjll', '33jjjjlE', '33jjjjE']","['33jjjjll', '33jjjjlE', '33jjjjE']"
