LSP,U D D,U D_3 D,U D_3 D_3,U_3 D D,U_3 D_3 D,U_3 D_3 D_3
['B'],{'jjjjjj'},{'bbjjjj'},{'bbbbjj'},{'ttjjjj'},{'ttbbjj'},{'ttbbbb'}
"['W^+', 'W^0']","{'jjjjjjjjE', 'jjjjjjjjjj', 'vv33jjjjjj', 'vvvvjjjjjj', 'jjjjjjjjLE', 'jjjjjjjjll', '33jjjjjjE', 'vvjjjjjjjj', '33jjjjjjjj', '3333jjjjjj', 'jjjjjjjjTT', 'vvjjjjjjll', 'jjjjjjllll', 'jjjjjjTTll', 'jjjjjjLLLE', 'jjjjjjE', '33jjjjjjTT', 'jjjjjjLE', 'vvjjjjjjTT', '33jjjjjjLE', 'vvjjjjjjE', 'vvjjjjjjLE', 'jjjjjjLLE', '33jjjjjjll', 'jjjjjjTTTT'}","{'v333bjjjj', 'v3bjjjjjj', 'bbjjjjTTTT', 'vvbbjjjjLE', '33bbjjjjll', 'bbjjjjjjTT', 'v3bjjjjTT', '3333bbjjjj', '33bbjjjjLE', '33bbjjjjE', 'vvbbjjjjTT', 'bbjjjjTTll', 'vvbbjjjjll', '33bbjjjjTT', 'vv33jjjj', 'vvbbjjjjjj', 'bbjjjjLLLE', '33bbjjjjjj', 'bbjjjjjjll', 'v3bjjjjll', 'bbjjjjjjE', 'vvbbjjjjE', 'bbjjjjE', 'bbjjjjllll', 'vvv3bjjjj', 'bbjjjjjjjj', 'vv33bbjjjj', 'v3bjjjjE', 'v3bjjjjLE', 'vvvvbbjjjj', 'bbjjjjLE', 'bbjjjjLLE', 'bbjjjjjjLE'}","{'bbbbjjLLLE', 'v333bbbjj', 'bbbbjjjjLE', 'vvvvbbbbjj', '33bbbbjjTT', 'bbbbjjTTTT', 'vv33bbbbjj', 'bbbbjjllll', '33bbbbjjll', '3333bbbbjj', 'vv33bbjj', 'bbbbjjLLE', '33bbbbjjE', 'bbbbjjjjE', 'vvbbbbjjll', 'v3bbbjjTT', 'bbbbjjjjll', 'vvbbbbjjjj', 'v3bbbjjLE', 'vvbbbbjjE', '33bbbbjjLE', 'v3bbbjjjj', 'bbbbjjLE', 'vvbbbbjjLE', 'bbbbjjE', 'bbbbjjTTll', 'vvv3bbbjj', 'v3bbbjjE', '33bbbbjjjj', 'vvbbbbjjTT', 'v3bbbjjll', 'bbbbjjjjTT', 'bbbbjjjjjj'}","{'ttjjjjTTll', 'v3tjjjjTT', 'ttjjjjllll', 'ttjjjjjjll', 'ttjjjjLLE', 'v3tjjjjll', 'v3tjjjjjj', 'v333tjjjj', 'vvttjjjjLE', 'ttjjjjLE', 'vvttjjjjE', 'vvvvttjjjj', 'v3tjjjjLE', 'ttjjjjTTTT', 'vvv3tjjjj', '33ttjjjjjj', '33ttjjjjll', 'vvttjjjjll', 'vvttjjjjjj', 'vv33jjjj', 'vv33ttjjjj', '33ttjjjjTT', 'ttjjjjE', 'v3tjjjjE', 'ttjjjjjjLE', 'ttjjjjLLLE', '3333ttjjjj', 'ttjjjjjjE', 'ttjjjjjjTT', '33ttjjjjE', '33ttjjjjLE', 'vvttjjjjTT', 'ttjjjjjjjj'}","{'vv33ttbbjj', 'vvttbbjjTT', 'v33tbjjE', 'ttbbjjE', 'v33tbjjjj', 'vvttbbjjLE', 'vvttbbjjE', 'ttbbjjjjll', '33ttbbjjTT', 'ttbbjjjjE', 'vvttbbjjll', 'ttbbjjllll', 'vv3333jj', 'vvv33tbjj', '33ttbbjjll', 'ttbbjjTTTT', '33ttbbjjE', 'vvttbbjjjj', 'ttbbjjjjLE', 'v33tbjjll', 'ttbbjjLLLE', 'ttbbjjTTll', 'ttbbjjLE', '33ttbbjjjj', 'vvvvttbbjj', 'ttbbjjjjTT', 'v33tbjjTT', 'ttbbjjLLE', 'ttbbjjjjjj', '3333ttbbjj', 'v3333tbjj', 'v33tbjjLE', '33ttbbjjLE'}",{'vv3333bb'}
['G'],{'jjjjjj'},{'bbjjjj'},{'bbbbjj'},{'ttjjjj'},{'ttbbjj'},{'ttbbbb'}
"['H^+', 'H^0']",{'vvjjjjjj'},"{'33jjjj', 'v3bjjjj', 'vvbbjjjj'}","{'33bbjj', 'v3bbbjj', 'vvbbbbjj'}","{'33jjjj', 'v3tjjjj', 'vvttjjjj'}","{'v33tbjj', 'vvttbbjj', '3333jj'}",{'3333bb'}
['q'],{'jjjjjjjj'},{'bbjjjjjj'},{'bbbbjjjj'},{'ttjjjjjj'},{'ttbbjjjj'},{'ttbbbbjj'}
['d'],"{'jjjjjj', 'jjjj', 'jjjjjjjj'}","{'bbjjjj', 'bbjjjjjj', 'bbjj'}",{'bbbbjjjj'},"{'ttjjjj', 'ttjj', 'ttjjjjjj'}","{'ttbbjjjj', 'ttbb', 'ttbbjj'}",{'ttbbbbjj'}
['u'],"{'jjjjjj', 'jjjj', 'jjjjjjjj'}","{'bbjjjj', 'bbjjjjjj', 'bbjj'}","{'bbbb', 'bbbbjjjj', 'bbbbjj'}",{'ttjjjjjj'},{'ttbbjjjj'},{'ttbbbbjj'}
"['l', 'nu']","{'jjjjjjE', 'jjjjjjlE', 'jjjjjjll'}","{'bbjjjjll', 'bbjjjjE', 'bbjjjjlE'}","{'bbbbjjll', 'bbbbjjE', 'bbbbjjlE'}","{'ttjjjjE', 'ttjjjjlE', 'ttjjjjll'}","{'ttbbjjlE', 'ttbbjjE', 'ttbbjjll'}","{'ttbbbbE', 'ttbbbbll', 'ttbbbblE'}"
['e'],{'jjjjjjll'},{'bbjjjjll'},{'bbbbjjll'},{'ttjjjjll'},{'ttbbjjll'},{'ttbbbbll'}
"['b_L', 't_L']",{'33jjjjjj'},{'3333jjjj'},{'3333bbjj'},{'3333jjjj'},{'333333jj'},{'333333bb'}
