CAT A,CAT B,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
U D D,L Q D,B,B,jjj,jjl,"['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']","['B -- (l) -- l -- [j,j]', 'B -- (j) -- q -- [l,j]', 'B -- (j) -- d -- [l,j]']",jjjjjl, 3j_l, 2j_l + 1l, 5j_l + 1l
U D D,L Q D,B,B,jjj,jjX,"['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']","['B -- (X) -- nu -- [j,j]', 'B -- (j) -- q -- [X,j]', 'B -- (j) -- d -- [X,j]']",jjjjjX, 3j_l, 2j_l + MET, 5j_l + MET
U D D,L Q D_3,B,B,jjj,bjl,"['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']","['B -- (l) -- l -- [j,b]', 'B -- (j) -- q -- [l,b]', 'B -- (b) -- b -- [l,j]']",bjjjjl, 3j_l, 1j_l + 1b + 1l, 4j_l + 1b + 1l
U D D,L Q D_3,B,B,jjj,bjX,"['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']","['B -- (X) -- nu -- [j,b]', 'B -- (j) -- q -- [X,b]', 'B -- (b) -- b -- [X,j]']",bjjjjX, 3j_l, 1j_l + 1b + MET, 4j_l + 1b + MET
U D D,L Q_3 D,B,B,jjj,tjl,"['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']","['B -- (l) -- l -- [t,j]', 'B -- (t) -- t_L -- [l,j]', 'B -- (j) -- d -- [l,t]']",tjjjjl, 3j_l, 1j_l + 1t + 1l, 4j_l + 1t + 1l
U D D,L Q_3 D,B,B,jjj,bjX,"['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']","['B -- (X) -- nu -- [b,j]', 'B -- (b) -- b_L -- [X,j]', 'B -- (j) -- d -- [X,b]']",bjjjjX, 3j_l, 1j_l + 1b + MET, 4j_l + 1b + MET
U D D,L Q_3 D_3,B,B,jjj,tbl,"['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']","['B -- (l) -- l -- [t,b]', 'B -- (t) -- t_L -- [l,b]', 'B -- (b) -- b -- [l,t]']",tbjjjl, 3j_l, 1t + 1b + 1l, 3j_l + 1t + 1b + 1l
U D D,L Q_3 D_3,B,B,jjj,bbX,"['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']","['B -- (X) -- nu -- [b,b]', 'B -- (b) -- b_L -- [X,b]', 'B -- (b) -- b -- [X,b]']",bbjjjX, 3j_l, 2b + MET, 3j_l + 2b + MET
U D D,L_3 Q D,B,B,jjj,jjX,"['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']","['B -- (X) -- nu_tau -- [j,j]', 'B -- (j) -- q -- [X,j]', 'B -- (j) -- d -- [X,j]']",jjjjjX, 3j_l, 2j_l + MET, 5j_l + MET
U D D,L_3 Q D,B,B,jjj,jjT,"['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']","['B -- (T) -- tau_L -- [j,j]', 'B -- (j) -- q -- [T,j]', 'B -- (j) -- d -- [T,j]']",jjjjjT, 3j_l, 2j_l + 1tau, 5j_l + 1tau
