CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
U D D,B,B,jjj,jjj,"['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']","['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']",jjjjjj, 3j_l, 3j_l, 6j_l
U D D,W^+,W^+,jjjlE,jjjlE,"['W^+ -- (E) -- l -- (l) -- B -- (j) -- u -- [j,j]', 'W^+ -- (E) -- l -- (l) -- B -- (j) -- d -- [j,j]', 'W^+ -- (E) -- l -- (l) -- B -- (j) -- d -- [j,j]']","['W^+ -- (E) -- l -- (l) -- B -- (j) -- u -- [j,j]', 'W^+ -- (E) -- l -- (l) -- B -- (j) -- d -- [j,j]', 'W^+ -- (E) -- l -- (l) -- B -- (j) -- d -- [j,j]']",jjjjjjllE, 3j_l + 1l + MET, 3j_l + 1l + MET, 6j_l + 2l + MET
U D D,W^+,W^+,jjjlE,vvjjj,"['W^+ -- (E) -- l -- (l) -- B -- (j) -- u -- [j,j]', 'W^+ -- (E) -- l -- (l) -- B -- (j) -- d -- [j,j]', 'W^+ -- (E) -- l -- (l) -- B -- (j) -- d -- [j,j]']","['W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- u -- [j,j]', 'W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [j,j]', 'W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [j,j]']",vvjjjjjjlE, 3j_l + 1l + MET, 3j_l + 2v, 6j_l + 1l + 2v + MET
U D D,W^+,W^+,jjjlE,jjjjj,"['W^+ -- (E) -- l -- (l) -- B -- (j) -- u -- [j,j]', 'W^+ -- (E) -- l -- (l) -- B -- (j) -- d -- [j,j]', 'W^+ -- (E) -- l -- (l) -- B -- (j) -- d -- [j,j]']","['W^+ -- (j) -- q -- (j) -- B -- (j) -- u -- [j,j]', 'W^+ -- (j) -- q -- (j) -- B -- (j) -- d -- [j,j]', 'W^+ -- (j) -- q -- (j) -- B -- (j) -- d -- [j,j]']",jjjjjjjjlE, 3j_l + 1l + MET, 5j_l, 8j_l + 1l + MET
U D D,W^+,W^+,jjjlE,tbjjj,"['W^+ -- (E) -- l -- (l) -- B -- (j) -- u -- [j,j]', 'W^+ -- (E) -- l -- (l) -- B -- (j) -- d -- [j,j]', 'W^+ -- (E) -- l -- (l) -- B -- (j) -- d -- [j,j]']","['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- u -- [j,j]', 'W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [j,j]', 'W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [j,j]']",tbjjjjjjlE, 3j_l + 1l + MET, 3j_l + 1t + 1b, 6j_l + 1t + 1b + 1l + MET
U D D,W^+,W^+,jjjlE,jjjTE,"['W^+ -- (E) -- l -- (l) -- B -- (j) -- u -- [j,j]', 'W^+ -- (E) -- l -- (l) -- B -- (j) -- d -- [j,j]', 'W^+ -- (E) -- l -- (l) -- B -- (j) -- d -- [j,j]']","['W^+ -- (E) -- tau_L -- (T) -- B -- (j) -- u -- [j,j]', 'W^+ -- (E) -- tau_L -- (T) -- B -- (j) -- d -- [j,j]', 'W^+ -- (E) -- tau_L -- (T) -- B -- (j) -- d -- [j,j]']",jjjjjjTlE, 3j_l + 1l + MET, 3j_l + 1tau + MET, 6j_l + 1l + 1tau + MET
U D D,W^+,W^+,vvjjj,jjjlE,"['W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- u -- [j,j]', 'W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [j,j]', 'W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [j,j]']","['W^+ -- (E) -- l -- (l) -- B -- (j) -- u -- [j,j]', 'W^+ -- (E) -- l -- (l) -- B -- (j) -- d -- [j,j]', 'W^+ -- (E) -- l -- (l) -- B -- (j) -- d -- [j,j]']",vvjjjjjjlE, 3j_l + 2v, 3j_l + 1l + MET, 6j_l + 1l + 2v + MET
U D D,W^+,W^+,vvjjj,vvjjj,"['W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- u -- [j,j]', 'W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [j,j]', 'W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [j,j]']","['W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- u -- [j,j]', 'W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [j,j]', 'W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [j,j]']",vvvvjjjjjj, 3j_l + 2v, 3j_l + 2v, 6j_l + 4v
U D D,W^+,W^+,vvjjj,jjjjj,"['W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- u -- [j,j]', 'W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [j,j]', 'W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [j,j]']","['W^+ -- (j) -- q -- (j) -- B -- (j) -- u -- [j,j]', 'W^+ -- (j) -- q -- (j) -- B -- (j) -- d -- [j,j]', 'W^+ -- (j) -- q -- (j) -- B -- (j) -- d -- [j,j]']",vvjjjjjjjj, 3j_l + 2v, 5j_l, 8j_l + 2v
U D D,W^+,W^+,vvjjj,tbjjj,"['W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- u -- [j,j]', 'W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [j,j]', 'W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [j,j]']","['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- u -- [j,j]', 'W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [j,j]', 'W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [j,j]']",vvtbjjjjjj, 3j_l + 2v, 3j_l + 1t + 1b, 6j_l + 1t + 1b + 2v
