CAT,LSP,AA,AB,BB,ALL,AA (Common),AB (Common),BB (Common),ALL (Common),AA (Same Flavour),AB (Same Flavour),BB (Same Flavour),ALL (Same Flavour)
U D D,['B'],{'jjjjjj'},-,-,{'jjjjjj'},jjjjjj,-,-,jjjjjj,['jjjjjj'],-,-,['jjjjjj']
U D D,"['W^+', 'W^0']","{'tbjjjjjjjj', 'jjjjjjLLE', 'vvtbjjjjjj', 'jjjjjjjjLE', 'vvjjjjjjjj', 'ttbbjjjjjj', 'jjjjjjjjjj', 'tbjjjjjjLE', 'vvjjjjjjLE', 'vvvvjjjjjj'}","{'tbjjjjjjll', 'jjjjjjjjTT', 'tbjjjjjjTT', 'tbjjjjjjE', 'tttbjjjjjj', 'jjjjjjjjjj', 'vvjjjjjjll', 'vvjjjjjjE', 'ttjjjjjjLE', 'bbjjjjjjLE', 'jjjjjjLE', '33jjjjjjjj', 'vvjjjjjjLE', 'vvjjjjjjTT', 'vv33jjjjjj', 'jjjjjjjjLE', 'vvjjjjjjjj', 'jjjjjjjjll', 'jjjjjjjjE', 'jjjjjjLLLE', 'vvvvjjjjjj', 'tbbbjjjjjj'}","{'bbbbjjjjjj', 'jjjjjjjjTT', 'vvbbjjjjjj', 'ttbbjjjjjj', 'jjjjjjllE', 'vvttjjjjjj', 'ttttjjjjjj', 'bbjjjjjjjj', 'jjjjjjllll', 'jjjjjjTTll', 'jjjjjjjjjj', 'jjjjjjE', 'bbjjjjjjll', 'vvjjjjjjll', 'ttjjjjjjE', 'jjjjjjTTE', 'vvjjjjjjE', 'ttjjjjjjjj', 'jjjjjjTTTT', 'vvjjjjjjTT', 'bbjjjjjjTT', 'vvjjjjjjjj', 'jjjjjjjjll', 'jjjjjjjjE', 'ttjjjjjjTT', 'ttjjjjjjll', 'vvvvjjjjjj', 'bbjjjjjjE'}","{'jjjjjjjjTT', 'jjjjjjLLLE', '33jjjjjjll', '3333jjjjjj', 'jjjjjjllll', 'jjjjjjTTll', 'jjjjjjjjjj', 'jjjjjjE', '33jjjjjjTT', '33jjjjjjE', 'vvjjjjjjll', 'vvjjjjjjE', '33jjjjjjLE', 'jjjjjjLLE', 'jjjjjjLE', '33jjjjjjjj', 'jjjjjjTTTT', 'vvjjjjjjTT', 'vv33jjjjjj', 'jjjjjjjjLE', 'vvjjjjjjjj', 'jjjjjjjjll', 'jjjjjjjjE', 'vvjjjjjjLE', 'vvvvjjjjjj'}",jjjjjj,jjjjjj,jjjjjj,jjjjjj,"['tbvvjjjjjj', 'jjvvjjjjjj', 'tbjjjjjjjj', 'ttbbjjjjjj', 'jjjjjjjjjj', 'vvjjjjjjLE', 'jjjjjjLLE', 'jjjjjjjjLE', 'tbjjjjjjLE', 'vvvvjjjjjj']","['tbjjjjjjE', 'jjjjjjjjE', '(JJ)vvjjjjjj', 'tblljjjjjj', 'jjTTjjjjjj', 'tbTTjjjjjj', 'jjlljjjjjj', 'tttbjjjjjj', 'jjjjjjjjjj', '33jjjjjjjj', 'tbbbjjjjjj', 'jjjjjjLE', 'vvjjjjjjLE', '(JJ)jjjjjjLE', '(LL)vvjjjjjj', 'vvvvjjjjjj', 'vvjjjjjjE', 'jjjjjjLLLE']","['jjjjjjE', '(JJ)jjjjjjE', '(JJ)vvjjjjjj', 'jjTTjjjjjj', 'bblljjjjjj', 'bbTTjjjjjj', 'jjlljjjjjj', 'ttTTjjjjjj', 'ttlljjjjjj', 'bbbbjjjjjj', 'ttbbjjjjjj', 'ttttjjjjjj', 'bbjjjjjjjj', 'jjjjjjjjjj', 'ttjjjjjjjj', '(LL)jjjjjjE', '(LL)vvjjjjjj', 'vvvvjjjjjj', 'lllljjjjjj', 'TTlljjjjjj', 'TTTTjjjjjj', 'vvjjjjjjE']","['jjjjjjE', '(JJ)jjjjjjE', 'jjTTjjjjjj', '33lljjjjjj', '33TTjjjjjj', 'jjlljjjjjj', '3333jjjjjj', 'jjjjjjjjjj', '33jjjjjjjj', 'vvjjjjjjLE', '(JJ)jjjjjjLE', 'jjjjjjLLE', 'jjjjjjLLLE', 'lllljjjjjj', 'TTlljjjjjj', 'TTTTjjjjjj', 'vvvvjjjjjj', '(LL)vvjjjjjj', '(JJ)vvjjjjjj', 'vvjjjjjjE', 'jjjjjjLE']"
U D D,['G'],{'jjjjjj'},-,-,{'jjjjjj'},jjjjjj,-,-,jjjjjj,['jjjjjj'],-,-,['jjjjjj']
U D D,"['H^+', 'H^0']",{'vvjjjjjj'},{'vvjjjjjj'},{'vvjjjjjj'},{'vvjjjjjj'},jjjjjjvv,jjjjjjvv,jjjjjjvv,jjjjjjvv,['vvjjjjjj'],['vvjjjjjj'],['vvjjjjjj'],['vvjjjjjj']
U D D,['q'],{'jjjjjjjj'},-,-,{'jjjjjjjj'},jjjjjjjj,-,-,jjjjjjjj,['jjjjjjjj'],-,-,['jjjjjjjj']
U D D,['d'],"{'jjjjjjjj', 'jjjj', 'jjjjjj'}",-,-,"{'jjjjjjjj', 'jjjj', 'jjjjjj'}",jjjj,-,-,jjjj,"['jjjj', 'jjjjjjjj', 'jjjjjj']",-,-,"['jjjj', 'jjjjjjjj', 'jjjjjj']"
U D D,['u'],"{'jjjjjjjj', 'jjjj', 'jjjjjj'}",-,-,"{'jjjjjjjj', 'jjjj', 'jjjjjj'}",jjjj,-,-,jjjj,"['jjjj', 'jjjjjjjj', 'jjjjjj']",-,-,"['jjjj', 'jjjjjjjj', 'jjjjjj']"
U D D,"['l', 'nu']",{'jjjjjjll'},{'jjjjjjlE'},{'jjjjjjE'},"{'jjjjjjlE', 'jjjjjjE', 'jjjjjjll'}",jjjjjjll,jjjjjjEl,jjjjjjE,jjjjjj,['jjjjjjll'],['jjjjjjlE'],['jjjjjjE'],"['jjjjjjE', 'jjjjjjll', 'jjjjjjlE']"
U D D,['e'],{'jjjjjjll'},-,-,{'jjjjjjll'},jjjjjjll,-,-,jjjjjjll,['jjjjjjll'],-,-,['jjjjjjll']
U D D,"['b_L', 't_L']",{'bbjjjjjj'},{'tbjjjjjj'},{'ttjjjjjj'},{'33jjjjjj'},jjjjjjbb,bjjjjjjt,jjjjjjtt,jjjjjj,['bbjjjjjj'],['tbjjjjjj'],['ttjjjjjj'],['33jjjjjj']
