Mother,Daughter,All Possible Signature,Minimal Set (same flavour)
B,W^+,"['tb', 'vv', 'TE', 'jj', 'lE']","['tb', 'jj', 'vv', 'LE']"
B,W^0,"['TT', 'bb', 'vv', 'll', 'jj', 'tt', 'E']","['(LL)', '(JJ)', 'vv', 'E']"
B,G,"['jj', 'tt', 'bb']",['(JJ)']
B,H^+,['v'],['v']
B,H^0,['v'],['v']
B,q,['j'],['j']
B,d,['j'],['j']
B,u,['j'],['j']
B,l,['l'],['l']
B,nu,['E'],['E']
B,e,['l'],['l']
B,b_L,['b'],['b']
B,t_L,['t'],['t']
B,t,['t'],['t']
B,b,['b'],['b']
B,tau_L,['T'],['T']
B,nu_tau,['E'],['E']
B,tau,['T'],['T']
W^+,B,"['tb', 'vv', 'TE', 'jj', 'lE']","['tb', 'jj', 'vv', 'LE']"
W^+,W^0,"['tb', 'vv', 'TE', 'jj', 'lE']","['tb', 'jj', 'vv', 'LE']"
W^+,G,"['tb', 'jj']","['tb', 'jj']"
W^+,H^+,['v'],['v']
W^+,H^0,['v'],['v']
W^+,q,['j'],['j']
W^+,d,"['jTE', 'vvj', 'jjj', 'tbj', 'jlE']","['vvj', 'jLE', 'jjj', 'tbj']"
W^+,u,"['jTE', 'vvj', 'jjj', 'tbj', 'jlE']","['vvj', 'jLE', 'jjj', 'tbj']"
W^+,l,['E'],['E']
W^+,nu,['l'],['l']
W^+,e,"['tbl', 'jjl', 'vvl', 'TlE', 'llE']","['jjl', 'tbl', 'LlE', 'vvl']"
W^+,b_L,['t'],['t']
W^+,t_L,['b'],['b']
W^+,t,"['vt', 'vb']",['v3']
W^+,b,"['vt', 'vb']",['v3']
W^+,tau_L,['E'],['E']
W^+,nu_tau,['T'],['T']
W^+,tau,"['tbT', 'jjT', 'TlE', 'vvT', 'TTE']","['LTE', 'tbT', 'vvT', 'jjT']"
W^0,B,"['TT', 'bb', 'vv', 'll', 'jj', 'tt', 'E']","['(LL)', '(JJ)', 'vv', 'E']"
W^0,W^+,"['tb', 'vv', 'TE', 'jj', 'lE']","['tb', 'jj', 'vv', 'LE']"
W^0,G,"['jj', 'tt', 'bb']",['(JJ)']
W^0,H^+,['v'],['v']
W^0,H^0,['v'],['v']
W^0,q,['j'],['j']
W^0,d,"['vvj', 'bbj', 'ttj', 'jjj', 'jTT', 'jE', 'jll']","['jE', '(JJ)j', 'vvj', '(LL)j']"
