Mother,Daughter,All Possible Signature,Minimal Set (same flavour)
B,W^+,"['tb', 'lX', 'jj', 'vv', 'TX']","['vv', 'jj', 'LX', 'tb']"
B,W^0,"['ll', 'X', 'bb', 'jj', 'TT', 'vv', 'tt']","['vv', 'X', '(LL)', '(JJ)']"
B,G,"['bb', 'jj', 'tt']",['(JJ)']
B,H^+,['v'],['v']
B,H^0,['v'],['v']
B,q,['j'],['j']
B,d,['j'],['j']
B,u,['j'],['j']
B,l,['l'],['l']
B,nu,['X'],['X']
B,e,['l'],['l']
B,b_L,['b'],['b']
B,t_L,['t'],['t']
B,t,['t'],['t']
B,b,['b'],['b']
B,tau_L,['T'],['T']
B,nu_tau,['X'],['X']
B,tau,['T'],['T']
W^+,B,"['tb', 'lX', 'jj', 'vv', 'TX']","['vv', 'jj', 'LX', 'tb']"
W^+,W^0,"['tb', 'lX', 'jj', 'vv', 'TX']","['vv', 'jj', 'LX', 'tb']"
W^+,G,"['tb', 'jj']","['tb', 'jj']"
W^+,H^+,['v'],['v']
W^+,H^0,['v'],['v']
W^+,q,['j'],['j']
W^+,d,"['tbj', 'jlX', 'vvj', 'jjj', 'jTX']","['jLX', 'jjj', 'tbj', 'vvj']"
W^+,u,"['tbj', 'jlX', 'vvj', 'jjj', 'jTX']","['jLX', 'jjj', 'tbj', 'vvj']"
W^+,l,['X'],['X']
W^+,nu,['l'],['l']
W^+,e,"['llX', 'vvl', 'tbl', 'TlX', 'jjl']","['tbl', 'LlX', 'vvl', 'jjl']"
W^+,b_L,['t'],['t']
W^+,t_L,['b'],['b']
W^+,t,"['vb', 'vt']",['v3']
W^+,b,"['vb', 'vt']",['v3']
W^+,tau_L,['X'],['X']
W^+,nu_tau,['T'],['T']
W^+,tau,"['vvT', 'tbT', 'TTX', 'jjT', 'TlX']","['tbT', 'vvT', 'jjT', 'LTX']"
W^0,B,"['ll', 'X', 'bb', 'jj', 'TT', 'vv', 'tt']","['vv', 'X', '(LL)', '(JJ)']"
W^0,W^+,"['tb', 'lX', 'jj', 'vv', 'TX']","['vv', 'jj', 'LX', 'tb']"
W^0,G,"['bb', 'jj', 'tt']",['(JJ)']
W^0,H^+,['v'],['v']
W^0,H^0,['v'],['v']
W^0,q,['j'],['j']
W^0,d,"['jll', 'ttj', 'vvj', 'bbj', 'jjj', 'jTT', 'jX']","['jX', '(LL)j', '(JJ)j', 'vvj']"
W^0,u,"['jll', 'ttj', 'vvj', 'bbj', 'jjj', 'jTT', 'jX']","['jX', '(LL)j', '(JJ)j', 'vvj']"
W^0,l,['l'],['l']
W^0,nu,['X'],['X']
W^0,e,"['bbl', 'lX', 'vvl', 'lll', 'jjl', 'TTl', 'ttl']","['lX', '(LL)l', 'vvl', '(JJ)l']"
W^0,b_L,['b'],['b']
W^0,t_L,['t'],['t']
W^0,t,"['vb', 'vt']",['v3']
W^0,b,"['vb', 'vt']",['v3']
W^0,tau_L,['T'],['T']
W^0,nu_tau,['X'],['X']
W^0,tau,"['ttT', 'vvT', 'TTT', 'bbT', 'Tll', 'jjT', 'TX']","['(JJ)T', 'vvT', '(LL)T', 'TX']"
G,B,"['bb', 'jj', 'tt']",['(JJ)']
G,W^+,"['tb', 'jj']","['tb', 'jj']"
G,W^0,"['bb', 'jj', 'tt']",['(JJ)']
G,H^+,['tb'],['tb']
G,H^0,"['bb', 'tt']","['bb', 'tt']"
G,q,['j'],['j']
G,d,['j'],['j']
G,u,['j'],['j']
G,l,"['bbl', 'tbX', 'jjl', 'jjX', 'ttl']","['tbX', 'jjX', '(JJ)l']"
G,nu,"['bbX', 'ttX', 'tbl', 'jjl', 'jjX']","['tbl', 'jjl', '(JJ)X']"
G,e,"['bbl', 'jjl', 'ttl']",['(JJ)l']
G,b_L,['b'],['b']
G,t_L,['t'],['t']
G,t,['t'],['t']
G,b,['b'],['b']
G,tau_L,"['ttT', 'tbX', 'bbT', 'jjT', 'jjX']","['(JJ)T', 'tbX', 'jjX']"
G,nu_tau,"['bbX', 'ttX', 'tbT', 'jjT', 'jjX']","['tbT', 'jjT', '(JJ)X']"
G,tau,"['bbT', 'ttT', 'jjT']",['(JJ)T']
H^+,B,['v'],['v']
H^+,W^+,['v'],['v']
H^+,W^0,['v'],['v']
H^+,G,['tb'],['tb']
H^+,H^0,"['vv', 'tb']","['vv', 'tb']"
H^+,q,['vj'],['vj']
H^+,d,['vj'],['vj']
H^+,u,['vj'],['vj']
H^+,l,"['vl', 'vX']","['vl', 'vX']"
H^+,nu,"['vl', 'vX']","['vl', 'vX']"
H^+,e,['vl'],['vl']
H^+,b_L,['t'],['t']
H^+,t_L,['b'],['b']
H^+,t,['b'],['b']
H^+,b,['t'],['t']
H^+,tau_L,"['vT', 'vX']","['vT', 'vX']"
H^+,nu_tau,"['vT', 'vX']","['vT', 'vX']"
H^+,tau,['vT'],['vT']
H^0,B,['v'],['v']
H^0,W^+,['v'],['v']
H^0,W^0,['v'],['v']
H^0,G,"['bb', 'tt']","['bb', 'tt']"
H^0,H^+,"['vv', 'tb']","['vv', 'tb']"
H^0,q,['vj'],['vj']
H^0,d,['vj'],['vj']
H^0,u,['vj'],['vj']
H^0,l,"['vl', 'vX']","['vl', 'vX']"
H^0,nu,"['vl', 'vX']","['vl', 'vX']"
H^0,e,['vl'],['vl']
H^0,b_L,['b'],['b']
H^0,t_L,['t'],['t']
H^0,t,['t'],['t']
H^0,b,['b'],['b']
H^0,tau_L,"['vT', 'vX']","['vT', 'vX']"
H^0,nu_tau,"['vT', 'vX']","['vT', 'vX']"
H^0,tau,['vT'],['vT']
q,B,['j'],['j']
q,W^+,['j'],['j']
q,W^0,['j'],['j']
q,G,['j'],['j']
q,H^+,['vj'],['vj']
q,H^0,['vj'],['vj']
q,d,['jj'],['jj']
q,u,['jj'],['jj']
q,l,"['jl', 'jX']","['jl', 'jX']"
q,nu,"['jl', 'jX']","['jl', 'jX']"
q,e,['jl'],['jl']
q,b_L,"['tj', 'bj']",['3j']
q,t_L,"['tj', 'bj']",['3j']
q,t,['tj'],['tj']
q,b,['bj'],['bj']
q,tau_L,"['jT', 'jX']","['jT', 'jX']"
q,nu_tau,"['jT', 'jX']","['jT', 'jX']"
q,tau,['jT'],['jT']
d,B,['j'],['j']
d,W^+,"['tbj', 'jlX', 'vvj', 'jjj', 'jTX']","['jLX', 'jjj', 'tbj', 'vvj']"
d,W^0,"['jll', 'ttj', 'vvj', 'bbj', 'jjj', 'jTT', 'jX']","['jX', '(LL)j', '(JJ)j', 'vvj']"
d,G,['j'],['j']
d,H^+,['vj'],['vj']
d,H^0,['vj'],['vj']
d,q,['jj'],['jj']
d,u,['jj'],['jj']
d,l,['jl'],['jl']
d,nu,['jX'],['jX']
d,e,['jl'],['jl']
d,b_L,['bj'],['bj']
d,t_L,['tj'],['tj']
d,t,['tj'],['tj']
d,b,['bj'],['bj']
