Category,LSP,decays via,Signatures,Chain,NV_cascade,Signatures (ER)
L L E,B,l,llE,"B -- (l) -- l -- [E,l]",1, 2l + MET
L L E,B,nu,llE,"B -- (E) -- nu -- [l,l]",1, 2l + MET
L L E,B,e,llE,"B -- (l) -- e -- [l,E]",1, 2l + MET
L_3 L E,B,l,llE,"B -- (l) -- l -- [E,l]",1, 2l + MET
L_3 L E,B,nu_tau,llE,"B -- (E) -- nu_tau -- [l,l]",1, 2l + MET
L_3 L E,B,e,llE,"B -- (l) -- e -- [l,E]",1, 2l + MET
L_3 L E,B,tau_L,TlE,"B -- (T) -- tau_L -- [E,l]",1, 1l + 1tau + MET
L_3 L E,B,nu,TlE,"B -- (E) -- nu -- [T,l]",1, 1l + 1tau + MET
L_3 L E,B,e,TlE,"B -- (l) -- e -- [T,E]",1, 1l + 1tau + MET
L L E_3,B,l,TlE,"B -- (l) -- l -- [E,T]",1, 1l + 1tau + MET
L L E_3,B,nu,TlE,"B -- (E) -- nu -- [l,T]",1, 1l + 1tau + MET
L L E_3,B,tau,TlE,"B -- (T) -- tau -- [l,E]",1, 1l + 1tau + MET
L_3 L E_3,B,l,TlE,"B -- (l) -- l -- [E,T]",1, 1l + 1tau + MET
L_3 L E_3,B,nu_tau,TlE,"B -- (E) -- nu_tau -- [l,T]",1, 1l + 1tau + MET
L_3 L E_3,B,tau,TlE,"B -- (T) -- tau -- [l,E]",1, 1l + 1tau + MET
L_3 L E_3,B,tau_L,TTE,"B -- (T) -- tau_L -- [E,T]",1, 2tau + MET
L_3 L E_3,B,nu,TTE,"B -- (E) -- nu -- [T,T]",1, 2tau + MET
L_3 L E_3,B,tau,TTE,"B -- (T) -- tau -- [T,E]",1, 2tau + MET
L L E,W^+,l,lE,"W^+ -- (E) -- l -- [E,l]",1, 1l + MET
L L E,W^+,nu,lll,"W^+ -- (l) -- nu -- [l,l]",1, 3l
L L E,W^+,e,TllE,"W^+ -- (E) -- tau_L -- (T) -- B -- (l) -- e -- [l,E]",3, 2l + 1tau + MET
L L E,W^+,e,lllE,"W^+ -- (E) -- l -- (l) -- B -- (l) -- e -- [l,E]",3, 3l + MET
L L E,W^+,e,jjllE,"W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [l,E]",3, 2j_l + 2l + MET
L L E,W^+,e,tbllE,"W^+ -- (t) -- b_L -- (b) -- B -- (l) -- e -- [l,E]",3, 1t + 1b + 2l + MET
L L E,W^+,e,vvllE,"W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]",3, 2l + 2v + MET
