LSP,L L E,L_3 L E,L L E_3,L_3 L E_3
B,{'llE'},"{'llE', 'TlE'}",{'TlE'},"{'TlE', 'TTE'}"
W^+,"{'TllE', 'lll', 'tbllE', 'lE', 'vvllE', 'lllE', 'jjllE'}","{'TllE', 'TTlE', 'tbllE', 'jjTlE', 'Tll', 'vvTlE', 'tbTlE', 'lE', 'vvllE', 'lllE', 'jjllE'}","{'TllE', 'jjTlE', 'Tll', 'vvTlE', 'tbTlE', 'TTlE', 'TE'}","{'TllE', 'jjTTE', 'jjTlE', 'TTTE', 'TTl', 'vvTlE', 'tbTlE', 'vvTTE', 'tbTTE', 'TTlE', 'TE'}"
W^0,"{'llE', 'TTllE', 'ttllE', 'bbllE', 'vvllE', 'llllE', 'jjllE'}","{'llE', 'ttTlE', 'TTTlE', 'TTllE', 'bbTlE', 'TlE', 'jjTlE', 'ttllE', 'bbllE', 'TlllE', 'vvTlE', 'vvllE', 'llllE', 'jjllE'}","{'ttTlE', 'TTTlE', 'bbTlE', 'TlE', 'jjTlE', 'TlllE', 'vvTlE'}","{'bbTTE', 'ttTlE', 'TTTlE', 'TTllE', 'jjTTE', 'bbTlE', 'TlE', 'jjTlE', 'TlllE', 'vvTlE', 'TTTTE', 'vvTTE', 'ttTTE', 'TTE'}"
G,"{'ttllE', 'bbllE', 'jjlll', 'tblll', 'tblE', 'jjlE', 'jjllE'}","{'jjTll', 'ttTlE', 'bbTlE', 'tbTll', 'jjTlE', 'ttllE', 'bbllE', 'tblE', 'jjlE', 'jjllE'}","{'jjTll', 'ttTlE', 'bbTlE', 'tbTll', 'jjTlE', 'jjTE', 'tbTE'}","{'jjTTl', 'bbTTE', 'ttTlE', 'jjTTE', 'bbTlE', 'ttTTE', 'jjTlE', 'jjTE', 'tbTTl', 'tbTE'}"
H^+,"{'vlE', 'vllE', 'vlll'}","{'vTlE', 'vlE', 'vllE', 'vTll'}","{'vTlE', 'vTE', 'vTll'}","{'vTlE', 'vTE', 'vTTE', 'vTTl'}"
H^0,"{'vlE', 'vllE', 'vlll'}","{'vTlE', 'vlE', 'vllE', 'vTll'}","{'vTlE', 'vTE', 'vTll'}","{'vTlE', 'vTE', 'vTTE', 'vTTl'}"
q,"{'jlE', 'jllE', 'jlll'}","{'jlE', 'jllE', 'jTlE', 'jTll'}","{'jTll', 'jTlE', 'jTE'}","{'jTTl', 'jTTE', 'jTlE', 'jTE'}"
d,{'jllE'},"{'jllE', 'jTlE'}",{'jTlE'},"{'jTTE', 'jTlE'}"
u,{'jllE'},"{'jllE', 'jTlE'}",{'jTlE'},"{'jTTE', 'jTlE'}"
l,"{'lE', 'lllE'}","{'lE', 'TllE', 'lllE'}","{'TllE', 'TE'}","{'TllE', 'TTlE', 'TE'}"
nu,"{'llE', 'll'}","{'Tl', 'llE', 'TlE', 'Tlll'}","{'Tl', 'TlE'}","{'TTll', 'TT', 'TlE', 'TTE'}"
e,"{'lE', 'lllE'}","{'lE', 'TllE', 'lllE', 'TE'}",{'TllE'},"{'TllE', 'TTlE'}"
b_L,"{'tlE', 'bllE', 'tlll'}","{'tlE', 'bTlE', 'bllE', 'tTll'}","{'tTll', 'tTE', 'bTlE'}","{'tTTl', 'bTTE', 'tTE', 'bTlE'}"
t_L,"{'tllE', 'blll', 'blE'}","{'tllE', 'tTlE', 'bTll', 'blE'}","{'bTE', 'tTlE', 'bTll'}","{'bTE', 'tTlE', 'bTTl', 'tTTE'}"
t,{'tllE'},"{'tllE', 'tTlE'}",{'tTlE'},"{'tTTE', 'tTlE'}"
b,{'bllE'},"{'bllE', 'bTlE'}",{'bTlE'},"{'bTTE', 'bTlE'}"
tau_L,"{'lE', 'TllE', 'lllE'}","{'lE', 'TllE', 'TTlE'}","{'TllE', 'TTlE', 'TE'}","{'TTTE', 'TTlE', 'TE'}"
nu_tau,"{'llE', 'TlE', 'Tlll'}","{'TTll', 'llE', 'TlE', 'll'}","{'TTll', 'TlE', 'TTE'}","{'TTTl', 'Tl', 'TlE', 'TTE'}"
tau,{'TllE'},"{'TllE', 'TTlE'}","{'lE', 'TTlE'}","{'lE', 'TE', 'TTlE', 'TTTE'}"
