LSP,U D D,U D_3 D,U D_3 D_3,U_3 D D,U_3 D_3 D,U_3 D_3 D_3
B,{'jjj'},{'bjj'},{'bbj'},{'tjj'},{'tbj'},{'tbb'}
W^+,"{'jjjlE', 'jjjjj', 'jjjTE', 'vvjjj', 'tbjjj'}","{'vbjj', 'bjjlE', 'tbbjj', 'vtjj', 'vvbjj', 'bjjTE', 'bjjjj'}","{'vtbj', 'tbbbj', 'vbbj', 'bbjjj', 'vvbbj', 'bbjlE', 'bbjTE'}","{'vbjj', 'tjjlE', 'ttbjj', 'vtjj', 'vvtjj', 'tjjTE', 'tjjjj'}","{'vtbj', 'ttbbj', 'vbbj', 'vttj', 'vvtbj', 'tbjTE', 'tbjlE', 'tbjjj'}","{'vbbb', 'vtbb', 'vttb'}"
W^0,"{'ttjjj', 'jjjE', 'jjjjj', 'bbjjj', 'jjjTT', 'vvjjj', 'jjjll'}","{'bjjTT', 'vbjj', 'bjjll', 'ttbjj', 'vtjj', 'vvbjj', 'bjjE', 'bbbjj', 'bjjjj'}","{'vtbj', 'ttbbj', 'vbbj', 'bbjjj', 'vvbbj', 'bbjE', 'bbjll', 'bbbbj', 'bbjTT'}","{'tjjTT', 'vbjj', 'tbbjj', 'tttjj', 'vtjj', 'vvtjj', 'tjjll', 'tjjE', 'tjjjj'}","{'vtbj', 'vbbj', 'tbjll', 'tbbbj', 'vttj', 'vvtbj', 'tbjE', 'tttbj', 'tbjjj', 'tbjTT'}","{'vbbb', 'vtbb', 'vttb'}"
G,{'jjj'},{'bjj'},{'bbj'},{'tjj'},{'tbj'},{'tbb'}
H^+,{'vjjj'},"{'vbjj', 'tjj'}","{'tbj', 'vbbj'}","{'bjj', 'vtjj'}","{'ttj', 'vtbj', 'bbj'}","{'bbb', 'ttb'}"
H^0,{'vjjj'},"{'bjj', 'vbjj'}","{'bbj', 'vbbj'}","{'vtjj', 'tjj'}","{'tbj', 'vtbj'}",{'tbb'}
q,{'jjjj'},{'bjjj'},{'bbjj'},{'tjjj'},{'tbjj'},{'tbbj'}
d,"{'jjjj', 'jj'}","{'bjjj', 'bj'}",{'bbjj'},"{'tj', 'tjjj'}","{'tbjj', 'tb'}",{'tbbj'}
u,"{'jjjj', 'jj'}","{'bjjj', 'bj'}","{'bbjj', 'bb'}",{'tjjj'},{'tbjj'},{'tbbj'}
l,{'jjjl'},{'bjjl'},{'bbjl'},{'tjjl'},{'tbjl'},{'tbbl'}
nu,{'jjjE'},{'bjjE'},{'bbjE'},{'tjjE'},{'tbjE'},{'tbbE'}
e,{'jjjl'},{'bjjl'},{'bbjl'},{'tjjl'},{'tbjl'},{'tbbl'}
b_L,{'bjjj'},"{'bbjj', 'ttjj'}","{'bbbj', 'ttbj'}",{'tbjj'},"{'tbbj', 'tttj'}","{'tttb', 'tbbb'}"
t_L,{'tjjj'},{'tbjj'},{'tbbj'},"{'bbjj', 'ttjj'}","{'bbbj', 'ttbj'}","{'bbbb', 'ttbb'}"
t,{'tjjj'},{'tbjj'},{'tbbj'},"{'ttjj', 'jj'}","{'bj', 'ttbj'}","{'bb', 'ttbb'}"
b,{'bjjj'},"{'bbjj', 'jj'}","{'bbbj', 'bj'}",{'tbjj'},"{'tj', 'tbbj'}","{'tb', 'tbbb'}"
tau_L,{'jjjT'},{'bjjT'},{'bbjT'},{'tjjT'},{'tbjT'},{'tbbT'}
nu_tau,{'jjjE'},{'bjjE'},{'bbjE'},{'tjjE'},{'tbjE'},{'tbbE'}
tau,{'jjjT'},{'bjjT'},{'bbjT'},{'tjjT'},{'tbjT'},{'tbbT'}
