Mother,Daughter,Nvertex,Intermediate,Signatures,Chain,Signatures (Easy-Read),All Possible Signature,Minimal Set,Minimal Set (number of elements),Minimal Set (same flavour)
B,W^+,2,H^+,vv,B -- (v) -- H^+ -- (v) -- W^+, 2v,"{'tb', 'vv', 'lE', 'jj', 'TE'}","['LE', 'vv', 'tb', 'jj']","[2, 1, 1, 1]","['LE', 'vv', 'tb', 'jj']"
B,W^+,2,H^0,vv,B -- (v) -- H^0 -- (v) -- W^+, 2v,"{'tb', 'vv', 'lE', 'jj', 'TE'}","['LE', 'vv', 'tb', 'jj']","[2, 1, 1, 1]","['LE', 'vv', 'tb', 'jj']"
B,W^+,2,q,jj,B -- (j) -- q -- (j) -- W^+, 2j_l,"{'tb', 'vv', 'lE', 'jj', 'TE'}","['LE', 'vv', 'tb', 'jj']","[2, 1, 1, 1]","['LE', 'vv', 'tb', 'jj']"
B,W^+,2,l,lE,B -- (l) -- l -- (E) -- W^+, 1l + MET,"{'tb', 'vv', 'lE', 'jj', 'TE'}","['LE', 'vv', 'tb', 'jj']","[2, 1, 1, 1]","['LE', 'vv', 'tb', 'jj']"
B,W^+,2,nu,lE,B -- (E) -- nu -- (l) -- W^+, 1l + MET,"{'tb', 'vv', 'lE', 'jj', 'TE'}","['LE', 'vv', 'tb', 'jj']","[2, 1, 1, 1]","['LE', 'vv', 'tb', 'jj']"
B,W^+,2,b_L,tb,B -- (b) -- b_L -- (t) -- W^+, 1t + 1b,"{'tb', 'vv', 'lE', 'jj', 'TE'}","['LE', 'vv', 'tb', 'jj']","[2, 1, 1, 1]","['LE', 'vv', 'tb', 'jj']"
B,W^+,2,t_L,tb,B -- (t) -- t_L -- (b) -- W^+, 1t + 1b,"{'tb', 'vv', 'lE', 'jj', 'TE'}","['LE', 'vv', 'tb', 'jj']","[2, 1, 1, 1]","['LE', 'vv', 'tb', 'jj']"
B,W^+,2,tau_L,TE,B -- (T) -- tau_L -- (E) -- W^+, 1tau + MET,"{'tb', 'vv', 'lE', 'jj', 'TE'}","['LE', 'vv', 'tb', 'jj']","[2, 1, 1, 1]","['LE', 'vv', 'tb', 'jj']"
B,W^+,2,nu_tau,TE,B -- (E) -- nu_tau -- (T) -- W^+, 1tau + MET,"{'tb', 'vv', 'lE', 'jj', 'TE'}","['LE', 'vv', 'tb', 'jj']","[2, 1, 1, 1]","['LE', 'vv', 'tb', 'jj']"
B,W^0,2,H^+,vv,B -- (v) -- H^+ -- (v) -- W^0, 2v,"{'bb', 'TT', 'vv', 'E', 'tt', 'jj', 'll'}","['vv', 'E', 'TT', 'll', 'bb', 'tt', 'jj']","[1, 1, 1, 1, 1, 1, 1]","['vv', 'E', '(LL)', '(JJ)']"
B,W^0,2,H^0,vv,B -- (v) -- H^0 -- (v) -- W^0, 2v,"{'bb', 'TT', 'vv', 'E', 'tt', 'jj', 'll'}","['vv', 'E', 'TT', 'll', 'bb', 'tt', 'jj']","[1, 1, 1, 1, 1, 1, 1]","['vv', 'E', '(LL)', '(JJ)']"
B,W^0,2,q,jj,B -- (j) -- q -- (j) -- W^0, 2j_l,"{'bb', 'TT', 'vv', 'E', 'tt', 'jj', 'll'}","['vv', 'E', 'TT', 'll', 'bb', 'tt', 'jj']","[1, 1, 1, 1, 1, 1, 1]","['vv', 'E', '(LL)', '(JJ)']"
B,W^0,2,l,ll,B -- (l) -- l -- (l) -- W^0, 2l,"{'bb', 'TT', 'vv', 'E', 'tt', 'jj', 'll'}","['vv', 'E', 'TT', 'll', 'bb', 'tt', 'jj']","[1, 1, 1, 1, 1, 1, 1]","['vv', 'E', '(LL)', '(JJ)']"
B,W^0,2,nu,E,B -- (E) -- nu -- (E) -- W^0, MET,"{'bb', 'TT', 'vv', 'E', 'tt', 'jj', 'll'}","['vv', 'E', 'TT', 'll', 'bb', 'tt', 'jj']","[1, 1, 1, 1, 1, 1, 1]","['vv', 'E', '(LL)', '(JJ)']"
B,W^0,2,b_L,bb,B -- (b) -- b_L -- (b) -- W^0, 2b,"{'bb', 'TT', 'vv', 'E', 'tt', 'jj', 'll'}","['vv', 'E', 'TT', 'll', 'bb', 'tt', 'jj']","[1, 1, 1, 1, 1, 1, 1]","['vv', 'E', '(LL)', '(JJ)']"
B,W^0,2,t_L,tt,B -- (t) -- t_L -- (t) -- W^0, 2t,"{'bb', 'TT', 'vv', 'E', 'tt', 'jj', 'll'}","['vv', 'E', 'TT', 'll', 'bb', 'tt', 'jj']","[1, 1, 1, 1, 1, 1, 1]","['vv', 'E', '(LL)', '(JJ)']"
B,W^0,2,tau_L,TT,B -- (T) -- tau_L -- (T) -- W^0, 2tau,"{'bb', 'TT', 'vv', 'E', 'tt', 'jj', 'll'}","['vv', 'E', 'TT', 'll', 'bb', 'tt', 'jj']","[1, 1, 1, 1, 1, 1, 1]","['vv', 'E', '(LL)', '(JJ)']"
