Mother,Daughter,All Possible Signature,Minimal Set (same flavour)
B,W^+,"['lE', 'vv', 'TE', 'jj', 'tb']","['LE', 'jj', 'tb', 'vv']"
B,W^0,"['TT', 'bb', 'E', 'll', 'vv', 'jj', 'tt']","['(LL)', 'E', 'vv', '(JJ)']"
B,G,"['bb', 'tt', 'jj']",['(JJ)']
B,H^+,['v'],['v']
B,H^0,['v'],['v']
B,q,['j'],['j']
B,d,['j'],['j']
B,u,['j'],['j']
B,l,['l'],['l']
B,nu,['E'],['E']
B,e,['l'],['l']
B,b_L,['b'],['b']
B,t_L,['t'],['t']
B,t,['t'],['t']
B,b,['b'],['b']
B,tau_L,['T'],['T']
B,nu_tau,['E'],['E']
B,tau,['T'],['T']
W^+,B,"['lE', 'vv', 'TE', 'jj', 'tb']","['LE', 'jj', 'tb', 'vv']"
W^+,W^0,"['lE', 'vv', 'TE', 'jj', 'tb']","['LE', 'jj', 'tb', 'vv']"
W^+,G,"['jj', 'tb']","['jj', 'tb']"
W^+,H^+,['v'],['v']
W^+,H^0,['v'],['v']
W^+,q,['j'],['j']
W^+,d,"['jTE', 'vvj', 'jlE', 'tbj', 'jjj']","['jLE', 'vvj', 'jjj', 'tbj']"
W^+,u,"['jTE', 'vvj', 'jlE', 'tbj', 'jjj']","['jLE', 'vvj', 'jjj', 'tbj']"
W^+,l,['E'],['E']
W^+,nu,['l'],['l']
W^+,e,"['TlE', 'llE', 'jjl', 'tbl', 'vvl']","['jjl', 'LlE', 'tbl', 'vvl']"
W^+,b_L,['t'],['t']
W^+,t_L,['b'],['b']
W^+,t,"['vt', 'vb']",['v3']
W^+,b,"['vt', 'vb']",['v3']
W^+,tau_L,['E'],['E']
W^+,nu_tau,['T'],['T']
W^+,tau,"['TlE', 'TTE', 'jjT', 'tbT', 'vvT']","['tbT', 'LTE', 'vvT', 'jjT']"
W^0,B,"['TT', 'bb', 'E', 'll', 'vv', 'jj', 'tt']","['(LL)', 'E', 'vv', '(JJ)']"
W^0,W^+,"['lE', 'vv', 'TE', 'jj', 'tb']","['LE', 'jj', 'tb', 'vv']"
W^0,G,"['bb', 'tt', 'jj']",['(JJ)']
W^0,H^+,['v'],['v']
W^0,H^0,['v'],['v']
W^0,q,['j'],['j']
W^0,d,"['vvj', 'ttj', 'jll', 'jjj', 'jE', 'jTT', 'bbj']","['(LL)j', 'vvj', 'jE', '(JJ)j']"
W^0,u,"['vvj', 'ttj', 'jll', 'jjj', 'jE', 'jTT', 'bbj']","['(LL)j', 'vvj', 'jE', '(JJ)j']"
W^0,l,['l'],['l']
W^0,nu,['E'],['E']
W^0,e,"['bbl', 'lll', 'lE', 'jjl', 'ttl', 'vvl', 'TTl']","['(JJ)l', 'vvl', 'lE', '(LL)l']"
W^0,b_L,['b'],['b']
W^0,t_L,['t'],['t']
W^0,t,"['vt', 'vb']",['v3']
W^0,b,"['vt', 'vb']",['v3']
W^0,tau_L,['T'],['T']
W^0,nu_tau,['E'],['E']
