Mother,Daughter,All Possible Signature,Minimal Set (same flavour)
B,W^+,"['tb', 'vv', 'jj', 'TX', 'lX']","['tb', 'jj', 'vv', 'LX']"
B,W^0,"['ll', 'vv', 'jj', 'tt', 'TT', 'X', 'bb']","['(JJ)', 'vv', '(LL)', 'X']"
B,G,"['tt', 'jj', 'bb']",['(JJ)']
B,H^+,['v'],['v']
B,H^0,['v'],['v']
B,q,['j'],['j']
B,d,['j'],['j']
B,u,['j'],['j']
B,l,['l'],['l']
B,nu,['X'],['X']
B,e,['l'],['l']
B,b_L,['b'],['b']
B,t_L,['t'],['t']
B,t,['t'],['t']
B,b,['b'],['b']
B,tau_L,['T'],['T']
B,nu_tau,['X'],['X']
B,tau,['T'],['T']
W^+,B,"['tb', 'vv', 'jj', 'TX', 'lX']","['tb', 'jj', 'vv', 'LX']"
W^+,W^0,"['tb', 'vv', 'jj', 'TX', 'lX']","['tb', 'jj', 'vv', 'LX']"
W^+,G,"['tb', 'jj']","['tb', 'jj']"
W^+,H^+,['v'],['v']
W^+,H^0,['v'],['v']
W^+,q,['j'],['j']
W^+,d,"['jlX', 'vvj', 'jjj', 'jTX', 'tbj']","['vvj', 'jjj', 'tbj', 'jLX']"
W^+,u,"['jlX', 'vvj', 'jjj', 'jTX', 'tbj']","['vvj', 'jjj', 'tbj', 'jLX']"
W^+,l,['X'],['X']
W^+,nu,['l'],['l']
W^+,e,"['tbl', 'jjl', 'llX', 'vvl', 'TlX']","['tbl', 'vvl', 'LlX', 'jjl']"
W^+,b_L,['t'],['t']
W^+,t_L,['b'],['b']
W^+,t,"['vb', 'vt']",['v3']
W^+,b,"['vt', 'vb']",['v3']
W^+,tau_L,['X'],['X']
W^+,nu_tau,['T'],['T']
W^+,tau,"['tbT', 'jjT', 'TTX', 'TlX', 'vvT']","['LTX', 'tbT', 'vvT', 'jjT']"
W^0,B,"['ll', 'vv', 'jj', 'tt', 'TT', 'X', 'bb']","['(JJ)', 'vv', '(LL)', 'X']"
W^0,W^+,"['tb', 'vv', 'jj', 'TX', 'lX']","['tb', 'jj', 'vv', 'LX']"
W^0,G,"['tt', 'jj', 'bb']",['(JJ)']
W^0,H^+,['v'],['v']
W^0,H^0,['v'],['v']
W^0,q,['j'],['j']
W^0,d,"['vvj', 'jjj', 'bbj', 'ttj', 'jTT', 'jll', 'jX']","['jX', 'vvj', '(LL)j', '(JJ)j']"
W^0,u,"['vvj', 'jjj', 'bbj', 'ttj', 'jTT', 'jll', 'jX']","['jX', 'vvj', '(LL)j', '(JJ)j']"
W^0,l,['l'],['l']
W^0,nu,['X'],['X']
W^0,e,"['lll', 'jjl', 'TTl', 'ttl', 'vvl', 'lX', 'bbl']","['(LL)l', 'vvl', 'lX', '(JJ)l']"
W^0,b_L,['b'],['b']
W^0,t_L,['t'],['t']
W^0,t,"['vb', 'vt']",['v3']
W^0,b,"['vt', 'vb']",['v3']
W^0,tau_L,['T'],['T']
W^0,nu_tau,['X'],['X']
W^0,tau,"['TTT', 'ttT', 'bbT', 'jjT', 'Tll', 'TX', 'vvT']","['vvT', 'TX', '(JJ)T', '(LL)T']"
G,B,"['tt', 'jj', 'bb']",['(JJ)']
G,W^+,"['tb', 'jj']","['tb', 'jj']"
G,W^0,"['tt', 'jj', 'bb']",['(JJ)']
G,H^+,['tb'],['tb']
G,H^0,"['tt', 'bb']","['tt', 'bb']"
G,q,['j'],['j']
G,d,['j'],['j']
G,u,['j'],['j']
G,l,"['jjl', 'tbX', 'ttl', 'jjX', 'bbl']","['jjX', 'tbX', '(JJ)l']"
G,nu,"['tbl', 'jjl', 'ttX', 'jjX', 'bbX']","['(JJ)X', 'tbl', 'jjl']"
G,e,"['ttl', 'jjl', 'bbl']",['(JJ)l']
G,b_L,['b'],['b']
G,t_L,['t'],['t']
G,t,['t'],['t']
G,b,['b'],['b']
G,tau_L,"['ttT', 'bbT', 'jjT', 'tbX', 'jjX']","['jjX', '(JJ)T', 'tbX']"
G,nu_tau,"['tbT', 'jjT', 'ttX', 'jjX', 'bbX']","['tbT', 'jjT', '(JJ)X']"
G,tau,"['bbT', 'jjT', 'ttT']",['(JJ)T']
H^+,B,['v'],['v']
H^+,W^+,['v'],['v']
H^+,W^0,['v'],['v']
H^+,G,['tb'],['tb']
H^+,H^0,"['tb', 'vv']","['tb', 'vv']"
H^+,q,['vj'],['vj']
H^+,d,['vj'],['vj']
H^+,u,['vj'],['vj']
H^+,l,"['vX', 'vl']","['vX', 'vl']"
H^+,nu,"['vX', 'vl']","['vX', 'vl']"
H^+,e,['vl'],['vl']
H^+,b_L,['t'],['t']
H^+,t_L,['b'],['b']
H^+,t,['b'],['b']
H^+,b,['t'],['t']
H^+,tau_L,"['vX', 'vT']","['vX', 'vT']"
H^+,nu_tau,"['vX', 'vT']","['vX', 'vT']"
H^+,tau,['vT'],['vT']
H^0,B,['v'],['v']
H^0,W^+,['v'],['v']
H^0,W^0,['v'],['v']
H^0,G,"['tt', 'bb']","['tt', 'bb']"
H^0,H^+,"['tb', 'vv']","['tb', 'vv']"
H^0,q,['vj'],['vj']
H^0,d,['vj'],['vj']
H^0,u,['vj'],['vj']
H^0,l,"['vX', 'vl']","['vX', 'vl']"
H^0,nu,"['vX', 'vl']","['vX', 'vl']"
H^0,e,['vl'],['vl']
H^0,b_L,['b'],['b']
H^0,t_L,['t'],['t']
H^0,t,['t'],['t']
H^0,b,['b'],['b']
H^0,tau_L,"['vX', 'vT']","['vX', 'vT']"
H^0,nu_tau,"['vX', 'vT']","['vX', 'vT']"
H^0,tau,['vT'],['vT']
q,B,['j'],['j']
q,W^+,['j'],['j']
q,W^0,['j'],['j']
q,G,['j'],['j']
q,H^+,['vj'],['vj']
q,H^0,['vj'],['vj']
q,d,['jj'],['jj']
q,u,['jj'],['jj']
q,l,"['jl', 'jX']","['jl', 'jX']"
q,nu,"['jl', 'jX']","['jl', 'jX']"
q,e,['jl'],['jl']
q,b_L,"['tj', 'bj']",['3j']
q,t_L,"['tj', 'bj']",['3j']
q,t,['tj'],['tj']
q,b,['bj'],['bj']
q,tau_L,"['jT', 'jX']","['jT', 'jX']"
q,nu_tau,"['jT', 'jX']","['jT', 'jX']"
q,tau,['jT'],['jT']
d,B,['j'],['j']
d,W^+,"['jlX', 'vvj', 'jjj', 'jTX', 'tbj']","['vvj', 'jjj', 'tbj', 'jLX']"
d,W^0,"['vvj', 'jjj', 'bbj', 'ttj', 'jTT', 'jll', 'jX']","['jX', 'vvj', '(LL)j', '(JJ)j']"
d,G,['j'],['j']
d,H^+,['vj'],['vj']
d,H^0,['vj'],['vj']
d,q,['jj'],['jj']
d,u,['jj'],['jj']
d,l,['jl'],['jl']
d,nu,['jX'],['jX']
d,e,['jl'],['jl']
d,b_L,['bj'],['bj']
d,t_L,['tj'],['tj']
d,t,['tj'],['tj']
d,b,['bj'],['bj']
d,tau_L,['jT'],['jT']
d,nu_tau,['jX'],['jX']
d,tau,['jT'],['jT']
u,B,['j'],['j']
u,W^+,"['jlX', 'vvj', 'jjj', 'jTX', 'tbj']","['vvj', 'jjj', 'tbj', 'jLX']"
u,W^0,"['vvj', 'jjj', 'bbj', 'ttj', 'jTT', 'jll', 'jX']","['jX', 'vvj', '(LL)j', '(JJ)j']"
u,G,['j'],['j']
u,H^+,['vj'],['vj']
u,H^0,['vj'],['vj']
u,q,['jj'],['jj']
u,d,['jj'],['jj']
u,l,['jl'],['jl']
u,nu,['jX'],['jX']
u,e,['jl'],['jl']
u,b_L,['bj'],['bj']
u,t_L,['tj'],['tj']
u,t,['tj'],['tj']
u,b,['bj'],['bj']
u,tau_L,['jT'],['jT']
u,nu_tau,['jX'],['jX']
u,tau,['jT'],['jT']
l,B,['l'],['l']
l,W^+,['X'],['X']
l,W^0,['l'],['l']
l,G,"['jjl', 'tbX', 'ttl', 'jjX', 'bbl']","['jjX', 'tbX', '(JJ)l']"
l,H^+,"['vX', 'vl']","['vX', 'vl']"
