Mother,Daughter,Transitions
G,d,j
G,q,j
G,u,j
G,t,t
G,b,b
G,t_L,t
G,b_L,b
d,G,j
d,B,j
q,G,j
q,W^0,j
q,W^pm,j
q,B,j
u,G,j
u,B,j
t,G,t
t,H^0,t
t,H^pm,b
t,B,t
b,G,b
b,H^0,b
b,H^pm,t
b,B,b
t_L,G,t
t_L,W^0,t
t_L,W^pm,b
t_L,H^0,t
t_L,H^pm,b
t_L,B,t
b_L,G,b
b_L,W^0,b
b_L,W^pm,t
b_L,H^0,b
b_L,H^pm,t
b_L,B,b
B,d,j
B,q,j
B,u,j
B,e,l
B,H^0,v
B,H^pm,v
B,l,l
B,nu,E
B,t,t
B,b,b
B,t_L,t
B,b_L,b
B,tau,T
B,tau_L,T
B,nu_tau,E
W^0,q,j
W^0,H^0,v
W^0,H^pm,v
W^0,l,l
W^0,nu,E
W^0,t_L,t
W^0,b_L,b
W^0,tau_L,T
W^0,nu_tau,E
H^0,W^0,v
H^0,W^pm,v
H^0,t,t
H^0,b,b
H^0,t_L,t
H^0,b_L,b
H^0,B,v
W^pm,q,j
W^pm,H^0,v
W^pm,H^pm,v
W^pm,l,E
W^pm,nu,l
W^pm,t_L,b
W^pm,b_L,t
W^pm,tau_L,E
W^pm,nu_tau,T
H^pm,W^0,v
H^pm,W^pm,v
H^pm,t,b
H^pm,b,t
H^pm,t_L,b
H^pm,b_L,t
H^pm,B,v
e,B,l
l,W^0,l
l,W^pm,E
l,B,l
nu,W^0,E
nu,W^pm,l
nu,B,E
tau,B,T
tau_L,W^0,T
tau_L,W^pm,E
tau_L,B,T
nu_tau,W^0,E
nu_tau,W^pm,T
nu_tau,B,E
