Category,LSP,decays via,Signatures,Chain,NV_cascade,Signatures (ER)
L L E,W^+,l,TllE,"W^+ -- (E) -- tau_L -- (T) -- B -- (l) -- l -- [E,l]",3, 2l + 1tau + MET
L L E,W^+,l,vvllE,"W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- l -- [E,l]",3, 2l + 2v + MET
L L E,W^+,l,tbllE,"W^+ -- (t) -- b_L -- (b) -- B -- (l) -- l -- [E,l]",3, 1t + 1b + 2l + MET
L L E,W^+,l,jjllE,"W^+ -- (j) -- q -- (j) -- B -- (l) -- l -- [E,l]",3, 2j_l + 2l + MET
L L E,W^+,l,lllE,"W^+ -- (l) -- nu -- (E) -- B -- (l) -- l -- [E,l]",3, 3l + MET
L L E,W^+,l,lE,"W^+ -- (E) -- l -- [E,l]",1, 1l + MET
L L E,W^+,nu,lll,"W^+ -- (l) -- nu -- [l,l]",1, 3l
L L E,W^+,nu,vvllE,"W^+ -- (v) -- H^+ -- (v) -- B -- (E) -- nu -- [l,l]",3, 2l + 2v + MET
L L E,W^+,nu,lllE,"W^+ -- (E) -- l -- (l) -- B -- (E) -- nu -- [l,l]",3, 3l + MET
L L E,W^+,nu,jjllE,"W^+ -- (j) -- q -- (j) -- B -- (E) -- nu -- [l,l]",3, 2j_l + 2l + MET
L L E,W^+,nu,tbllE,"W^+ -- (t) -- b_L -- (b) -- B -- (E) -- nu -- [l,l]",3, 1t + 1b + 2l + MET
L L E,W^+,nu,TllE,"W^+ -- (E) -- tau_L -- (T) -- B -- (E) -- nu -- [l,l]",3, 2l + 1tau + MET
L L E,W^+,e,TllE,"W^+ -- (E) -- tau_L -- (T) -- B -- (l) -- e -- [l,E]",3, 2l + 1tau + MET
L L E,W^+,e,vvllE,"W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]",3, 2l + 2v + MET
L L E,W^+,e,tbllE,"W^+ -- (t) -- b_L -- (b) -- B -- (l) -- e -- [l,E]",3, 1t + 1b + 2l + MET
L L E,W^+,e,jjllE,"W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [l,E]",3, 2j_l + 2l + MET
L L E,W^+,e,lllE,"W^+ -- (E) -- l -- (l) -- B -- (l) -- e -- [l,E]",3, 3l + MET
L_3 L E,W^+,l,TllE,"W^+ -- (E) -- tau_L -- (T) -- B -- (l) -- l -- [E,l]",3, 2l + 1tau + MET
L_3 L E,W^+,l,vvllE,"W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- l -- [E,l]",3, 2l + 2v + MET
L_3 L E,W^+,l,tbllE,"W^+ -- (t) -- b_L -- (b) -- B -- (l) -- l -- [E,l]",3, 1t + 1b + 2l + MET
L_3 L E,W^+,l,jjllE,"W^+ -- (j) -- q -- (j) -- B -- (l) -- l -- [E,l]",3, 2j_l + 2l + MET
L_3 L E,W^+,l,lllE,"W^+ -- (l) -- nu -- (E) -- B -- (l) -- l -- [E,l]",3, 3l + MET
L_3 L E,W^+,l,lE,"W^+ -- (E) -- l -- [E,l]",1, 1l + MET
