Category,LSP,decays via,Signatures,Chain,NV_cascade,Signatures (ER)
L L E,B,l,llE,"B -- (l) -- l -- [E,l]",1, 2l + MET
L L E,B,l,llE,"B -- (E) -- nu -- (l) -- W^+ -- (E) -- l -- [E,l]",3, 2l + MET
L L E,B,nu,llE,"B -- (E) -- nu -- [l,l]",1, 2l + MET
L L E,B,e,llE,"B -- (l) -- e -- [l,E]",1, 2l + MET
L_3 L E,B,l,llE,"B -- (l) -- l -- [E,l]",1, 2l + MET
L_3 L E,B,l,llE,"B -- (E) -- nu -- (l) -- W^+ -- (E) -- l -- [E,l]",3, 2l + MET
L_3 L E,B,nu_tau,llE,"B -- (E) -- nu_tau -- [l,l]",1, 2l + MET
L_3 L E,B,e,llE,"B -- (l) -- e -- [l,E]",1, 2l + MET
L_3 L E,B,tau_L,llE,"B -- (l) -- l -- (E) -- W^+ -- (E) -- tau_L -- [E,l]",3, 2l + MET
L L E,W^0,l,llE,"W^0 -- (l) -- l -- [E,l]",1, 2l + MET
L L E,W^0,l,llE,"W^0 -- (E) -- nu -- (E) -- B -- (l) -- l -- [E,l]",3, 2l + MET
L L E,W^0,nu,llE,"W^0 -- (E) -- nu -- [l,l]",1, 2l + MET
L L E,W^0,e,llE,"W^0 -- (E) -- nu -- (E) -- B -- (l) -- e -- [l,E]",3, 2l + MET
L_3 L E,W^0,l,llE,"W^0 -- (l) -- l -- [E,l]",1, 2l + MET
L_3 L E,W^0,l,llE,"W^0 -- (E) -- nu -- (E) -- B -- (l) -- l -- [E,l]",3, 2l + MET
L_3 L E,W^0,nu_tau,llE,"W^0 -- (E) -- nu_tau -- [l,l]",1, 2l + MET
L_3 L E,W^0,e,llE,"W^0 -- (E) -- nu -- (E) -- B -- (l) -- e -- [l,E]",3, 2l + MET
L_3 L E,W^0,tau_L,llE,"W^0 -- (l) -- l -- (E) -- W^+ -- (E) -- tau_L -- [E,l]",3, 2l + MET
L L E,nu,e,llE,"nu -- (E) -- B -- (l) -- e -- [l,E]",2, 2l + MET
L_3 L E,nu,nu_tau,llE,"nu -- (E) -- B -- (E) -- nu_tau -- [l,l]",2, 2l + MET
L_3 L E,nu,e,llE,"nu -- (E) -- B -- (l) -- e -- [l,E]",2, 2l + MET
L_3 L E,nu,tau_L,llE,"nu -- (l) -- W^+ -- (E) -- tau_L -- [E,l]",2, 2l + MET
L L E,nu_tau,l,llE,"nu_tau -- (E) -- B -- (l) -- l -- [E,l]",2, 2l + MET
L L E,nu_tau,nu,llE,"nu_tau -- (E) -- B -- (E) -- nu -- [l,l]",2, 2l + MET
L L E,nu_tau,e,llE,"nu_tau -- (E) -- B -- (l) -- e -- [l,E]",2, 2l + MET
L_3 L E,nu_tau,l,llE,"nu_tau -- (E) -- B -- (l) -- l -- [E,l]",2, 2l + MET
L_3 L E,nu_tau,e,llE,"nu_tau -- (E) -- B -- (l) -- e -- [l,E]",2, 2l + MET
