Category,LSP,decays via,Signatures,Chain,NV_cascade,Signatures (ER)
L_3 Q_3 D,W^+,d,tjTlE,"W^+ -- (E) -- l -- (l) -- B -- (j) -- d -- [T,t]",3, 1j_l + 1t + 1l + 1tau + MET
L_3 Q_3 D,W^+,d,tjTlE,"W^+ -- (E) -- l -- (l) -- B -- (j) -- d -- [T,t]",3, 1j_l + 1t + 1l + 1tau + MET
L_3 Q_3 D,W^+,d,tjTTE,"W^+ -- (E) -- tau_L -- (T) -- B -- (j) -- d -- [T,t]",3, 1j_l + 1t + 2tau + MET
L_3 Q_3 D,W^0,d,bjllE,"W^0 -- (l) -- l -- (l) -- B -- (j) -- d -- [E,b]",3, 1j_l + 1b + 2l + MET
L_3 Q_3 D,W^0,d,bjTTE,"W^0 -- (T) -- tau_L -- (T) -- B -- (j) -- d -- [E,b]",3, 1j_l + 1b + 2tau + MET
L_3 Q_3 D,W^+,d,tjTlE,"W^+ -- (E) -- l -- (l) -- B -- (j) -- d -- [T,t]",3, 1j_l + 1t + 1l + 1tau + MET
L_3 Q_3 D,W^+,d,tjTlE,"W^+ -- (E) -- l -- (l) -- B -- (j) -- d -- [T,t]",3, 1j_l + 1t + 1l + 1tau + MET
L_3 Q_3 D,W^+,d,tjTTE,"W^+ -- (E) -- tau_L -- (T) -- B -- (j) -- d -- [T,t]",3, 1j_l + 1t + 2tau + MET
L_3 Q_3 D,W^0,d,bjllE,"W^0 -- (l) -- l -- (l) -- B -- (j) -- d -- [E,b]",3, 1j_l + 1b + 2l + MET
L_3 Q_3 D,W^0,d,bjTTE,"W^0 -- (T) -- tau_L -- (T) -- B -- (j) -- d -- [E,b]",3, 1j_l + 1b + 2tau + MET
