CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L L E,B,B,TlE,TlE,"['B -- (T) -- tau_L -- (E) -- W^+ -- (E) -- l -- [E,l]']","['B -- (T) -- tau_L -- (E) -- W^+ -- (E) -- l -- [E,l]']",TTllE, 1l + 1tau + MET, 1l + 1tau + MET, 2l + 2tau + MET
L L E,B,B,TlE,tblE,"['B -- (T) -- tau_L -- (E) -- W^+ -- (E) -- l -- [E,l]']","['B -- (b) -- b_L -- (t) -- W^+ -- (E) -- l -- [E,l]']",tbTllE, 1l + 1tau + MET, 1t + 1b + 1l + MET, 1t + 1b + 2l + 1tau + MET
L L E,B,B,TlE,tblll,"['B -- (T) -- tau_L -- (E) -- W^+ -- (E) -- l -- [E,l]']","['B -- (b) -- b_L -- (t) -- W^+ -- (l) -- nu -- [l,l]']",tbTllllE, 1l + 1tau + MET, 1t + 1b + 3l, 1t + 1b + 4l + 1tau + MET
L L E,B,B,TlE,llllE,"['B -- (T) -- tau_L -- (E) -- W^+ -- (E) -- l -- [E,l]']","['B -- (l) -- l -- (E) -- W^+ -- (l) -- nu -- [l,l]']",TlllllE, 1l + 1tau + MET, 4l + MET, 5l + 1tau + MET
L L E,B,B,TlE,vvlll,"['B -- (T) -- tau_L -- (E) -- W^+ -- (E) -- l -- [E,l]']","['B -- (v) -- H^+ -- (v) -- W^+ -- (l) -- nu -- [l,l]']",vvTllllE, 1l + 1tau + MET, 3l + 2v, 4l + 1tau + 2v + MET
L L E,B,B,TlE,ttllE,"['B -- (T) -- tau_L -- (E) -- W^+ -- (E) -- l -- [E,l]']","['B -- (t) -- t_L -- (t) -- W^0 -- (l) -- l -- [E,l]', 'B -- (t) -- t_L -- (t) -- W^0 -- (E) -- nu -- [l,l]']",ttTlllE, 1l + 1tau + MET, 2t + 2l + MET, 2t + 3l + 1tau + MET
L L E,B,B,TlE,vvlE,"['B -- (T) -- tau_L -- (E) -- W^+ -- (E) -- l -- [E,l]']","['B -- (v) -- H^+ -- (v) -- W^+ -- (E) -- l -- [E,l]']",vvTllE, 1l + 1tau + MET, 1l + 2v + MET, 2l + 1tau + 2v + MET
L L E,B,B,TlE,llE,"['B -- (T) -- tau_L -- (E) -- W^+ -- (E) -- l -- [E,l]']","['B -- (l) -- l -- [E,l]', 'B -- (E) -- nu -- (l) -- W^+ -- (E) -- l -- [E,l]', 'B -- (E) -- nu -- [l,l]', 'B -- (l) -- e -- [l,E]']",TlllE, 1l + 1tau + MET, 2l + MET, 3l + 1tau + MET
L L E,B,B,TlE,jjlll,"['B -- (T) -- tau_L -- (E) -- W^+ -- (E) -- l -- [E,l]']","['B -- (j) -- q -- (j) -- W^+ -- (l) -- nu -- [l,l]']",jjTllllE, 1l + 1tau + MET, 2j_l + 3l, 2j_l + 4l + 1tau + MET
L L E,B,B,TlE,jjllE,"['B -- (T) -- tau_L -- (E) -- W^+ -- (E) -- l -- [E,l]']","['B -- (j) -- q -- (j) -- W^0 -- (l) -- l -- [E,l]', 'B -- (j) -- q -- (j) -- W^0 -- (E) -- nu -- [l,l]']",jjTlllE, 1l + 1tau + MET, 2j_l + 2l + MET, 2j_l + 3l + 1tau + MET
L L E,B,B,TlE,TlllE,"['B -- (T) -- tau_L -- (E) -- W^+ -- (E) -- l -- [E,l]']","['B -- (T) -- tau_L -- (E) -- W^+ -- (l) -- nu -- [l,l]']",TTllllE, 1l + 1tau + MET, 3l + 1tau + MET, 4l + 2tau + MET
L L E,B,B,TlE,bbllE,"['B -- (T) -- tau_L -- (E) -- W^+ -- (E) -- l -- [E,l]']","['B -- (b) -- b_L -- (b) -- W^0 -- (l) -- l -- [E,l]', 'B -- (b) -- b_L -- (b) -- W^0 -- (E) -- nu -- [l,l]']",bbTlllE, 1l + 1tau + MET, 2b + 2l + MET, 2b + 3l + 1tau + MET
L L E,B,B,TlE,vvllE,"['B -- (T) -- tau_L -- (E) -- W^+ -- (E) -- l -- [E,l]']","['B -- (v) -- H^+ -- (v) -- W^0 -- (l) -- l -- [E,l]', 'B -- (v) -- H^+ -- (v) -- W^0 -- (E) -- nu -- [l,l]']",vvTlllE, 1l + 1tau + MET, 2l + 2v + MET, 3l + 1tau + 2v + MET
L L E,B,B,TlE,TTllE,"['B -- (T) -- tau_L -- (E) -- W^+ -- (E) -- l -- [E,l]']","['B -- (T) -- tau_L -- (T) -- W^0 -- (l) -- l -- [E,l]', 'B -- (T) -- tau_L -- (T) -- W^0 -- (E) -- nu -- [l,l]']",TTTlllE, 1l + 1tau + MET, 2l + 2tau + MET, 3l + 3tau + MET
