CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L L E,H^+,H^0,vllE,vllE,"['H^+ -- (v) -- B -- (l) -- l -- [E,l]', 'H^+ -- (v) -- B -- (E) -- nu -- [l,l]', 'H^+ -- (v) -- B -- (l) -- e -- [l,E]']","['H^0 -- (v) -- B -- (l) -- l -- [E,l]', 'H^0 -- (v) -- B -- (E) -- nu -- [l,l]', 'H^0 -- (v) -- B -- (l) -- e -- [l,E]']",vvllllE, 2l + 1v + MET, 2l + 1v + MET, 4l + 2v + MET
L L E,H^+,H^0,vllE,tblE,"['H^+ -- (v) -- B -- (l) -- l -- [E,l]', 'H^+ -- (v) -- B -- (E) -- nu -- [l,l]', 'H^+ -- (v) -- B -- (l) -- e -- [l,E]']","['H^0 -- (b) -- b_L -- (t) -- W^+ -- (E) -- l -- [E,l]']",vtblllE, 2l + 1v + MET, 1t + 1b + 1l + MET, 1t + 1b + 3l + 1v + MET
L L E,H^+,H^0,vllE,tblll,"['H^+ -- (v) -- B -- (l) -- l -- [E,l]', 'H^+ -- (v) -- B -- (E) -- nu -- [l,l]', 'H^+ -- (v) -- B -- (l) -- e -- [l,E]']","['H^0 -- (b) -- b_L -- (t) -- W^+ -- (l) -- nu -- [l,l]']",vtblllllE, 2l + 1v + MET, 1t + 1b + 3l, 1t + 1b + 5l + 1v + MET
L L E,H^+,H^0,vllE,ttllE,"['H^+ -- (v) -- B -- (l) -- l -- [E,l]', 'H^+ -- (v) -- B -- (E) -- nu -- [l,l]', 'H^+ -- (v) -- B -- (l) -- e -- [l,E]']","['H^0 -- (t) -- t_L -- (t) -- B -- (l) -- l -- [E,l]', 'H^0 -- (t) -- t_L -- (t) -- B -- (E) -- nu -- [l,l]', 'H^0 -- (t) -- t_L -- (t) -- B -- (l) -- e -- [l,E]']",vttllllE, 2l + 1v + MET, 2t + 2l + MET, 2t + 4l + 1v + MET
L L E,H^+,H^0,vllE,vlE,"['H^+ -- (v) -- B -- (l) -- l -- [E,l]', 'H^+ -- (v) -- B -- (E) -- nu -- [l,l]', 'H^+ -- (v) -- B -- (l) -- e -- [l,E]']","['H^0 -- (v) -- W^+ -- (E) -- l -- [E,l]']",vvlllE, 2l + 1v + MET, 1l + 1v + MET, 3l + 2v + MET
L L E,H^+,H^0,vllE,vlll,"['H^+ -- (v) -- B -- (l) -- l -- [E,l]', 'H^+ -- (v) -- B -- (E) -- nu -- [l,l]', 'H^+ -- (v) -- B -- (l) -- e -- [l,E]']","['H^0 -- (v) -- W^+ -- (l) -- nu -- [l,l]']",vvlllllE, 2l + 1v + MET, 3l + 1v, 5l + 2v + MET
L L E,H^+,H^0,vllE,bbllE,"['H^+ -- (v) -- B -- (l) -- l -- [E,l]', 'H^+ -- (v) -- B -- (E) -- nu -- [l,l]', 'H^+ -- (v) -- B -- (l) -- e -- [l,E]']","['H^0 -- (b) -- b_L -- (b) -- B -- (l) -- l -- [E,l]', 'H^0 -- (b) -- b_L -- (b) -- B -- (E) -- nu -- [l,l]', 'H^0 -- (b) -- b_L -- (b) -- B -- (l) -- e -- [l,E]']",vbbllllE, 2l + 1v + MET, 2b + 2l + MET, 2b + 4l + 1v + MET
L L E,H^+,H^0,bblE,vllE,"['H^+ -- (b) -- t_L -- (b) -- W^+ -- (E) -- l -- [E,l]']","['H^0 -- (v) -- B -- (l) -- l -- [E,l]', 'H^0 -- (v) -- B -- (E) -- nu -- [l,l]', 'H^0 -- (v) -- B -- (l) -- e -- [l,E]']",vbblllE, 2b + 1l + MET, 2l + 1v + MET, 2b + 3l + 1v + MET
L L E,H^+,H^0,bblE,tblE,"['H^+ -- (b) -- t_L -- (b) -- W^+ -- (E) -- l -- [E,l]']","['H^0 -- (b) -- b_L -- (t) -- W^+ -- (E) -- l -- [E,l]']",tbbbllE, 2b + 1l + MET, 1t + 1b + 1l + MET, 1t + 3b + 2l + MET
L L E,H^+,H^0,bblE,tblll,"['H^+ -- (b) -- t_L -- (b) -- W^+ -- (E) -- l -- [E,l]']","['H^0 -- (b) -- b_L -- (t) -- W^+ -- (l) -- nu -- [l,l]']",tbbbllllE, 2b + 1l + MET, 1t + 1b + 3l, 1t + 3b + 4l + MET
