CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L L E,W^+,W^0,lll,bbllE,"['W^+ -- (l) -- nu -- [l,l]']","['W^0 -- (b) -- b_L -- (b) -- B -- (l) -- e -- [l,E]']",bblllllE, 3l, 2b + 2l + MET, 2b + 5l + MET
L L E,W^+,W^0,lll,vvllE,"['W^+ -- (l) -- nu -- [l,l]']","['W^0 -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']",vvlllllE, 3l, 2l + 2v + MET, 5l + 2v + MET
L L E,W^+,W^0,lll,ttllE,"['W^+ -- (l) -- nu -- [l,l]']","['W^0 -- (t) -- t_L -- (t) -- B -- (l) -- e -- [l,E]']",ttlllllE, 3l, 2t + 2l + MET, 2t + 5l + MET
L L E,W^+,W^0,lll,llllE,"['W^+ -- (l) -- nu -- [l,l]']","['W^0 -- (l) -- l -- (l) -- B -- (l) -- e -- [l,E]']",lllllllE, 3l, 4l + MET, 7l + MET
L L E,W^+,W^0,lll,jjllE,"['W^+ -- (l) -- nu -- [l,l]']","['W^0 -- (j) -- q -- (j) -- B -- (l) -- e -- [l,E]']",jjlllllE, 3l, 2j_l + 2l + MET, 2j_l + 5l + MET
L L E,W^+,W^0,lll,TTllE,"['W^+ -- (l) -- nu -- [l,l]']","['W^0 -- (T) -- tau_L -- (T) -- B -- (l) -- e -- [l,E]']",TTlllllE, 3l, 2l + 2tau + MET, 5l + 2tau + MET
L L E,W^+,W^0,lll,llE,"['W^+ -- (l) -- nu -- [l,l]']","['W^0 -- (l) -- l -- [E,l]', 'W^0 -- (E) -- nu -- [l,l]', 'W^0 -- (E) -- nu -- (E) -- B -- (l) -- e -- [l,E]']",lllllE, 3l, 2l + MET, 5l + MET
L L E,W^+,W^0,vvllE,bbllE,"['W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']","['W^0 -- (b) -- b_L -- (b) -- B -- (l) -- e -- [l,E]']",vvbbllllE, 2l + 2v + MET, 2b + 2l + MET, 2b + 4l + 2v + MET
L L E,W^+,W^0,vvllE,vvllE,"['W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']","['W^0 -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']",vvvvllllE, 2l + 2v + MET, 2l + 2v + MET, 4l + 4v + MET
L L E,W^+,W^0,vvllE,ttllE,"['W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']","['W^0 -- (t) -- t_L -- (t) -- B -- (l) -- e -- [l,E]']",vvttllllE, 2l + 2v + MET, 2t + 2l + MET, 2t + 4l + 2v + MET
L L E,W^+,W^0,vvllE,llllE,"['W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']","['W^0 -- (l) -- l -- (l) -- B -- (l) -- e -- [l,E]']",vvllllllE, 2l + 2v + MET, 4l + MET, 6l + 2v + MET
L L E,W^+,W^0,vvllE,jjllE,"['W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']","['W^0 -- (j) -- q -- (j) -- B -- (l) -- e -- [l,E]']",vvjjllllE, 2l + 2v + MET, 2j_l + 2l + MET, 2j_l + 4l + 2v + MET
L L E,W^+,W^0,vvllE,TTllE,"['W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']","['W^0 -- (T) -- tau_L -- (T) -- B -- (l) -- e -- [l,E]']",vvTTllllE, 2l + 2v + MET, 2l + 2tau + MET, 4l + 2tau + 2v + MET
L L E,W^+,W^0,vvllE,llE,"['W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']","['W^0 -- (l) -- l -- [E,l]', 'W^0 -- (E) -- nu -- [l,l]', 'W^0 -- (E) -- nu -- (E) -- B -- (l) -- e -- [l,E]']",vvllllE, 2l + 2v + MET, 2l + MET, 4l + 2v + MET
