CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L L E,b_L,t_L,tlE,blE,"['b_L -- (t) -- W^+ -- (E) -- l -- [E,l]']","['t_L -- (b) -- W^+ -- (E) -- l -- [E,l]']",tbllE, 1t + 1l + MET, 1b + 1l + MET, 1t + 1b + 2l + MET
L L E,b_L,t_L,tlE,vblE,"['b_L -- (t) -- W^+ -- (E) -- l -- [E,l]']","['t_L -- (b) -- H^+ -- (v) -- W^+ -- (E) -- l -- [E,l]']",vtbllE, 1t + 1l + MET, 1b + 1l + 1v + MET, 1t + 1b + 2l + 1v + MET
L L E,b_L,t_L,tlE,vtlE,"['b_L -- (t) -- W^+ -- (E) -- l -- [E,l]']","['t_L -- (t) -- H^0 -- (v) -- W^+ -- (E) -- l -- [E,l]']",vttllE, 1t + 1l + MET, 1t + 1l + 1v + MET, 2t + 2l + 1v + MET
L L E,b_L,t_L,tlE,tllE,"['b_L -- (t) -- W^+ -- (E) -- l -- [E,l]']","['t_L -- (t) -- B -- (l) -- l -- [E,l]', 't_L -- (t) -- B -- (E) -- nu -- [l,l]', 't_L -- (t) -- B -- (l) -- e -- [l,E]']",ttlllE, 1t + 1l + MET, 1t + 2l + MET, 2t + 3l + MET
L L E,b_L,t_L,tlE,vblll,"['b_L -- (t) -- W^+ -- (E) -- l -- [E,l]']","['t_L -- (b) -- H^+ -- (v) -- W^+ -- (l) -- nu -- [l,l]']",vtbllllE, 1t + 1l + MET, 1b + 3l + 1v, 1t + 1b + 4l + 1v + MET
L L E,b_L,t_L,tlE,vtlll,"['b_L -- (t) -- W^+ -- (E) -- l -- [E,l]']","['t_L -- (t) -- H^0 -- (v) -- W^+ -- (l) -- nu -- [l,l]']",vttllllE, 1t + 1l + MET, 1t + 3l + 1v, 2t + 4l + 1v + MET
L L E,b_L,t_L,tlE,vbllE,"['b_L -- (t) -- W^+ -- (E) -- l -- [E,l]']","['t_L -- (b) -- H^+ -- (v) -- B -- (l) -- l -- [E,l]', 't_L -- (b) -- H^+ -- (v) -- B -- (E) -- nu -- [l,l]', 't_L -- (b) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']",vtblllE, 1t + 1l + MET, 1b + 2l + 1v + MET, 1t + 1b + 3l + 1v + MET
L L E,b_L,t_L,tlE,blll,"['b_L -- (t) -- W^+ -- (E) -- l -- [E,l]']","['t_L -- (b) -- W^+ -- (l) -- nu -- [l,l]']",tbllllE, 1t + 1l + MET, 1b + 3l, 1t + 1b + 4l + MET
L L E,b_L,t_L,tlE,vtllE,"['b_L -- (t) -- W^+ -- (E) -- l -- [E,l]']","['t_L -- (t) -- H^0 -- (v) -- B -- (l) -- l -- [E,l]', 't_L -- (t) -- H^0 -- (v) -- B -- (E) -- nu -- [l,l]', 't_L -- (t) -- H^0 -- (v) -- B -- (l) -- e -- [l,E]']",vttlllE, 1t + 1l + MET, 1t + 2l + 1v + MET, 2t + 3l + 1v + MET
L L E,b_L,t_L,bllE,blE,"['b_L -- (b) -- B -- (l) -- l -- [E,l]', 'b_L -- (b) -- B -- (E) -- nu -- [l,l]', 'b_L -- (b) -- B -- (l) -- e -- [l,E]']","['t_L -- (b) -- W^+ -- (E) -- l -- [E,l]']",bblllE, 1b + 2l + MET, 1b + 1l + MET, 2b + 3l + MET
L L E,b_L,t_L,bllE,vblE,"['b_L -- (b) -- B -- (l) -- l -- [E,l]', 'b_L -- (b) -- B -- (E) -- nu -- [l,l]', 'b_L -- (b) -- B -- (l) -- e -- [l,E]']","['t_L -- (b) -- H^+ -- (v) -- W^+ -- (E) -- l -- [E,l]']",vbblllE, 1b + 2l + MET, 1b + 1l + 1v + MET, 2b + 3l + 1v + MET
