CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L L E,b,b,bllE,bllE,"['b -- (b) -- B -- (l) -- l -- [E,l]', 'b -- (b) -- B -- (E) -- nu -- [l,l]', 'b -- (b) -- B -- (l) -- e -- [l,E]']","['b -- (b) -- B -- (l) -- l -- [E,l]', 'b -- (b) -- B -- (E) -- nu -- [l,l]', 'b -- (b) -- B -- (l) -- e -- [l,E]']",bbllllE, 1b + 2l + MET, 1b + 2l + MET, 2b + 4l + MET
L L E,b,b,bllE,vblE,"['b -- (b) -- B -- (l) -- l -- [E,l]', 'b -- (b) -- B -- (E) -- nu -- [l,l]', 'b -- (b) -- B -- (l) -- e -- [l,E]']","['b -- (b) -- H^0 -- (v) -- W^+ -- (E) -- l -- [E,l]']",vbblllE, 1b + 2l + MET, 1b + 1l + 1v + MET, 2b + 3l + 1v + MET
L L E,b,b,bllE,vtlE,"['b -- (b) -- B -- (l) -- l -- [E,l]', 'b -- (b) -- B -- (E) -- nu -- [l,l]', 'b -- (b) -- B -- (l) -- e -- [l,E]']","['b -- (t) -- H^+ -- (v) -- W^+ -- (E) -- l -- [E,l]']",vtblllE, 1b + 2l + MET, 1t + 1l + 1v + MET, 1t + 1b + 3l + 1v + MET
L L E,b,b,bllE,vblll,"['b -- (b) -- B -- (l) -- l -- [E,l]', 'b -- (b) -- B -- (E) -- nu -- [l,l]', 'b -- (b) -- B -- (l) -- e -- [l,E]']","['b -- (b) -- H^0 -- (v) -- W^+ -- (l) -- nu -- [l,l]']",vbblllllE, 1b + 2l + MET, 1b + 3l + 1v, 2b + 5l + 1v + MET
L L E,b,b,bllE,vtlll,"['b -- (b) -- B -- (l) -- l -- [E,l]', 'b -- (b) -- B -- (E) -- nu -- [l,l]', 'b -- (b) -- B -- (l) -- e -- [l,E]']","['b -- (t) -- H^+ -- (v) -- W^+ -- (l) -- nu -- [l,l]']",vtblllllE, 1b + 2l + MET, 1t + 3l + 1v, 1t + 1b + 5l + 1v + MET
L L E,b,b,bllE,vbllE,"['b -- (b) -- B -- (l) -- l -- [E,l]', 'b -- (b) -- B -- (E) -- nu -- [l,l]', 'b -- (b) -- B -- (l) -- e -- [l,E]']","['b -- (b) -- H^0 -- (v) -- B -- (l) -- l -- [E,l]', 'b -- (b) -- H^0 -- (v) -- B -- (E) -- nu -- [l,l]', 'b -- (b) -- H^0 -- (v) -- B -- (l) -- e -- [l,E]']",vbbllllE, 1b + 2l + MET, 1b + 2l + 1v + MET, 2b + 4l + 1v + MET
L L E,b,b,bllE,vtllE,"['b -- (b) -- B -- (l) -- l -- [E,l]', 'b -- (b) -- B -- (E) -- nu -- [l,l]', 'b -- (b) -- B -- (l) -- e -- [l,E]']","['b -- (t) -- H^+ -- (v) -- B -- (l) -- l -- [E,l]', 'b -- (t) -- H^+ -- (v) -- B -- (E) -- nu -- [l,l]', 'b -- (t) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']",vtbllllE, 1b + 2l + MET, 1t + 2l + 1v + MET, 1t + 1b + 4l + 1v + MET
L L E,b,b,vblE,bllE,"['b -- (b) -- H^0 -- (v) -- W^+ -- (E) -- l -- [E,l]']","['b -- (b) -- B -- (l) -- l -- [E,l]', 'b -- (b) -- B -- (E) -- nu -- [l,l]', 'b -- (b) -- B -- (l) -- e -- [l,E]']",vbblllE, 1b + 1l + 1v + MET, 1b + 2l + MET, 2b + 3l + 1v + MET
L L E,b,b,vblE,vblE,"['b -- (b) -- H^0 -- (v) -- W^+ -- (E) -- l -- [E,l]']","['b -- (b) -- H^0 -- (v) -- W^+ -- (E) -- l -- [E,l]']",vvbbllE, 1b + 1l + 1v + MET, 1b + 1l + 1v + MET, 2b + 2l + 2v + MET
L L E,b,b,vblE,vtlE,"['b -- (b) -- H^0 -- (v) -- W^+ -- (E) -- l -- [E,l]']","['b -- (t) -- H^+ -- (v) -- W^+ -- (E) -- l -- [E,l]']",vvtbllE, 1b + 1l + 1v + MET, 1t + 1l + 1v + MET, 1t + 1b + 2l + 2v + MET
L L E,b,b,vblE,vblll,"['b -- (b) -- H^0 -- (v) -- W^+ -- (E) -- l -- [E,l]']","['b -- (b) -- H^0 -- (v) -- W^+ -- (l) -- nu -- [l,l]']",vvbbllllE, 1b + 1l + 1v + MET, 1b + 3l + 1v, 2b + 4l + 2v + MET
L L E,b,b,vblE,vtlll,"['b -- (b) -- H^0 -- (v) -- W^+ -- (E) -- l -- [E,l]']","['b -- (t) -- H^+ -- (v) -- W^+ -- (l) -- nu -- [l,l]']",vvtbllllE, 1b + 1l + 1v + MET, 1t + 3l + 1v, 1t + 1b + 4l + 2v + MET
L L E,b,b,vblE,vbllE,"['b -- (b) -- H^0 -- (v) -- W^+ -- (E) -- l -- [E,l]']","['b -- (b) -- H^0 -- (v) -- B -- (l) -- l -- [E,l]', 'b -- (b) -- H^0 -- (v) -- B -- (E) -- nu -- [l,l]', 'b -- (b) -- H^0 -- (v) -- B -- (l) -- e -- [l,E]']",vvbblllE, 1b + 1l + 1v + MET, 1b + 2l + 1v + MET, 2b + 3l + 2v + MET
L L E,b,b,vblE,vtllE,"['b -- (b) -- H^0 -- (v) -- W^+ -- (E) -- l -- [E,l]']","['b -- (t) -- H^+ -- (v) -- B -- (l) -- l -- [E,l]', 'b -- (t) -- H^+ -- (v) -- B -- (E) -- nu -- [l,l]', 'b -- (t) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']",vvtblllE, 1b + 1l + 1v + MET, 1t + 2l + 1v + MET, 1t + 1b + 3l + 2v + MET
L L E,b,b,vtlE,bllE,"['b -- (t) -- H^+ -- (v) -- W^+ -- (E) -- l -- [E,l]']","['b -- (b) -- B -- (l) -- l -- [E,l]', 'b -- (b) -- B -- (E) -- nu -- [l,l]', 'b -- (b) -- B -- (l) -- e -- [l,E]']",vtblllE, 1t + 1l + 1v + MET, 1b + 2l + MET, 1t + 1b + 3l + 1v + MET
