CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L L E,e,e,lE,lE,"['e -- [l,E]']","['e -- [l,E]']",llE, 1l + MET, 1l + MET, 2l + MET
L L E,e,e,lE,lllE,"['e -- [l,E]']","['e -- (l) -- B -- (l) -- l -- [E,l]', 'e -- (l) -- B -- (E) -- nu -- [l,l]']",llllE, 1l + MET, 3l + MET, 4l + MET
L L E,e,e,lllE,lE,"['e -- (l) -- B -- (l) -- l -- [E,l]', 'e -- (l) -- B -- (E) -- nu -- [l,l]']","['e -- [l,E]']",llllE, 3l + MET, 1l + MET, 4l + MET
L L E,e,e,lllE,lllE,"['e -- (l) -- B -- (l) -- l -- [E,l]', 'e -- (l) -- B -- (E) -- nu -- [l,l]']","['e -- (l) -- B -- (l) -- l -- [E,l]', 'e -- (l) -- B -- (E) -- nu -- [l,l]']",llllllE, 3l + MET, 3l + MET, 6l + MET
L_3 L E,e,e,lE,lE,"['e -- [l,E]']","['e -- [l,E]']",llE, 1l + MET, 1l + MET, 2l + MET
L_3 L E,e,e,lE,TE,"['e -- [l,E]']","['e -- [T,E]']",TlE, 1l + MET, 1tau + MET, 1l + 1tau + MET
L_3 L E,e,e,lE,lllE,"['e -- [l,E]']","['e -- (l) -- B -- (l) -- l -- [E,l]', 'e -- (l) -- B -- (E) -- nu_tau -- [l,l]']",llllE, 1l + MET, 3l + MET, 4l + MET
L_3 L E,e,e,lE,TllE,"['e -- [l,E]']","['e -- (l) -- B -- (T) -- tau_L -- [E,l]', 'e -- (l) -- B -- (E) -- nu -- [T,l]']",TlllE, 1l + MET, 2l + 1tau + MET, 3l + 1tau + MET
L_3 L E,e,e,TE,lE,"['e -- [T,E]']","['e -- [l,E]']",TlE, 1tau + MET, 1l + MET, 1l + 1tau + MET
L_3 L E,e,e,TE,TE,"['e -- [T,E]']","['e -- [T,E]']",TTE, 1tau + MET, 1tau + MET, 2tau + MET
L_3 L E,e,e,TE,lllE,"['e -- [T,E]']","['e -- (l) -- B -- (l) -- l -- [E,l]', 'e -- (l) -- B -- (E) -- nu_tau -- [l,l]']",TlllE, 1tau + MET, 3l + MET, 3l + 1tau + MET
L_3 L E,e,e,TE,TllE,"['e -- [T,E]']","['e -- (l) -- B -- (T) -- tau_L -- [E,l]', 'e -- (l) -- B -- (E) -- nu -- [T,l]']",TTllE, 1tau + MET, 2l + 1tau + MET, 2l + 2tau + MET
