CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L L E,l,nu,lE,llE,"['l -- [E,l]']","['nu -- (E) -- B -- (l) -- e -- [l,E]']",lllE, 1l + MET, 2l + MET, 3l + MET
L L E,l,nu,lE,ll,"['l -- [E,l]']","['nu -- [l,l]']",lllE, 1l + MET, 2l, 3l + MET
L L E,l,nu,lllE,llE,"['l -- (l) -- B -- (l) -- e -- [l,E]']","['nu -- (E) -- B -- (l) -- e -- [l,E]']",lllllE, 3l + MET, 2l + MET, 5l + MET
L L E,l,nu,lllE,ll,"['l -- (l) -- B -- (l) -- e -- [l,E]']","['nu -- [l,l]']",lllllE, 3l + MET, 2l, 5l + MET
L_3 L E,l,nu,lE,llE,"['l -- [E,l]', 'l -- (E) -- W^+ -- (E) -- tau_L -- [E,l]']","['nu -- (E) -- B -- (E) -- nu_tau -- [l,l]', 'nu -- (E) -- B -- (l) -- e -- [l,E]', 'nu -- (l) -- W^+ -- (E) -- tau_L -- [E,l]']",lllE, 1l + MET, 2l + MET, 3l + MET
L_3 L E,l,nu,lE,Tl,"['l -- [E,l]', 'l -- (E) -- W^+ -- (E) -- tau_L -- [E,l]']","['nu -- [T,l]']",TllE, 1l + MET, 1l + 1tau, 2l + 1tau + MET
L_3 L E,l,nu,lE,TlE,"['l -- [E,l]', 'l -- (E) -- W^+ -- (E) -- tau_L -- [E,l]']","['nu -- (E) -- B -- (T) -- tau_L -- [E,l]', 'nu -- (E) -- B -- (l) -- e -- [T,E]']",TllE, 1l + MET, 1l + 1tau + MET, 2l + 1tau + MET
L_3 L E,l,nu,lE,Tlll,"['l -- [E,l]', 'l -- (E) -- W^+ -- (E) -- tau_L -- [E,l]']","['nu -- (l) -- W^+ -- (T) -- nu_tau -- [l,l]']",TllllE, 1l + MET, 3l + 1tau, 4l + 1tau + MET
L_3 L E,l,nu,lllE,llE,"['l -- (l) -- B -- (E) -- nu_tau -- [l,l]', 'l -- (l) -- B -- (l) -- e -- [l,E]']","['nu -- (E) -- B -- (E) -- nu_tau -- [l,l]', 'nu -- (E) -- B -- (l) -- e -- [l,E]', 'nu -- (l) -- W^+ -- (E) -- tau_L -- [E,l]']",lllllE, 3l + MET, 2l + MET, 5l + MET
L_3 L E,l,nu,lllE,Tl,"['l -- (l) -- B -- (E) -- nu_tau -- [l,l]', 'l -- (l) -- B -- (l) -- e -- [l,E]']","['nu -- [T,l]']",TllllE, 3l + MET, 1l + 1tau, 4l + 1tau + MET
L_3 L E,l,nu,lllE,TlE,"['l -- (l) -- B -- (E) -- nu_tau -- [l,l]', 'l -- (l) -- B -- (l) -- e -- [l,E]']","['nu -- (E) -- B -- (T) -- tau_L -- [E,l]', 'nu -- (E) -- B -- (l) -- e -- [T,E]']",TllllE, 3l + MET, 1l + 1tau + MET, 4l + 1tau + MET
L_3 L E,l,nu,lllE,Tlll,"['l -- (l) -- B -- (E) -- nu_tau -- [l,l]', 'l -- (l) -- B -- (l) -- e -- [l,E]']","['nu -- (l) -- W^+ -- (T) -- nu_tau -- [l,l]']",TllllllE, 3l + MET, 3l + 1tau, 6l + 1tau + MET
L_3 L E,l,nu,TllE,llE,"['l -- (E) -- W^+ -- (T) -- nu_tau -- [l,l]', 'l -- (l) -- B -- (T) -- tau_L -- [E,l]', 'l -- (l) -- B -- (l) -- e -- [T,E]']","['nu -- (E) -- B -- (E) -- nu_tau -- [l,l]', 'nu -- (E) -- B -- (l) -- e -- [l,E]', 'nu -- (l) -- W^+ -- (E) -- tau_L -- [E,l]']",TllllE, 2l + 1tau + MET, 2l + MET, 4l + 1tau + MET
L_3 L E,l,nu,TllE,Tl,"['l -- (E) -- W^+ -- (T) -- nu_tau -- [l,l]', 'l -- (l) -- B -- (T) -- tau_L -- [E,l]', 'l -- (l) -- B -- (l) -- e -- [T,E]']","['nu -- [T,l]']",TTlllE, 2l + 1tau + MET, 1l + 1tau, 3l + 2tau + MET
L_3 L E,l,nu,TllE,TlE,"['l -- (E) -- W^+ -- (T) -- nu_tau -- [l,l]', 'l -- (l) -- B -- (T) -- tau_L -- [E,l]', 'l -- (l) -- B -- (l) -- e -- [T,E]']","['nu -- (E) -- B -- (T) -- tau_L -- [E,l]', 'nu -- (E) -- B -- (l) -- e -- [T,E]']",TTlllE, 2l + 1tau + MET, 1l + 1tau + MET, 3l + 2tau + MET
L_3 L E,l,nu,TllE,Tlll,"['l -- (E) -- W^+ -- (T) -- nu_tau -- [l,l]', 'l -- (l) -- B -- (T) -- tau_L -- [E,l]', 'l -- (l) -- B -- (l) -- e -- [T,E]']","['nu -- (l) -- W^+ -- (T) -- nu_tau -- [l,l]']",TTlllllE, 2l + 1tau + MET, 3l + 1tau, 5l + 2tau + MET
L L E_3,l,nu,TE,Tl,"['l -- [E,T]']","['nu -- [l,T]']",TTlE, 1tau + MET, 1l + 1tau, 1l + 2tau + MET
L L E_3,l,nu,TE,TlE,"['l -- [E,T]']","['nu -- (E) -- B -- (T) -- tau -- [l,E]']",TTlE, 1tau + MET, 1l + 1tau + MET, 1l + 2tau + MET
L L E_3,l,nu,TllE,Tl,"['l -- (l) -- B -- (T) -- tau -- [l,E]']","['nu -- [l,T]']",TTlllE, 2l + 1tau + MET, 1l + 1tau, 3l + 2tau + MET
L L E_3,l,nu,TllE,TlE,"['l -- (l) -- B -- (T) -- tau -- [l,E]']","['nu -- (E) -- B -- (T) -- tau -- [l,E]']",TTlllE, 2l + 1tau + MET, 1l + 1tau + MET, 3l + 2tau + MET
L_3 L E_3,l,nu,TTlE,TT,"['l -- (E) -- W^+ -- (T) -- nu_tau -- [l,T]', 'l -- (l) -- B -- (T) -- tau_L -- [E,T]', 'l -- (l) -- B -- (T) -- tau -- [T,E]']","['nu -- [T,T]']",TTTTlE, 1l + 2tau + MET, 2tau, 1l + 4tau + MET
L_3 L E_3,l,nu,TTlE,TlE,"['l -- (E) -- W^+ -- (T) -- nu_tau -- [l,T]', 'l -- (l) -- B -- (T) -- tau_L -- [E,T]', 'l -- (l) -- B -- (T) -- tau -- [T,E]']","['nu -- (E) -- B -- (E) -- nu_tau -- [l,T]', 'nu -- (E) -- B -- (T) -- tau -- [l,E]', 'nu -- (l) -- W^+ -- (E) -- tau_L -- [E,T]']",TTTllE, 1l + 2tau + MET, 1l + 1tau + MET, 2l + 3tau + MET
L_3 L E_3,l,nu,TTlE,TTE,"['l -- (E) -- W^+ -- (T) -- nu_tau -- [l,T]', 'l -- (l) -- B -- (T) -- tau_L -- [E,T]', 'l -- (l) -- B -- (T) -- tau -- [T,E]']","['nu -- (E) -- B -- (T) -- tau_L -- [E,T]', 'nu -- (E) -- B -- (T) -- tau -- [T,E]']",TTTTlE, 1l + 2tau + MET, 2tau + MET, 1l + 4tau + MET
L_3 L E_3,l,nu,TTlE,TTll,"['l -- (E) -- W^+ -- (T) -- nu_tau -- [l,T]', 'l -- (l) -- B -- (T) -- tau_L -- [E,T]', 'l -- (l) -- B -- (T) -- tau -- [T,E]']","['nu -- (l) -- W^+ -- (T) -- nu_tau -- [l,T]']",TTTTlllE, 1l + 2tau + MET, 2l + 2tau, 3l + 4tau + MET
L_3 L E_3,l,nu,TE,TT,"['l -- [E,T]', 'l -- (E) -- W^+ -- (E) -- tau_L -- [E,T]']","['nu -- [T,T]']",TTTE, 1tau + MET, 2tau, 3tau + MET
L_3 L E_3,l,nu,TE,TlE,"['l -- [E,T]', 'l -- (E) -- W^+ -- (E) -- tau_L -- [E,T]']","['nu -- (E) -- B -- (E) -- nu_tau -- [l,T]', 'nu -- (E) -- B -- (T) -- tau -- [l,E]', 'nu -- (l) -- W^+ -- (E) -- tau_L -- [E,T]']",TTlE, 1tau + MET, 1l + 1tau + MET, 1l + 2tau + MET
L_3 L E_3,l,nu,TE,TTE,"['l -- [E,T]', 'l -- (E) -- W^+ -- (E) -- tau_L -- [E,T]']","['nu -- (E) -- B -- (T) -- tau_L -- [E,T]', 'nu -- (E) -- B -- (T) -- tau -- [T,E]']",TTTE, 1tau + MET, 2tau + MET, 3tau + MET
