CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L L E,q,q,jllE,jllE,"['q -- (j) -- B -- (l) -- l -- [E,l]', 'q -- (j) -- B -- (E) -- nu -- [l,l]', 'q -- (j) -- B -- (l) -- e -- [l,E]']","['q -- (j) -- B -- (l) -- l -- [E,l]', 'q -- (j) -- B -- (E) -- nu -- [l,l]', 'q -- (j) -- B -- (l) -- e -- [l,E]']",jjllllE, 1j_l + 2l + MET, 1j_l + 2l + MET, 2j_l + 4l + MET
L L E,q,q,jllE,jlll,"['q -- (j) -- B -- (l) -- l -- [E,l]', 'q -- (j) -- B -- (E) -- nu -- [l,l]', 'q -- (j) -- B -- (l) -- e -- [l,E]']","['q -- (j) -- W^+ -- (l) -- nu -- [l,l]']",jjlllllE, 1j_l + 2l + MET, 1j_l + 3l, 2j_l + 5l + MET
L L E,q,q,jllE,jlE,"['q -- (j) -- B -- (l) -- l -- [E,l]', 'q -- (j) -- B -- (E) -- nu -- [l,l]', 'q -- (j) -- B -- (l) -- e -- [l,E]']","['q -- (j) -- W^+ -- (E) -- l -- [E,l]']",jjlllE, 1j_l + 2l + MET, 1j_l + 1l + MET, 2j_l + 3l + MET
L L E,q,q,jlll,jllE,"['q -- (j) -- W^+ -- (l) -- nu -- [l,l]']","['q -- (j) -- B -- (l) -- l -- [E,l]', 'q -- (j) -- B -- (E) -- nu -- [l,l]', 'q -- (j) -- B -- (l) -- e -- [l,E]']",jjlllllE, 1j_l + 3l, 1j_l + 2l + MET, 2j_l + 5l + MET
L L E,q,q,jlll,jlll,"['q -- (j) -- W^+ -- (l) -- nu -- [l,l]']","['q -- (j) -- W^+ -- (l) -- nu -- [l,l]']",jjllllll, 1j_l + 3l, 1j_l + 3l, 2j_l + 6l
L L E,q,q,jlll,jlE,"['q -- (j) -- W^+ -- (l) -- nu -- [l,l]']","['q -- (j) -- W^+ -- (E) -- l -- [E,l]']",jjllllE, 1j_l + 3l, 1j_l + 1l + MET, 2j_l + 4l + MET
L L E,q,q,jlE,jllE,"['q -- (j) -- W^+ -- (E) -- l -- [E,l]']","['q -- (j) -- B -- (l) -- l -- [E,l]', 'q -- (j) -- B -- (E) -- nu -- [l,l]', 'q -- (j) -- B -- (l) -- e -- [l,E]']",jjlllE, 1j_l + 1l + MET, 1j_l + 2l + MET, 2j_l + 3l + MET
L L E,q,q,jlE,jlll,"['q -- (j) -- W^+ -- (E) -- l -- [E,l]']","['q -- (j) -- W^+ -- (l) -- nu -- [l,l]']",jjllllE, 1j_l + 1l + MET, 1j_l + 3l, 2j_l + 4l + MET
L L E,q,q,jlE,jlE,"['q -- (j) -- W^+ -- (E) -- l -- [E,l]']","['q -- (j) -- W^+ -- (E) -- l -- [E,l]']",jjllE, 1j_l + 1l + MET, 1j_l + 1l + MET, 2j_l + 2l + MET
L_3 L E,q,q,jllE,jllE,"['q -- (j) -- B -- (l) -- l -- [E,l]', 'q -- (j) -- B -- (E) -- nu_tau -- [l,l]', 'q -- (j) -- B -- (l) -- e -- [l,E]']","['q -- (j) -- B -- (l) -- l -- [E,l]', 'q -- (j) -- B -- (E) -- nu_tau -- [l,l]', 'q -- (j) -- B -- (l) -- e -- [l,E]']",jjllllE, 1j_l + 2l + MET, 1j_l + 2l + MET, 2j_l + 4l + MET
L_3 L E,q,q,jllE,jTlE,"['q -- (j) -- B -- (l) -- l -- [E,l]', 'q -- (j) -- B -- (E) -- nu_tau -- [l,l]', 'q -- (j) -- B -- (l) -- e -- [l,E]']","['q -- (j) -- B -- (T) -- tau_L -- [E,l]', 'q -- (j) -- B -- (E) -- nu -- [T,l]', 'q -- (j) -- B -- (l) -- e -- [T,E]']",jjTlllE, 1j_l + 2l + MET, 1j_l + 1l + 1tau + MET, 2j_l + 3l + 1tau + MET
L_3 L E,q,q,jllE,jlE,"['q -- (j) -- B -- (l) -- l -- [E,l]', 'q -- (j) -- B -- (E) -- nu_tau -- [l,l]', 'q -- (j) -- B -- (l) -- e -- [l,E]']","['q -- (j) -- W^+ -- (E) -- l -- [E,l]', 'q -- (j) -- W^+ -- (E) -- tau_L -- [E,l]']",jjlllE, 1j_l + 2l + MET, 1j_l + 1l + MET, 2j_l + 3l + MET
L_3 L E,q,q,jllE,jTll,"['q -- (j) -- B -- (l) -- l -- [E,l]', 'q -- (j) -- B -- (E) -- nu_tau -- [l,l]', 'q -- (j) -- B -- (l) -- e -- [l,E]']","['q -- (j) -- W^+ -- (T) -- nu_tau -- [l,l]', 'q -- (j) -- W^+ -- (l) -- nu -- [T,l]']",jjTllllE, 1j_l + 2l + MET, 1j_l + 2l + 1tau, 2j_l + 4l + 1tau + MET
L_3 L E,q,q,jTlE,jllE,"['q -- (j) -- B -- (T) -- tau_L -- [E,l]', 'q -- (j) -- B -- (E) -- nu -- [T,l]', 'q -- (j) -- B -- (l) -- e -- [T,E]']","['q -- (j) -- B -- (l) -- l -- [E,l]', 'q -- (j) -- B -- (E) -- nu_tau -- [l,l]', 'q -- (j) -- B -- (l) -- e -- [l,E]']",jjTlllE, 1j_l + 1l + 1tau + MET, 1j_l + 2l + MET, 2j_l + 3l + 1tau + MET
L_3 L E,q,q,jTlE,jTlE,"['q -- (j) -- B -- (T) -- tau_L -- [E,l]', 'q -- (j) -- B -- (E) -- nu -- [T,l]', 'q -- (j) -- B -- (l) -- e -- [T,E]']","['q -- (j) -- B -- (T) -- tau_L -- [E,l]', 'q -- (j) -- B -- (E) -- nu -- [T,l]', 'q -- (j) -- B -- (l) -- e -- [T,E]']",jjTTllE, 1j_l + 1l + 1tau + MET, 1j_l + 1l + 1tau + MET, 2j_l + 2l + 2tau + MET
L_3 L E,q,q,jTlE,jlE,"['q -- (j) -- B -- (T) -- tau_L -- [E,l]', 'q -- (j) -- B -- (E) -- nu -- [T,l]', 'q -- (j) -- B -- (l) -- e -- [T,E]']","['q -- (j) -- W^+ -- (E) -- l -- [E,l]', 'q -- (j) -- W^+ -- (E) -- tau_L -- [E,l]']",jjTllE, 1j_l + 1l + 1tau + MET, 1j_l + 1l + MET, 2j_l + 2l + 1tau + MET
L_3 L E,q,q,jTlE,jTll,"['q -- (j) -- B -- (T) -- tau_L -- [E,l]', 'q -- (j) -- B -- (E) -- nu -- [T,l]', 'q -- (j) -- B -- (l) -- e -- [T,E]']","['q -- (j) -- W^+ -- (T) -- nu_tau -- [l,l]', 'q -- (j) -- W^+ -- (l) -- nu -- [T,l]']",jjTTlllE, 1j_l + 1l + 1tau + MET, 1j_l + 2l + 1tau, 2j_l + 3l + 2tau + MET
L_3 L E,q,q,jlE,jllE,"['q -- (j) -- W^+ -- (E) -- l -- [E,l]', 'q -- (j) -- W^+ -- (E) -- tau_L -- [E,l]']","['q -- (j) -- B -- (l) -- l -- [E,l]', 'q -- (j) -- B -- (E) -- nu_tau -- [l,l]', 'q -- (j) -- B -- (l) -- e -- [l,E]']",jjlllE, 1j_l + 1l + MET, 1j_l + 2l + MET, 2j_l + 3l + MET
L_3 L E,q,q,jlE,jTlE,"['q -- (j) -- W^+ -- (E) -- l -- [E,l]', 'q -- (j) -- W^+ -- (E) -- tau_L -- [E,l]']","['q -- (j) -- B -- (T) -- tau_L -- [E,l]', 'q -- (j) -- B -- (E) -- nu -- [T,l]', 'q -- (j) -- B -- (l) -- e -- [T,E]']",jjTllE, 1j_l + 1l + MET, 1j_l + 1l + 1tau + MET, 2j_l + 2l + 1tau + MET
