CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L L E,t,t,vblE,vblE,"['t -- (b) -- H^+ -- (v) -- W^+ -- (E) -- l -- [E,l]']","['t -- (b) -- H^+ -- (v) -- W^+ -- (E) -- l -- [E,l]']",vvbbllE, 1b + 1l + 1v + MET, 1b + 1l + 1v + MET, 2b + 2l + 2v + MET
L L E,t,t,vblE,vtlE,"['t -- (b) -- H^+ -- (v) -- W^+ -- (E) -- l -- [E,l]']","['t -- (t) -- H^0 -- (v) -- W^+ -- (E) -- l -- [E,l]']",vvtbllE, 1b + 1l + 1v + MET, 1t + 1l + 1v + MET, 1t + 1b + 2l + 2v + MET
L L E,t,t,vblE,tllE,"['t -- (b) -- H^+ -- (v) -- W^+ -- (E) -- l -- [E,l]']","['t -- (t) -- B -- (l) -- l -- [E,l]', 't -- (t) -- B -- (E) -- nu -- [l,l]', 't -- (t) -- B -- (l) -- e -- [l,E]']",vtblllE, 1b + 1l + 1v + MET, 1t + 2l + MET, 1t + 1b + 3l + 1v + MET
L L E,t,t,vblE,vblll,"['t -- (b) -- H^+ -- (v) -- W^+ -- (E) -- l -- [E,l]']","['t -- (b) -- H^+ -- (v) -- W^+ -- (l) -- nu -- [l,l]']",vvbbllllE, 1b + 1l + 1v + MET, 1b + 3l + 1v, 2b + 4l + 2v + MET
L L E,t,t,vblE,vtlll,"['t -- (b) -- H^+ -- (v) -- W^+ -- (E) -- l -- [E,l]']","['t -- (t) -- H^0 -- (v) -- W^+ -- (l) -- nu -- [l,l]']",vvtbllllE, 1b + 1l + 1v + MET, 1t + 3l + 1v, 1t + 1b + 4l + 2v + MET
L L E,t,t,vblE,vbllE,"['t -- (b) -- H^+ -- (v) -- W^+ -- (E) -- l -- [E,l]']","['t -- (b) -- H^+ -- (v) -- B -- (l) -- l -- [E,l]', 't -- (b) -- H^+ -- (v) -- B -- (E) -- nu -- [l,l]', 't -- (b) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']",vvbblllE, 1b + 1l + 1v + MET, 1b + 2l + 1v + MET, 2b + 3l + 2v + MET
L L E,t,t,vblE,vtllE,"['t -- (b) -- H^+ -- (v) -- W^+ -- (E) -- l -- [E,l]']","['t -- (t) -- H^0 -- (v) -- B -- (l) -- l -- [E,l]', 't -- (t) -- H^0 -- (v) -- B -- (E) -- nu -- [l,l]', 't -- (t) -- H^0 -- (v) -- B -- (l) -- e -- [l,E]']",vvtblllE, 1b + 1l + 1v + MET, 1t + 2l + 1v + MET, 1t + 1b + 3l + 2v + MET
L L E,t,t,vtlE,vblE,"['t -- (t) -- H^0 -- (v) -- W^+ -- (E) -- l -- [E,l]']","['t -- (b) -- H^+ -- (v) -- W^+ -- (E) -- l -- [E,l]']",vvtbllE, 1t + 1l + 1v + MET, 1b + 1l + 1v + MET, 1t + 1b + 2l + 2v + MET
L L E,t,t,vtlE,vtlE,"['t -- (t) -- H^0 -- (v) -- W^+ -- (E) -- l -- [E,l]']","['t -- (t) -- H^0 -- (v) -- W^+ -- (E) -- l -- [E,l]']",vvttllE, 1t + 1l + 1v + MET, 1t + 1l + 1v + MET, 2t + 2l + 2v + MET
L L E,t,t,vtlE,tllE,"['t -- (t) -- H^0 -- (v) -- W^+ -- (E) -- l -- [E,l]']","['t -- (t) -- B -- (l) -- l -- [E,l]', 't -- (t) -- B -- (E) -- nu -- [l,l]', 't -- (t) -- B -- (l) -- e -- [l,E]']",vttlllE, 1t + 1l + 1v + MET, 1t + 2l + MET, 2t + 3l + 1v + MET
L L E,t,t,vtlE,vblll,"['t -- (t) -- H^0 -- (v) -- W^+ -- (E) -- l -- [E,l]']","['t -- (b) -- H^+ -- (v) -- W^+ -- (l) -- nu -- [l,l]']",vvtbllllE, 1t + 1l + 1v + MET, 1b + 3l + 1v, 1t + 1b + 4l + 2v + MET
L L E,t,t,vtlE,vtlll,"['t -- (t) -- H^0 -- (v) -- W^+ -- (E) -- l -- [E,l]']","['t -- (t) -- H^0 -- (v) -- W^+ -- (l) -- nu -- [l,l]']",vvttllllE, 1t + 1l + 1v + MET, 1t + 3l + 1v, 2t + 4l + 2v + MET
L L E,t,t,vtlE,vbllE,"['t -- (t) -- H^0 -- (v) -- W^+ -- (E) -- l -- [E,l]']","['t -- (b) -- H^+ -- (v) -- B -- (l) -- l -- [E,l]', 't -- (b) -- H^+ -- (v) -- B -- (E) -- nu -- [l,l]', 't -- (b) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']",vvtblllE, 1t + 1l + 1v + MET, 1b + 2l + 1v + MET, 1t + 1b + 3l + 2v + MET
L L E,t,t,vtlE,vtllE,"['t -- (t) -- H^0 -- (v) -- W^+ -- (E) -- l -- [E,l]']","['t -- (t) -- H^0 -- (v) -- B -- (l) -- l -- [E,l]', 't -- (t) -- H^0 -- (v) -- B -- (E) -- nu -- [l,l]', 't -- (t) -- H^0 -- (v) -- B -- (l) -- e -- [l,E]']",vvttlllE, 1t + 1l + 1v + MET, 1t + 2l + 1v + MET, 2t + 3l + 2v + MET
L L E,t,t,tllE,vblE,"['t -- (t) -- B -- (l) -- l -- [E,l]', 't -- (t) -- B -- (E) -- nu -- [l,l]', 't -- (t) -- B -- (l) -- e -- [l,E]']","['t -- (b) -- H^+ -- (v) -- W^+ -- (E) -- l -- [E,l]']",vtblllE, 1t + 2l + MET, 1b + 1l + 1v + MET, 1t + 1b + 3l + 1v + MET
L L E,t,t,tllE,vtlE,"['t -- (t) -- B -- (l) -- l -- [E,l]', 't -- (t) -- B -- (E) -- nu -- [l,l]', 't -- (t) -- B -- (l) -- e -- [l,E]']","['t -- (t) -- H^0 -- (v) -- W^+ -- (E) -- l -- [E,l]']",vttlllE, 1t + 2l + MET, 1t + 1l + 1v + MET, 2t + 3l + 1v + MET
L L E,t,t,tllE,tllE,"['t -- (t) -- B -- (l) -- l -- [E,l]', 't -- (t) -- B -- (E) -- nu -- [l,l]', 't -- (t) -- B -- (l) -- e -- [l,E]']","['t -- (t) -- B -- (l) -- l -- [E,l]', 't -- (t) -- B -- (E) -- nu -- [l,l]', 't -- (t) -- B -- (l) -- e -- [l,E]']",ttllllE, 1t + 2l + MET, 1t + 2l + MET, 2t + 4l + MET
L L E,t,t,tllE,vblll,"['t -- (t) -- B -- (l) -- l -- [E,l]', 't -- (t) -- B -- (E) -- nu -- [l,l]', 't -- (t) -- B -- (l) -- e -- [l,E]']","['t -- (b) -- H^+ -- (v) -- W^+ -- (l) -- nu -- [l,l]']",vtblllllE, 1t + 2l + MET, 1b + 3l + 1v, 1t + 1b + 5l + 1v + MET
L L E,t,t,tllE,vtlll,"['t -- (t) -- B -- (l) -- l -- [E,l]', 't -- (t) -- B -- (E) -- nu -- [l,l]', 't -- (t) -- B -- (l) -- e -- [l,E]']","['t -- (t) -- H^0 -- (v) -- W^+ -- (l) -- nu -- [l,l]']",vttlllllE, 1t + 2l + MET, 1t + 3l + 1v, 2t + 5l + 1v + MET
L L E,t,t,tllE,vbllE,"['t -- (t) -- B -- (l) -- l -- [E,l]', 't -- (t) -- B -- (E) -- nu -- [l,l]', 't -- (t) -- B -- (l) -- e -- [l,E]']","['t -- (b) -- H^+ -- (v) -- B -- (l) -- l -- [E,l]', 't -- (b) -- H^+ -- (v) -- B -- (E) -- nu -- [l,l]', 't -- (b) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']",vtbllllE, 1t + 2l + MET, 1b + 2l + 1v + MET, 1t + 1b + 4l + 1v + MET
