CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L L E,tau,tau,TllE,TllE,"['tau -- (T) -- B -- (l) -- l -- [E,l]', 'tau -- (T) -- B -- (E) -- nu -- [l,l]', 'tau -- (T) -- B -- (l) -- e -- [l,E]']","['tau -- (T) -- B -- (l) -- l -- [E,l]', 'tau -- (T) -- B -- (E) -- nu -- [l,l]', 'tau -- (T) -- B -- (l) -- e -- [l,E]']",TTllllE, 2l + 1tau + MET, 2l + 1tau + MET, 4l + 2tau + MET
L_3 L E,tau,tau,TTlE,TTlE,"['tau -- (T) -- B -- (T) -- tau_L -- [E,l]', 'tau -- (T) -- B -- (E) -- nu -- [T,l]', 'tau -- (T) -- B -- (l) -- e -- [T,E]']","['tau -- (T) -- B -- (T) -- tau_L -- [E,l]', 'tau -- (T) -- B -- (E) -- nu -- [T,l]', 'tau -- (T) -- B -- (l) -- e -- [T,E]']",TTTTllE, 1l + 2tau + MET, 1l + 2tau + MET, 2l + 4tau + MET
L_3 L E,tau,tau,TTlE,TllE,"['tau -- (T) -- B -- (T) -- tau_L -- [E,l]', 'tau -- (T) -- B -- (E) -- nu -- [T,l]', 'tau -- (T) -- B -- (l) -- e -- [T,E]']","['tau -- (T) -- B -- (l) -- l -- [E,l]', 'tau -- (T) -- B -- (E) -- nu_tau -- [l,l]', 'tau -- (T) -- B -- (l) -- e -- [l,E]']",TTTlllE, 1l + 2tau + MET, 2l + 1tau + MET, 3l + 3tau + MET
L_3 L E,tau,tau,TllE,TTlE,"['tau -- (T) -- B -- (l) -- l -- [E,l]', 'tau -- (T) -- B -- (E) -- nu_tau -- [l,l]', 'tau -- (T) -- B -- (l) -- e -- [l,E]']","['tau -- (T) -- B -- (T) -- tau_L -- [E,l]', 'tau -- (T) -- B -- (E) -- nu -- [T,l]', 'tau -- (T) -- B -- (l) -- e -- [T,E]']",TTTlllE, 2l + 1tau + MET, 1l + 2tau + MET, 3l + 3tau + MET
L_3 L E,tau,tau,TllE,TllE,"['tau -- (T) -- B -- (l) -- l -- [E,l]', 'tau -- (T) -- B -- (E) -- nu_tau -- [l,l]', 'tau -- (T) -- B -- (l) -- e -- [l,E]']","['tau -- (T) -- B -- (l) -- l -- [E,l]', 'tau -- (T) -- B -- (E) -- nu_tau -- [l,l]', 'tau -- (T) -- B -- (l) -- e -- [l,E]']",TTllllE, 2l + 1tau + MET, 2l + 1tau + MET, 4l + 2tau + MET
L L E_3,tau,tau,lE,lE,"['tau -- [l,E]']","['tau -- [l,E]']",llE, 1l + MET, 1l + MET, 2l + MET
L L E_3,tau,tau,lE,TTlE,"['tau -- [l,E]']","['tau -- (T) -- B -- (l) -- l -- [E,T]', 'tau -- (T) -- B -- (E) -- nu -- [l,T]']",TTllE, 1l + MET, 1l + 2tau + MET, 2l + 2tau + MET
L L E_3,tau,tau,TTlE,lE,"['tau -- (T) -- B -- (l) -- l -- [E,T]', 'tau -- (T) -- B -- (E) -- nu -- [l,T]']","['tau -- [l,E]']",TTllE, 1l + 2tau + MET, 1l + MET, 2l + 2tau + MET
L L E_3,tau,tau,TTlE,TTlE,"['tau -- (T) -- B -- (l) -- l -- [E,T]', 'tau -- (T) -- B -- (E) -- nu -- [l,T]']","['tau -- (T) -- B -- (l) -- l -- [E,T]', 'tau -- (T) -- B -- (E) -- nu -- [l,T]']",TTTTllE, 1l + 2tau + MET, 1l + 2tau + MET, 2l + 4tau + MET
L_3 L E_3,tau,tau,lE,lE,"['tau -- [l,E]']","['tau -- [l,E]']",llE, 1l + MET, 1l + MET, 2l + MET
L_3 L E_3,tau,tau,lE,TE,"['tau -- [l,E]']","['tau -- [T,E]']",TlE, 1l + MET, 1tau + MET, 1l + 1tau + MET
L_3 L E_3,tau,tau,lE,TTTE,"['tau -- [l,E]']","['tau -- (T) -- B -- (T) -- tau_L -- [E,T]', 'tau -- (T) -- B -- (E) -- nu -- [T,T]']",TTTlE, 1l + MET, 3tau + MET, 1l + 3tau + MET
L_3 L E_3,tau,tau,lE,TTlE,"['tau -- [l,E]']","['tau -- (T) -- B -- (l) -- l -- [E,T]', 'tau -- (T) -- B -- (E) -- nu_tau -- [l,T]']",TTllE, 1l + MET, 1l + 2tau + MET, 2l + 2tau + MET
L_3 L E_3,tau,tau,TE,lE,"['tau -- [T,E]']","['tau -- [l,E]']",TlE, 1tau + MET, 1l + MET, 1l + 1tau + MET
L_3 L E_3,tau,tau,TE,TE,"['tau -- [T,E]']","['tau -- [T,E]']",TTE, 1tau + MET, 1tau + MET, 2tau + MET
L_3 L E_3,tau,tau,TE,TTTE,"['tau -- [T,E]']","['tau -- (T) -- B -- (T) -- tau_L -- [E,T]', 'tau -- (T) -- B -- (E) -- nu -- [T,T]']",TTTTE, 1tau + MET, 3tau + MET, 4tau + MET
L_3 L E_3,tau,tau,TE,TTlE,"['tau -- [T,E]']","['tau -- (T) -- B -- (l) -- l -- [E,T]', 'tau -- (T) -- B -- (E) -- nu_tau -- [l,T]']",TTTlE, 1tau + MET, 1l + 2tau + MET, 1l + 3tau + MET
L_3 L E_3,tau,tau,TTTE,lE,"['tau -- (T) -- B -- (T) -- tau_L -- [E,T]', 'tau -- (T) -- B -- (E) -- nu -- [T,T]']","['tau -- [l,E]']",TTTlE, 3tau + MET, 1l + MET, 1l + 3tau + MET
L_3 L E_3,tau,tau,TTTE,TE,"['tau -- (T) -- B -- (T) -- tau_L -- [E,T]', 'tau -- (T) -- B -- (E) -- nu -- [T,T]']","['tau -- [T,E]']",TTTTE, 3tau + MET, 1tau + MET, 4tau + MET
L_3 L E_3,tau,tau,TTTE,TTTE,"['tau -- (T) -- B -- (T) -- tau_L -- [E,T]', 'tau -- (T) -- B -- (E) -- nu -- [T,T]']","['tau -- (T) -- B -- (T) -- tau_L -- [E,T]', 'tau -- (T) -- B -- (E) -- nu -- [T,T]']",TTTTTTE, 3tau + MET, 3tau + MET, 6tau + MET
L_3 L E_3,tau,tau,TTTE,TTlE,"['tau -- (T) -- B -- (T) -- tau_L -- [E,T]', 'tau -- (T) -- B -- (E) -- nu -- [T,T]']","['tau -- (T) -- B -- (l) -- l -- [E,T]', 'tau -- (T) -- B -- (E) -- nu_tau -- [l,T]']",TTTTTlE, 3tau + MET, 1l + 2tau + MET, 1l + 5tau + MET
L_3 L E_3,tau,tau,TTlE,lE,"['tau -- (T) -- B -- (l) -- l -- [E,T]', 'tau -- (T) -- B -- (E) -- nu_tau -- [l,T]']","['tau -- [l,E]']",TTllE, 1l + 2tau + MET, 1l + MET, 2l + 2tau + MET
L_3 L E_3,tau,tau,TTlE,TE,"['tau -- (T) -- B -- (l) -- l -- [E,T]', 'tau -- (T) -- B -- (E) -- nu_tau -- [l,T]']","['tau -- [T,E]']",TTTlE, 1l + 2tau + MET, 1tau + MET, 1l + 3tau + MET
L_3 L E_3,tau,tau,TTlE,TTTE,"['tau -- (T) -- B -- (l) -- l -- [E,T]', 'tau -- (T) -- B -- (E) -- nu_tau -- [l,T]']","['tau -- (T) -- B -- (T) -- tau_L -- [E,T]', 'tau -- (T) -- B -- (E) -- nu -- [T,T]']",TTTTTlE, 1l + 2tau + MET, 3tau + MET, 1l + 5tau + MET
L_3 L E_3,tau,tau,TTlE,TTlE,"['tau -- (T) -- B -- (l) -- l -- [E,T]', 'tau -- (T) -- B -- (E) -- nu_tau -- [l,T]']","['tau -- (T) -- B -- (l) -- l -- [E,T]', 'tau -- (T) -- B -- (E) -- nu_tau -- [l,T]']",TTTTllE, 1l + 2tau + MET, 1l + 2tau + MET, 2l + 4tau + MET
L Q D,tau,tau,jjTl,jjTl,"['tau -- (T) -- B -- (l) -- l -- [j,j]', 'tau -- (T) -- B -- (j) -- q -- [l,j]', 'tau -- (T) -- B -- (j) -- d -- [l,j]']","['tau -- (T) -- B -- (l) -- l -- [j,j]', 'tau -- (T) -- B -- (j) -- q -- [l,j]', 'tau -- (T) -- B -- (j) -- d -- [l,j]']",jjjjTTll, 2j_l + 1l + 1tau, 2j_l + 1l + 1tau, 4j_l + 2l + 2tau
L Q D,tau,tau,jjTl,jjTE,"['tau -- (T) -- B -- (l) -- l -- [j,j]', 'tau -- (T) -- B -- (j) -- q -- [l,j]', 'tau -- (T) -- B -- (j) -- d -- [l,j]']","['tau -- (T) -- B -- (E) -- nu -- [j,j]', 'tau -- (T) -- B -- (j) -- q -- [E,j]', 'tau -- (T) -- B -- (j) -- d -- [E,j]']",jjjjTTlE, 2j_l + 1l + 1tau, 2j_l + 1tau + MET, 4j_l + 1l + 2tau + MET
