Category,LSP,decays via,Signatures,Chain,NV_cascade,Signatures (ER)
L L E,G,l,jjlE,"G -- (j) -- q -- (j) -- W^+ -- (E) -- l -- [E,l]",3, 2j_l + 1l + MET
L L E,G,l,jjllE,"G -- (j) -- q -- (j) -- B -- (l) -- l -- [E,l]",3, 2j_l + 2l + MET
L L E,G,l,bbllE,"G -- (b) -- b_L -- (b) -- B -- (l) -- l -- [E,l]",3, 2b + 2l + MET
L L E,G,l,ttllE,"G -- (t) -- t_L -- (t) -- B -- (l) -- l -- [E,l]",3, 2t + 2l + MET
L L E,G,l,tblE,"G -- (b) -- b_L -- (t) -- W^+ -- (E) -- l -- [E,l]",3, 1t + 1b + 1l + MET
L L E,G,nu,jjllE,"G -- (j) -- q -- (j) -- B -- (E) -- nu -- [l,l]",3, 2j_l + 2l + MET
L L E,G,nu,tblll,"G -- (b) -- b_L -- (t) -- W^+ -- (l) -- nu -- [l,l]",3, 1t + 1b + 3l
L L E,G,nu,jjlll,"G -- (j) -- q -- (j) -- W^+ -- (l) -- nu -- [l,l]",3, 2j_l + 3l
L L E,G,nu,ttllE,"G -- (t) -- t_L -- (t) -- B -- (E) -- nu -- [l,l]",3, 2t + 2l + MET
L L E,G,nu,bbllE,"G -- (b) -- b_L -- (b) -- B -- (E) -- nu -- [l,l]",3, 2b + 2l + MET
L L E,G,e,ttllE,"G -- (t) -- t_L -- (t) -- B -- (l) -- e -- [l,E]",3, 2t + 2l + MET
L L E,G,e,jjllE,"G -- (j) -- q -- (j) -- B -- (l) -- e -- [l,E]",3, 2j_l + 2l + MET
L L E,G,e,bbllE,"G -- (b) -- b_L -- (b) -- B -- (l) -- e -- [l,E]",3, 2b + 2l + MET
L_3 L E,G,l,jjlE,"G -- (j) -- q -- (j) -- W^+ -- (E) -- l -- [E,l]",3, 2j_l + 1l + MET
L_3 L E,G,l,jjllE,"G -- (j) -- q -- (j) -- B -- (l) -- l -- [E,l]",3, 2j_l + 2l + MET
L_3 L E,G,l,bbllE,"G -- (b) -- b_L -- (b) -- B -- (l) -- l -- [E,l]",3, 2b + 2l + MET
L_3 L E,G,l,ttllE,"G -- (t) -- t_L -- (t) -- B -- (l) -- l -- [E,l]",3, 2t + 2l + MET
L_3 L E,G,l,tblE,"G -- (b) -- b_L -- (t) -- W^+ -- (E) -- l -- [E,l]",3, 1t + 1b + 1l + MET
L_3 L E,G,nu_tau,jjllE,"G -- (j) -- q -- (j) -- B -- (E) -- nu_tau -- [l,l]",3, 2j_l + 2l + MET
L_3 L E,G,nu_tau,tbTll,"G -- (b) -- b_L -- (t) -- W^+ -- (T) -- nu_tau -- [l,l]",3, 1t + 1b + 2l + 1tau
L_3 L E,G,nu_tau,jjTll,"G -- (j) -- q -- (j) -- W^+ -- (T) -- nu_tau -- [l,l]",3, 2j_l + 2l + 1tau
L_3 L E,G,nu_tau,ttllE,"G -- (t) -- t_L -- (t) -- B -- (E) -- nu_tau -- [l,l]",3, 2t + 2l + MET
L_3 L E,G,nu_tau,bbllE,"G -- (b) -- b_L -- (b) -- B -- (E) -- nu_tau -- [l,l]",3, 2b + 2l + MET
L_3 L E,G,e,ttllE,"G -- (t) -- t_L -- (t) -- B -- (l) -- e -- [l,E]",3, 2t + 2l + MET
L_3 L E,G,e,jjllE,"G -- (j) -- q -- (j) -- B -- (l) -- e -- [l,E]",3, 2j_l + 2l + MET
L_3 L E,G,e,bbllE,"G -- (b) -- b_L -- (b) -- B -- (l) -- e -- [l,E]",3, 2b + 2l + MET
L_3 L E,G,tau_L,ttTlE,"G -- (t) -- t_L -- (t) -- B -- (T) -- tau_L -- [E,l]",3, 2t + 1l + 1tau + MET
L_3 L E,G,tau_L,jjlE,"G -- (j) -- q -- (j) -- W^+ -- (E) -- tau_L -- [E,l]",3, 2j_l + 1l + MET
L_3 L E,G,tau_L,jjTlE,"G -- (j) -- q -- (j) -- B -- (T) -- tau_L -- [E,l]",3, 2j_l + 1l + 1tau + MET
L_3 L E,G,tau_L,bbTlE,"G -- (b) -- b_L -- (b) -- B -- (T) -- tau_L -- [E,l]",3, 2b + 1l + 1tau + MET
L_3 L E,G,tau_L,tblE,"G -- (b) -- b_L -- (t) -- W^+ -- (E) -- tau_L -- [E,l]",3, 1t + 1b + 1l + MET
L_3 L E,G,nu,jjTlE,"G -- (j) -- q -- (j) -- B -- (E) -- nu -- [T,l]",3, 2j_l + 1l + 1tau + MET
L_3 L E,G,nu,tbTll,"G -- (b) -- b_L -- (t) -- W^+ -- (l) -- nu -- [T,l]",3, 1t + 1b + 2l + 1tau
L_3 L E,G,nu,jjTll,"G -- (j) -- q -- (j) -- W^+ -- (l) -- nu -- [T,l]",3, 2j_l + 2l + 1tau
L_3 L E,G,nu,ttTlE,"G -- (t) -- t_L -- (t) -- B -- (E) -- nu -- [T,l]",3, 2t + 1l + 1tau + MET
L_3 L E,G,nu,bbTlE,"G -- (b) -- b_L -- (b) -- B -- (E) -- nu -- [T,l]",3, 2b + 1l + 1tau + MET
L_3 L E,G,e,ttTlE,"G -- (t) -- t_L -- (t) -- B -- (l) -- e -- [T,E]",3, 2t + 1l + 1tau + MET
L_3 L E,G,e,jjTlE,"G -- (j) -- q -- (j) -- B -- (l) -- e -- [T,E]",3, 2j_l + 1l + 1tau + MET
L_3 L E,G,e,bbTlE,"G -- (b) -- b_L -- (b) -- B -- (l) -- e -- [T,E]",3, 2b + 1l + 1tau + MET
L L E_3,G,l,jjTE,"G -- (j) -- q -- (j) -- W^+ -- (E) -- l -- [E,T]",3, 2j_l + 1tau + MET
L L E_3,G,l,jjTlE,"G -- (j) -- q -- (j) -- B -- (l) -- l -- [E,T]",3, 2j_l + 1l + 1tau + MET
L L E_3,G,l,bbTlE,"G -- (b) -- b_L -- (b) -- B -- (l) -- l -- [E,T]",3, 2b + 1l + 1tau + MET
L L E_3,G,l,ttTlE,"G -- (t) -- t_L -- (t) -- B -- (l) -- l -- [E,T]",3, 2t + 1l + 1tau + MET
