CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L L E,W^+,W^+,jjllE,lE,"['W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [l,E]']","['W^+ -- (E) -- l -- [E,l]']",jjlllE, 2j_l + 2l + MET, 1l + MET, 2j_l + 3l + MET
L L E,W^+,W^+,lE,jjllE,"['W^+ -- (E) -- l -- [E,l]']","['W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [l,E]']",jjlllE, 1l + MET, 2j_l + 2l + MET, 2j_l + 3l + MET
L L E,W^+,W^0,lE,jjllE,"['W^+ -- (E) -- l -- [E,l]']","['W^0 -- (j) -- q -- (j) -- B -- (l) -- e -- [l,E]']",jjlllE, 1l + MET, 2j_l + 2l + MET, 2j_l + 3l + MET
L L E,q,q,jllE,jlE,"['q -- (j) -- B -- (l) -- l -- [E,l]', 'q -- (j) -- B -- (E) -- nu -- [l,l]', 'q -- (j) -- B -- (l) -- e -- [l,E]']","['q -- (j) -- W^+ -- (E) -- l -- [E,l]']",jjlllE, 1j_l + 2l + MET, 1j_l + 1l + MET, 2j_l + 3l + MET
L L E,q,q,jlE,jllE,"['q -- (j) -- W^+ -- (E) -- l -- [E,l]']","['q -- (j) -- B -- (l) -- l -- [E,l]', 'q -- (j) -- B -- (E) -- nu -- [l,l]', 'q -- (j) -- B -- (l) -- e -- [l,E]']",jjlllE, 1j_l + 1l + MET, 1j_l + 2l + MET, 2j_l + 3l + MET
L_3 L E,W^+,W^+,jjllE,lE,"['W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [l,E]']","['W^+ -- (E) -- l -- [E,l]', 'W^+ -- (E) -- tau_L -- [E,l]']",jjlllE, 2j_l + 2l + MET, 1l + MET, 2j_l + 3l + MET
L_3 L E,W^+,W^+,lE,jjllE,"['W^+ -- (E) -- l -- [E,l]', 'W^+ -- (E) -- tau_L -- [E,l]']","['W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [l,E]']",jjlllE, 1l + MET, 2j_l + 2l + MET, 2j_l + 3l + MET
L_3 L E,W^+,W^0,lE,jjllE,"['W^+ -- (E) -- l -- [E,l]', 'W^+ -- (E) -- tau_L -- [E,l]']","['W^0 -- (j) -- q -- (j) -- B -- (l) -- e -- [l,E]']",jjlllE, 1l + MET, 2j_l + 2l + MET, 2j_l + 3l + MET
L_3 L E,q,q,jllE,jlE,"['q -- (j) -- B -- (l) -- l -- [E,l]', 'q -- (j) -- B -- (E) -- nu_tau -- [l,l]', 'q -- (j) -- B -- (l) -- e -- [l,E]']","['q -- (j) -- W^+ -- (E) -- l -- [E,l]', 'q -- (j) -- W^+ -- (E) -- tau_L -- [E,l]']",jjlllE, 1j_l + 2l + MET, 1j_l + 1l + MET, 2j_l + 3l + MET
L_3 L E,q,q,jlE,jllE,"['q -- (j) -- W^+ -- (E) -- l -- [E,l]', 'q -- (j) -- W^+ -- (E) -- tau_L -- [E,l]']","['q -- (j) -- B -- (l) -- l -- [E,l]', 'q -- (j) -- B -- (E) -- nu_tau -- [l,l]', 'q -- (j) -- B -- (l) -- e -- [l,E]']",jjlllE, 1j_l + 1l + MET, 1j_l + 2l + MET, 2j_l + 3l + MET
L_3 L E,W^+,W^+,jjTlE,lE,"['W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [T,E]']","['W^+ -- (E) -- l -- [E,l]', 'W^+ -- (E) -- tau_L -- [E,l]']",jjTllE, 2j_l + 1l + 1tau + MET, 1l + MET, 2j_l + 2l + 1tau + MET
L_3 L E,W^+,W^+,lE,jjTlE,"['W^+ -- (E) -- l -- [E,l]', 'W^+ -- (E) -- tau_L -- [E,l]']","['W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [T,E]']",jjTllE, 1l + MET, 2j_l + 1l + 1tau + MET, 2j_l + 2l + 1tau + MET
L_3 L E,W^+,W^0,lE,jjTlE,"['W^+ -- (E) -- l -- [E,l]', 'W^+ -- (E) -- tau_L -- [E,l]']","['W^0 -- (j) -- q -- (j) -- B -- (l) -- e -- [T,E]']",jjTllE, 1l + MET, 2j_l + 1l + 1tau + MET, 2j_l + 2l + 1tau + MET
L_3 L E,q,q,jTlE,jlE,"['q -- (j) -- B -- (T) -- tau_L -- [E,l]', 'q -- (j) -- B -- (E) -- nu -- [T,l]', 'q -- (j) -- B -- (l) -- e -- [T,E]']","['q -- (j) -- W^+ -- (E) -- l -- [E,l]', 'q -- (j) -- W^+ -- (E) -- tau_L -- [E,l]']",jjTllE, 1j_l + 1l + 1tau + MET, 1j_l + 1l + MET, 2j_l + 2l + 1tau + MET
L_3 L E,q,q,jlE,jTlE,"['q -- (j) -- W^+ -- (E) -- l -- [E,l]', 'q -- (j) -- W^+ -- (E) -- tau_L -- [E,l]']","['q -- (j) -- B -- (T) -- tau_L -- [E,l]', 'q -- (j) -- B -- (E) -- nu -- [T,l]', 'q -- (j) -- B -- (l) -- e -- [T,E]']",jjTllE, 1j_l + 1l + MET, 1j_l + 1l + 1tau + MET, 2j_l + 2l + 1tau + MET
L_3 L E,W^+,W^+,jjTlE,lE,"['W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [T,E]']","['W^+ -- (E) -- l -- [E,l]', 'W^+ -- (E) -- tau_L -- [E,l]']",jjTllE, 2j_l + 1l + 1tau + MET, 1l + MET, 2j_l + 2l + 1tau + MET
L_3 L E,W^+,W^+,lE,jjTlE,"['W^+ -- (E) -- l -- [E,l]', 'W^+ -- (E) -- tau_L -- [E,l]']","['W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [T,E]']",jjTllE, 1l + MET, 2j_l + 1l + 1tau + MET, 2j_l + 2l + 1tau + MET
L_3 L E,W^+,W^0,lE,jjTlE,"['W^+ -- (E) -- l -- [E,l]', 'W^+ -- (E) -- tau_L -- [E,l]']","['W^0 -- (j) -- q -- (j) -- B -- (l) -- e -- [T,E]']",jjTllE, 1l + MET, 2j_l + 1l + 1tau + MET, 2j_l + 2l + 1tau + MET
L_3 L E,q,q,jTlE,jlE,"['q -- (j) -- B -- (T) -- tau_L -- [E,l]', 'q -- (j) -- B -- (E) -- nu -- [T,l]', 'q -- (j) -- B -- (l) -- e -- [T,E]']","['q -- (j) -- W^+ -- (E) -- l -- [E,l]', 'q -- (j) -- W^+ -- (E) -- tau_L -- [E,l]']",jjTllE, 1j_l + 1l + 1tau + MET, 1j_l + 1l + MET, 2j_l + 2l + 1tau + MET
L_3 L E,q,q,jlE,jTlE,"['q -- (j) -- W^+ -- (E) -- l -- [E,l]', 'q -- (j) -- W^+ -- (E) -- tau_L -- [E,l]']","['q -- (j) -- B -- (T) -- tau_L -- [E,l]', 'q -- (j) -- B -- (E) -- nu -- [T,l]', 'q -- (j) -- B -- (l) -- e -- [T,E]']",jjTllE, 1j_l + 1l + MET, 1j_l + 1l + 1tau + MET, 2j_l + 2l + 1tau + MET
L L E_3,W^+,W^+,jjTlE,TE,"['W^+ -- (j) -- q -- (j) -- B -- (T) -- tau -- [l,E]']","['W^+ -- (E) -- l -- [E,T]']",jjTTlE, 2j_l + 1l + 1tau + MET, 1tau + MET, 2j_l + 1l + 2tau + MET
L L E_3,W^+,W^+,TE,jjTlE,"['W^+ -- (E) -- l -- [E,T]']","['W^+ -- (j) -- q -- (j) -- B -- (T) -- tau -- [l,E]']",jjTTlE, 1tau + MET, 2j_l + 1l + 1tau + MET, 2j_l + 1l + 2tau + MET
L L E_3,W^+,W^0,TE,jjTlE,"['W^+ -- (E) -- l -- [E,T]']","['W^0 -- (j) -- q -- (j) -- B -- (T) -- tau -- [l,E]']",jjTTlE, 1tau + MET, 2j_l + 1l + 1tau + MET, 2j_l + 1l + 2tau + MET
L L E_3,q,q,jTE,jTlE,"['q -- (j) -- W^+ -- (E) -- l -- [E,T]']","['q -- (j) -- B -- (l) -- l -- [E,T]', 'q -- (j) -- B -- (E) -- nu -- [l,T]', 'q -- (j) -- B -- (T) -- tau -- [l,E]']",jjTTlE, 1j_l + 1tau + MET, 1j_l + 1l + 1tau + MET, 2j_l + 1l + 2tau + MET
L L E_3,q,q,jTlE,jTE,"['q -- (j) -- B -- (l) -- l -- [E,T]', 'q -- (j) -- B -- (E) -- nu -- [l,T]', 'q -- (j) -- B -- (T) -- tau -- [l,E]']","['q -- (j) -- W^+ -- (E) -- l -- [E,T]']",jjTTlE, 1j_l + 1l + 1tau + MET, 1j_l + 1tau + MET, 2j_l + 1l + 2tau + MET
L_3 L E_3,W^+,W^+,jjTlE,TE,"['W^+ -- (j) -- q -- (j) -- B -- (T) -- tau -- [l,E]']","['W^+ -- (E) -- l -- [E,T]', 'W^+ -- (E) -- tau_L -- [E,T]']",jjTTlE, 2j_l + 1l + 1tau + MET, 1tau + MET, 2j_l + 1l + 2tau + MET
L_3 L E_3,W^+,W^+,TE,jjTlE,"['W^+ -- (E) -- l -- [E,T]', 'W^+ -- (E) -- tau_L -- [E,T]']","['W^+ -- (j) -- q -- (j) -- B -- (T) -- tau -- [l,E]']",jjTTlE, 1tau + MET, 2j_l + 1l + 1tau + MET, 2j_l + 1l + 2tau + MET
L_3 L E_3,W^+,W^0,TE,jjTlE,"['W^+ -- (E) -- l -- [E,T]', 'W^+ -- (E) -- tau_L -- [E,T]']","['W^0 -- (j) -- q -- (j) -- B -- (T) -- tau -- [l,E]']",jjTTlE, 1tau + MET, 2j_l + 1l + 1tau + MET, 2j_l + 1l + 2tau + MET
L_3 L E_3,q,q,jTE,jTlE,"['q -- (j) -- W^+ -- (E) -- l -- [E,T]', 'q -- (j) -- W^+ -- (E) -- tau_L -- [E,T]']","['q -- (j) -- B -- (l) -- l -- [E,T]', 'q -- (j) -- B -- (E) -- nu_tau -- [l,T]', 'q -- (j) -- B -- (T) -- tau -- [l,E]']",jjTTlE, 1j_l + 1tau + MET, 1j_l + 1l + 1tau + MET, 2j_l + 1l + 2tau + MET
L_3 L E_3,q,q,jTlE,jTE,"['q -- (j) -- B -- (l) -- l -- [E,T]', 'q -- (j) -- B -- (E) -- nu_tau -- [l,T]', 'q -- (j) -- B -- (T) -- tau -- [l,E]']","['q -- (j) -- W^+ -- (E) -- l -- [E,T]', 'q -- (j) -- W^+ -- (E) -- tau_L -- [E,T]']",jjTTlE, 1j_l + 1l + 1tau + MET, 1j_l + 1tau + MET, 2j_l + 1l + 2tau + MET
L_3 L E,W^+,W^+,jjTlE,lE,"['W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [T,E]']","['W^+ -- (E) -- l -- [E,l]', 'W^+ -- (E) -- tau_L -- [E,l]']",jjTllE, 2j_l + 1l + 1tau + MET, 1l + MET, 2j_l + 2l + 1tau + MET
L_3 L E,W^+,W^+,lE,jjTlE,"['W^+ -- (E) -- l -- [E,l]', 'W^+ -- (E) -- tau_L -- [E,l]']","['W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [T,E]']",jjTllE, 1l + MET, 2j_l + 1l + 1tau + MET, 2j_l + 2l + 1tau + MET
L_3 L E,W^+,W^0,lE,jjTlE,"['W^+ -- (E) -- l -- [E,l]', 'W^+ -- (E) -- tau_L -- [E,l]']","['W^0 -- (j) -- q -- (j) -- B -- (l) -- e -- [T,E]']",jjTllE, 1l + MET, 2j_l + 1l + 1tau + MET, 2j_l + 2l + 1tau + MET
L_3 L E,q,q,jTlE,jlE,"['q -- (j) -- B -- (T) -- tau_L -- [E,l]', 'q -- (j) -- B -- (E) -- nu -- [T,l]', 'q -- (j) -- B -- (l) -- e -- [T,E]']","['q -- (j) -- W^+ -- (E) -- l -- [E,l]', 'q -- (j) -- W^+ -- (E) -- tau_L -- [E,l]']",jjTllE, 1j_l + 1l + 1tau + MET, 1j_l + 1l + MET, 2j_l + 2l + 1tau + MET
L_3 L E,q,q,jlE,jTlE,"['q -- (j) -- W^+ -- (E) -- l -- [E,l]', 'q -- (j) -- W^+ -- (E) -- tau_L -- [E,l]']","['q -- (j) -- B -- (T) -- tau_L -- [E,l]', 'q -- (j) -- B -- (E) -- nu -- [T,l]', 'q -- (j) -- B -- (l) -- e -- [T,E]']",jjTllE, 1j_l + 1l + MET, 1j_l + 1l + 1tau + MET, 2j_l + 2l + 1tau + MET
L L E_3,W^+,W^+,jjTlE,TE,"['W^+ -- (j) -- q -- (j) -- B -- (T) -- tau -- [l,E]']","['W^+ -- (E) -- l -- [E,T]']",jjTTlE, 2j_l + 1l + 1tau + MET, 1tau + MET, 2j_l + 1l + 2tau + MET
L L E_3,W^+,W^+,TE,jjTlE,"['W^+ -- (E) -- l -- [E,T]']","['W^+ -- (j) -- q -- (j) -- B -- (T) -- tau -- [l,E]']",jjTTlE, 1tau + MET, 2j_l + 1l + 1tau + MET, 2j_l + 1l + 2tau + MET
L L E_3,W^+,W^0,TE,jjTlE,"['W^+ -- (E) -- l -- [E,T]']","['W^0 -- (j) -- q -- (j) -- B -- (T) -- tau -- [l,E]']",jjTTlE, 1tau + MET, 2j_l + 1l + 1tau + MET, 2j_l + 1l + 2tau + MET
L L E_3,q,q,jTE,jTlE,"['q -- (j) -- W^+ -- (E) -- l -- [E,T]']","['q -- (j) -- B -- (l) -- l -- [E,T]', 'q -- (j) -- B -- (E) -- nu -- [l,T]', 'q -- (j) -- B -- (T) -- tau -- [l,E]']",jjTTlE, 1j_l + 1tau + MET, 1j_l + 1l + 1tau + MET, 2j_l + 1l + 2tau + MET
L L E_3,q,q,jTlE,jTE,"['q -- (j) -- B -- (l) -- l -- [E,T]', 'q -- (j) -- B -- (E) -- nu -- [l,T]', 'q -- (j) -- B -- (T) -- tau -- [l,E]']","['q -- (j) -- W^+ -- (E) -- l -- [E,T]']",jjTTlE, 1j_l + 1l + 1tau + MET, 1j_l + 1tau + MET, 2j_l + 1l + 2tau + MET
L_3 L E_3,W^+,W^+,jjTlE,TE,"['W^+ -- (j) -- q -- (j) -- B -- (T) -- tau -- [l,E]']","['W^+ -- (E) -- l -- [E,T]', 'W^+ -- (E) -- tau_L -- [E,T]']",jjTTlE, 2j_l + 1l + 1tau + MET, 1tau + MET, 2j_l + 1l + 2tau + MET
L_3 L E_3,W^+,W^+,TE,jjTlE,"['W^+ -- (E) -- l -- [E,T]', 'W^+ -- (E) -- tau_L -- [E,T]']","['W^+ -- (j) -- q -- (j) -- B -- (T) -- tau -- [l,E]']",jjTTlE, 1tau + MET, 2j_l + 1l + 1tau + MET, 2j_l + 1l + 2tau + MET
L_3 L E_3,W^+,W^0,TE,jjTlE,"['W^+ -- (E) -- l -- [E,T]', 'W^+ -- (E) -- tau_L -- [E,T]']","['W^0 -- (j) -- q -- (j) -- B -- (T) -- tau -- [l,E]']",jjTTlE, 1tau + MET, 2j_l + 1l + 1tau + MET, 2j_l + 1l + 2tau + MET
L_3 L E_3,q,q,jTE,jTlE,"['q -- (j) -- W^+ -- (E) -- l -- [E,T]', 'q -- (j) -- W^+ -- (E) -- tau_L -- [E,T]']","['q -- (j) -- B -- (l) -- l -- [E,T]', 'q -- (j) -- B -- (E) -- nu_tau -- [l,T]', 'q -- (j) -- B -- (T) -- tau -- [l,E]']",jjTTlE, 1j_l + 1tau + MET, 1j_l + 1l + 1tau + MET, 2j_l + 1l + 2tau + MET
