CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L L E,G,G,jjlE,jjlE,"['G -- (j) -- q -- (j) -- W^+ -- (E) -- l -- [E,l]']","['G -- (j) -- q -- (j) -- W^+ -- (E) -- l -- [E,l]']",jjjjllE, 2j_l + 1l + MET, 2j_l + 1l + MET, 4j_l + 2l + MET
L_3 L E,G,G,jjlE,jjlE,"['G -- (j) -- q -- (j) -- W^+ -- (E) -- l -- [E,l]', 'G -- (j) -- q -- (j) -- W^+ -- (E) -- tau_L -- [E,l]']","['G -- (j) -- q -- (j) -- W^+ -- (E) -- l -- [E,l]', 'G -- (j) -- q -- (j) -- W^+ -- (E) -- tau_L -- [E,l]']",jjjjllE, 2j_l + 1l + MET, 2j_l + 1l + MET, 4j_l + 2l + MET
L Q D,W^+,W^+,jjE,jjllE,"['W^+ -- (E) -- l -- [j,j]', 'W^+ -- (j) -- q -- [E,j]']","['W^+ -- (E) -- l -- (l) -- B -- (j) -- d -- [l,j]']",jjjjllE, 2j_l + MET, 2j_l + 2l + MET, 4j_l + 2l + MET
L Q D,W^+,W^+,jjl,jjlE,"['W^+ -- (j) -- q -- [l,j]', 'W^+ -- (l) -- nu -- [j,j]']","['W^+ -- (E) -- l -- (l) -- B -- (j) -- d -- [E,j]']",jjjjllE, 2j_l + 1l, 2j_l + 1l + MET, 4j_l + 2l + MET
L Q D,W^+,W^+,jjlE,jjl,"['W^+ -- (E) -- l -- (l) -- B -- (j) -- d -- [E,j]']","['W^+ -- (j) -- q -- [l,j]', 'W^+ -- (l) -- nu -- [j,j]']",jjjjllE, 2j_l + 1l + MET, 2j_l + 1l, 4j_l + 2l + MET
L Q D,W^+,W^+,jjlE,jjlE,"['W^+ -- (E) -- l -- (l) -- B -- (j) -- d -- [E,j]']","['W^+ -- (E) -- l -- (l) -- B -- (j) -- d -- [E,j]']",jjjjllE, 2j_l + 1l + MET, 2j_l + 1l + MET, 4j_l + 2l + MET
L Q D,W^+,W^+,jjllE,jjE,"['W^+ -- (E) -- l -- (l) -- B -- (j) -- d -- [l,j]']","['W^+ -- (E) -- l -- [j,j]', 'W^+ -- (j) -- q -- [E,j]']",jjjjllE, 2j_l + 2l + MET, 2j_l + MET, 4j_l + 2l + MET
L Q D,W^+,W^0,jjE,jjllE,"['W^+ -- (E) -- l -- [j,j]', 'W^+ -- (j) -- q -- [E,j]']","['W^0 -- (l) -- l -- (l) -- B -- (j) -- d -- [E,j]']",jjjjllE, 2j_l + MET, 2j_l + 2l + MET, 4j_l + 2l + MET
L Q D,W^+,W^0,jjl,jjlE,"['W^+ -- (j) -- q -- [l,j]', 'W^+ -- (l) -- nu -- [j,j]']","['W^0 -- (E) -- nu -- (E) -- B -- (j) -- d -- [l,j]']",jjjjllE, 2j_l + 1l, 2j_l + 1l + MET, 4j_l + 2l + MET
L Q D,W^+,W^0,jjlE,jjl,"['W^+ -- (E) -- l -- (l) -- B -- (j) -- d -- [E,j]']","['W^0 -- (l) -- l -- [j,j]', 'W^0 -- (j) -- q -- [l,j]']",jjjjllE, 2j_l + 1l + MET, 2j_l + 1l, 4j_l + 2l + MET
L Q D,W^+,W^0,jjlE,jjlE,"['W^+ -- (E) -- l -- (l) -- B -- (j) -- d -- [E,j]']","['W^0 -- (E) -- nu -- (E) -- B -- (j) -- d -- [l,j]']",jjjjllE, 2j_l + 1l + MET, 2j_l + 1l + MET, 4j_l + 2l + MET
L Q D,W^+,W^0,jjllE,jjE,"['W^+ -- (E) -- l -- (l) -- B -- (j) -- d -- [l,j]']","['W^0 -- (E) -- nu -- [j,j]', 'W^0 -- (j) -- q -- [E,j]', 'W^0 -- (E) -- nu -- (E) -- B -- (j) -- d -- [E,j]']",jjjjllE, 2j_l + 2l + MET, 2j_l + MET, 4j_l + 2l + MET
L Q D,W^0,W^0,jjllE,jjE,"['W^0 -- (l) -- l -- (l) -- B -- (j) -- d -- [E,j]']","['W^0 -- (E) -- nu -- [j,j]', 'W^0 -- (j) -- q -- [E,j]', 'W^0 -- (E) -- nu -- (E) -- B -- (j) -- d -- [E,j]']",jjjjllE, 2j_l + 2l + MET, 2j_l + MET, 4j_l + 2l + MET
L Q D,W^0,W^0,jjl,jjlE,"['W^0 -- (l) -- l -- [j,j]', 'W^0 -- (j) -- q -- [l,j]']","['W^0 -- (E) -- nu -- (E) -- B -- (j) -- d -- [l,j]']",jjjjllE, 2j_l + 1l, 2j_l + 1l + MET, 4j_l + 2l + MET
L Q D,W^0,W^0,jjE,jjllE,"['W^0 -- (E) -- nu -- [j,j]', 'W^0 -- (j) -- q -- [E,j]', 'W^0 -- (E) -- nu -- (E) -- B -- (j) -- d -- [E,j]']","['W^0 -- (l) -- l -- (l) -- B -- (j) -- d -- [E,j]']",jjjjllE, 2j_l + MET, 2j_l + 2l + MET, 4j_l + 2l + MET
L Q D,W^0,W^0,jjlE,jjl,"['W^0 -- (E) -- nu -- (E) -- B -- (j) -- d -- [l,j]']","['W^0 -- (l) -- l -- [j,j]', 'W^0 -- (j) -- q -- [l,j]']",jjjjllE, 2j_l + 1l + MET, 2j_l + 1l, 4j_l + 2l + MET
L Q D,W^0,W^0,jjlE,jjlE,"['W^0 -- (E) -- nu -- (E) -- B -- (j) -- d -- [l,j]']","['W^0 -- (E) -- nu -- (E) -- B -- (j) -- d -- [l,j]']",jjjjllE, 2j_l + 1l + MET, 2j_l + 1l + MET, 4j_l + 2l + MET
L Q D,l,l,jjll,jjE,"['l -- (l) -- B -- (j) -- q -- [l,j]', 'l -- (l) -- B -- (j) -- d -- [l,j]']","['l -- (E) -- W^+ -- (j) -- q -- [E,j]']",jjjjllE, 2j_l + 2l, 2j_l + MET, 4j_l + 2l + MET
L Q D,l,l,jjlE,jjlE,"['l -- (E) -- W^+ -- (j) -- q -- [l,j]', 'l -- (l) -- B -- (j) -- q -- [E,j]', 'l -- (l) -- B -- (j) -- d -- [E,j]']","['l -- (E) -- W^+ -- (j) -- q -- [l,j]', 'l -- (l) -- B -- (j) -- q -- [E,j]', 'l -- (l) -- B -- (j) -- d -- [E,j]']",jjjjllE, 2j_l + 1l + MET, 2j_l + 1l + MET, 4j_l + 2l + MET
L Q D,l,l,jjE,jjll,"['l -- (E) -- W^+ -- (j) -- q -- [E,j]']","['l -- (l) -- B -- (j) -- q -- [l,j]', 'l -- (l) -- B -- (j) -- d -- [l,j]']",jjjjllE, 2j_l + MET, 2j_l + 2l, 4j_l + 2l + MET
L Q D,l,nu,jjll,jjE,"['l -- (l) -- B -- (j) -- q -- [l,j]', 'l -- (l) -- B -- (j) -- d -- [l,j]']","['nu -- (E) -- B -- (j) -- q -- [E,j]', 'nu -- (E) -- B -- (j) -- d -- [E,j]']",jjjjllE, 2j_l + 2l, 2j_l + MET, 4j_l + 2l + MET
