CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L L E,B,B,llE,llE,"['B -- (l) -- l -- [E,l]', 'B -- (E) -- nu -- (l) -- W^+ -- (E) -- l -- [E,l]', 'B -- (E) -- nu -- [l,l]', 'B -- (l) -- e -- [l,E]']","['B -- (l) -- l -- [E,l]', 'B -- (E) -- nu -- (l) -- W^+ -- (E) -- l -- [E,l]', 'B -- (E) -- nu -- [l,l]', 'B -- (l) -- e -- [l,E]']",llllE, 2l + MET, 2l + MET, 4l + MET
L L E,W^+,W^+,lllE,lE,"['W^+ -- (l) -- nu -- (E) -- B -- (l) -- l -- [E,l]', 'W^+ -- (E) -- l -- (l) -- B -- (E) -- nu -- [l,l]', 'W^+ -- (E) -- l -- (l) -- B -- (l) -- e -- [l,E]']","['W^+ -- (E) -- l -- [E,l]']",llllE, 3l + MET, 1l + MET, 4l + MET
L L E,W^+,W^+,lE,lllE,"['W^+ -- (E) -- l -- [E,l]']","['W^+ -- (l) -- nu -- (E) -- B -- (l) -- l -- [E,l]', 'W^+ -- (E) -- l -- (l) -- B -- (E) -- nu -- [l,l]', 'W^+ -- (E) -- l -- (l) -- B -- (l) -- e -- [l,E]']",llllE, 1l + MET, 3l + MET, 4l + MET
L L E,W^+,W^+,lE,lll,"['W^+ -- (E) -- l -- [E,l]']","['W^+ -- (l) -- nu -- [l,l]']",llllE, 1l + MET, 3l, 4l + MET
L L E,W^+,W^+,lll,lE,"['W^+ -- (l) -- nu -- [l,l]']","['W^+ -- (E) -- l -- [E,l]']",llllE, 3l, 1l + MET, 4l + MET
L L E,W^0,W^0,llE,llE,"['W^0 -- (l) -- l -- [E,l]', 'W^0 -- (E) -- nu -- (E) -- B -- (l) -- l -- [E,l]', 'W^0 -- (E) -- nu -- [l,l]', 'W^0 -- (E) -- nu -- (E) -- B -- (l) -- e -- [l,E]']","['W^0 -- (l) -- l -- [E,l]', 'W^0 -- (E) -- nu -- (E) -- B -- (l) -- l -- [E,l]', 'W^0 -- (E) -- nu -- [l,l]', 'W^0 -- (E) -- nu -- (E) -- B -- (l) -- e -- [l,E]']",llllE, 2l + MET, 2l + MET, 4l + MET
L L E,l,l,lE,lllE,"['l -- [E,l]']","['l -- (l) -- B -- (l) -- e -- [l,E]']",llllE, 1l + MET, 3l + MET, 4l + MET
L L E,l,l,lllE,lE,"['l -- (l) -- B -- (l) -- e -- [l,E]']","['l -- [E,l]']",llllE, 3l + MET, 1l + MET, 4l + MET
L L E,nu,nu,llE,llE,"['nu -- (E) -- B -- (l) -- e -- [l,E]']","['nu -- (E) -- B -- (l) -- e -- [l,E]']",llllE, 2l + MET, 2l + MET, 4l + MET
L L E,nu,nu,llE,ll,"['nu -- (E) -- B -- (l) -- e -- [l,E]']","['nu -- [l,l]']",llllE, 2l + MET, 2l, 4l + MET
L L E,nu,nu,ll,llE,"['nu -- [l,l]']","['nu -- (E) -- B -- (l) -- e -- [l,E]']",llllE, 2l, 2l + MET, 4l + MET
L L E,e,e,lE,lllE,"['e -- [l,E]']","['e -- (l) -- B -- (l) -- l -- [E,l]', 'e -- (l) -- B -- (E) -- nu -- [l,l]']",llllE, 1l + MET, 3l + MET, 4l + MET
L L E,e,e,lllE,lE,"['e -- (l) -- B -- (l) -- l -- [E,l]', 'e -- (l) -- B -- (E) -- nu -- [l,l]']","['e -- [l,E]']",llllE, 3l + MET, 1l + MET, 4l + MET
L L E,tau_L,tau_L,lE,lllE,"['tau_L -- (E) -- W^+ -- (E) -- l -- [E,l]']","['tau_L -- (E) -- W^+ -- (l) -- nu -- [l,l]']",llllE, 1l + MET, 3l + MET, 4l + MET
L L E,tau_L,tau_L,lllE,lE,"['tau_L -- (E) -- W^+ -- (l) -- nu -- [l,l]']","['tau_L -- (E) -- W^+ -- (E) -- l -- [E,l]']",llllE, 3l + MET, 1l + MET, 4l + MET
L L E,nu_tau,nu_tau,llE,llE,"['nu_tau -- (E) -- B -- (l) -- l -- [E,l]', 'nu_tau -- (E) -- B -- (E) -- nu -- [l,l]', 'nu_tau -- (E) -- B -- (l) -- e -- [l,E]']","['nu_tau -- (E) -- B -- (l) -- l -- [E,l]', 'nu_tau -- (E) -- B -- (E) -- nu -- [l,l]', 'nu_tau -- (E) -- B -- (l) -- e -- [l,E]']",llllE, 2l + MET, 2l + MET, 4l + MET
