Category,LSP,decays via,Signatures,Chain,NV_cascade,Signatures (ER)
L L E,B,l,llX,"['B -- (l) -- l -- [X,l]']",1, 2l + MET
L L E,B,nu,llX,"['B -- (X) -- nu -- [l,l]']",1, 2l + MET
L L E,B,e,llX,"['B -- (l) -- e -- [l,X]']",1, 2l + MET
L_3 L E,B,l,llX,"['B -- (l) -- l -- [X,l]']",1, 2l + MET
L_3 L E,B,nu_tau,llX,"['B -- (X) -- nu_tau -- [l,l]']",1, 2l + MET
L_3 L E,B,e,llX,"['B -- (l) -- e -- [l,X]']",1, 2l + MET
L_3 L E,B,tau_L,TlX,"['B -- (T) -- tau_L -- [X,l]']",1, 1l + 1tau + MET
L_3 L E,B,nu,TlX,"['B -- (X) -- nu -- [T,l]']",1, 1l + 1tau + MET
L_3 L E,B,e,TlX,"['B -- (l) -- e -- [T,X]']",1, 1l + 1tau + MET
L L E_3,B,l,TlX,"['B -- (l) -- l -- [X,T]']",1, 1l + 1tau + MET
L L E_3,B,nu,TlX,"['B -- (X) -- nu -- [l,T]']",1, 1l + 1tau + MET
L L E_3,B,tau,TlX,"['B -- (T) -- tau -- [l,X]']",1, 1l + 1tau + MET
L_3 L E_3,B,l,TlX,"['B -- (l) -- l -- [X,T]']",1, 1l + 1tau + MET
L_3 L E_3,B,nu_tau,TlX,"['B -- (X) -- nu_tau -- [l,T]']",1, 1l + 1tau + MET
L_3 L E_3,B,tau,TlX,"['B -- (T) -- tau -- [l,X]']",1, 1l + 1tau + MET
L_3 L E_3,B,tau_L,TTX,"['B -- (T) -- tau_L -- [X,T]']",1, 2tau + MET
L_3 L E_3,B,nu,TTX,"['B -- (X) -- nu -- [T,T]']",1, 2tau + MET
L_3 L E_3,B,tau,TTX,"['B -- (T) -- tau -- [T,X]']",1, 2tau + MET
L L E,W^+,l,lX,"['W^+ -- (X) -- l -- [X,l]']",1, 1l + MET
L L E,W^+,nu,lll,"['W^+ -- (l) -- nu -- [l,l]']",1, 3l
L L E,W^+,e,lllX,"['W^+ -- (l) -- nu -- (X) -- B -- (l) -- e -- [l,X]', 'W^+ -- (X) -- l -- (l) -- B -- (l) -- e -- [l,X]']",3, 3l + MET
L L E,W^+,e,TllX,"['W^+ -- (T) -- nu_tau -- (X) -- B -- (l) -- e -- [l,X]', 'W^+ -- (X) -- tau_L -- (T) -- B -- (l) -- e -- [l,X]']",3, 2l + 1tau + MET
L L E,W^+,e,vvllX,"['W^+ -- (v) -- H^0 -- (v) -- B -- (l) -- e -- [l,X]', 'W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,X]']",3, 2l + 2v + MET
L L E,W^+,e,tbllX,"['W^+ -- (b) -- t_L -- (t) -- B -- (l) -- e -- [l,X]', 'W^+ -- (t) -- b_L -- (b) -- B -- (l) -- e -- [l,X]']",3, 1t + 1b + 2l + MET
L L E,W^+,e,jjllX,"['W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [l,X]']",3, 2j_l + 2l + MET
L_3 L E,W^+,l,lX,"['W^+ -- (X) -- l -- [X,l]']",1, 1l + MET
L_3 L E,W^+,nu_tau,Tll,"['W^+ -- (T) -- nu_tau -- [l,l]']",1, 2l + 1tau
L_3 L E,W^+,e,lllX,"['W^+ -- (l) -- nu -- (X) -- B -- (l) -- e -- [l,X]', 'W^+ -- (X) -- l -- (l) -- B -- (l) -- e -- [l,X]']",3, 3l + MET
