LSP,L L E,L_3 L E,L L E_3,L_3 L E_3
B,{'llX'},"{'llX', 'TlX'}",{'TlX'},"{'TTX', 'TlX'}"
W^+,"{'lll', 'vvllX', 'jjllX', 'lllX', 'lX', 'TllX', 'tbllX'}","{'Tll', 'vvllX', 'jjTlX', 'vvTlX', 'jjllX', 'lllX', 'lX', 'TllX', 'tbllX', 'tbTlX', 'TTlX'}","{'Tll', 'vvTlX', 'jjTlX', 'TX', 'TllX', 'tbTlX', 'TTlX'}","{'vvTlX', 'jjTlX', 'tbTTX', 'jjTTX', 'TX', 'TTl', 'TllX', 'vvTTX', 'tbTlX', 'TTlX', 'TTTX'}"
W^0,"{'ttllX', 'vvllX', 'llllX', 'llX', 'jjllX', 'TTllX', 'bbllX'}","{'ttTlX', 'ttllX', 'vvllX', 'vvTlX', 'llllX', 'llX', 'jjllX', 'jjTlX', 'bbTlX', 'TlllX', 'TlX', 'TTllX', 'bbllX', 'TTTlX'}","{'ttTlX', 'vvTlX', 'bbTlX', 'jjTlX', 'TlllX', 'TlX', 'TTTlX'}","{'ttTlX', 'TTX', 'vvTlX', 'bbTlX', 'jjTlX', 'ttTTX', 'TTTTX', 'TlllX', 'jjTTX', 'TlX', 'vvTTX', 'TTllX', 'bbTTX', 'TTTlX'}"
G,"{'jjlll', 'tblll', 'jjlX', 'ttllX', 'tblX', 'jjllX', 'bbllX'}","{'tbTll', 'ttTlX', 'jjlX', 'ttllX', 'tblX', 'bbTlX', 'jjTlX', 'jjllX', 'jjTll', 'bbllX'}","{'tbTll', 'ttTlX', 'jjTX', 'bbTlX', 'jjTlX', 'jjTll', 'tbTX'}","{'ttTlX', 'jjTTl', 'bbTTX', 'jjTX', 'bbTlX', 'jjTlX', 'ttTTX', 'jjTTX', 'tbTX', 'tbTTl'}"
H^+,"{'vlX', 'vllX', 'vlll'}","{'vTlX', 'vlX', 'vllX', 'vTll'}","{'vTlX', 'vTll', 'vTX'}","{'vTlX', 'vTTX', 'vTTl', 'vTX'}"
H^0,"{'vlX', 'vllX', 'vlll'}","{'vTlX', 'vlX', 'vllX', 'vTll'}","{'vTlX', 'vTll', 'vTX'}","{'vTlX', 'vTTX', 'vTTl', 'vTX'}"
q,"{'jlX', 'jllX', 'jlll'}","{'jTlX', 'jlX', 'jllX', 'jTll'}","{'jTX', 'jTlX', 'jTll'}","{'jTX', 'jTlX', 'jTTX', 'jTTl'}"
d,{'jllX'},"{'jTlX', 'jllX'}",{'jTlX'},"{'jTlX', 'jTTX'}"
u,{'jllX'},"{'jTlX', 'jllX'}",{'jTlX'},"{'jTlX', 'jTTX'}"
l,"{'lllX', 'lX'}","{'lllX', 'lX', 'TllX'}","{'TX', 'TllX'}","{'TTlX', 'TX', 'TllX'}"
nu,"{'llX', 'll'}","{'Tlll', 'llX', 'Tl', 'TlX'}","{'TlX', 'Tl'}","{'TT', 'TTll', 'TTX', 'TlX'}"
e,"{'lllX', 'lX'}","{'lllX', 'lX', 'TllX', 'TX'}",{'TllX'},"{'TTlX', 'TllX'}"
b_L,"{'bllX', 'tlll', 'tlX'}","{'tTll', 'bllX', 'tlX', 'bTlX'}","{'tTll', 'tTX', 'bTlX'}","{'tTX', 'tTTl', 'bTlX', 'bTTX'}"
t_L,"{'blX', 'tllX', 'blll'}","{'tTlX', 'blX', 'bTll', 'tllX'}","{'tTlX', 'bTll', 'bTX'}","{'tTlX', 'bTX', 'tTTX', 'bTTl'}"
t,{'tllX'},"{'tTlX', 'tllX'}",{'tTlX'},"{'tTlX', 'tTTX'}"
b,{'bllX'},"{'bllX', 'bTlX'}",{'bTlX'},"{'bTlX', 'bTTX'}"
tau_L,"{'lllX', 'lX', 'TllX'}","{'lX', 'TTlX', 'TllX'}","{'TTlX', 'TX', 'TllX'}","{'TTlX', 'TX', 'TTTX'}"
nu_tau,"{'Tlll', 'llX', 'TlX'}","{'ll', 'TTll', 'llX', 'TlX'}","{'TTll', 'TTX', 'TlX'}","{'TTTl', 'TTX', 'TlX', 'Tl'}"
tau,{'TllX'},"{'TTlX', 'TllX'}","{'lX', 'TTlX'}","{'lX', 'TTlX', 'TTTX', 'TX'}"
