CAT,LSP,AA,AB,BB,ALL,AA (Common),AB (Common),BB (Common),ALL (Common),AA (Same Flavour),AB (Same Flavour),BB (Same Flavour),ALL (Same Flavour)
L L E,['B'],{'llllX'},-,-,{'llllX'},Xllll,-,-,Xllll,['llllX'],-,-,['llllX']
L L E,"['W^+', 'W^0']","{'ttbbllllX', 'vvjjllllX', 'vvLllllX', 'tblllX', 'LLllllX', 'tbjjllllX', 'jjjjllllX', 'vvtbllllX', 'LlllX', 'vvlllX', 'vvvvllllX', 'llX', 'tbLllllX', 'jjlllX', 'jjLllllX', 'llllll'}","{'jjTTllllX', 'vvLllllX', 'jjllllX', '33jjllllX', 'jjlllX', 'tbllllllX', 'bblllX', 'vvjjllllX', 'tbbbllllX', 'jjllllllX', 'ttLllllX', 'jjLllllX', 'bbLllllX', 'tbllllX', 'lllX', 'tttbllllX', 'vv33llllX', 'jjjjllllX', 'vvllllX', 'vvlllX', 'vvvvllllX', 'vvllllllX', 'vvTTllllX', 'LLLllllX', 'ttlllX', 'LLlllX', 'tbTTllllX'}","{'jjTTllllX', 'TTllllX', 'llllllX', 'TTllllllX', 'llllX', 'jjllllX', 'ttjjllllX', 'vvjjllllX', 'bbllllX', 'jjllllllX', 'bbbbllllX', 'bbTTllllX', 'bbjjllllX', 'bbllllllX', 'TTTTllllX', 'jjjjllllX', 'vvllllX', 'llllllllX', 'ttttllllX', 'vvvvllllX', 'ttllllX', 'vvbbllllX', 'vvllllllX', 'ttllllllX', 'ttTTllllX', 'ttbbllllX', 'vvttllllX', 'vvTTllllX'}","{'jjTTllllX', 'vvLllllX', 'TTllllllX', 'LLllllX', 'jjllllX', '33jjllllX', '33llllX', 'jjlllX', '33llllllX', 'vvjjllllX', '3333llllX', 'jjllllllX', 'LlllX', 'jjLllllX', 'llllll', 'lllX', 'TTTTllllX', 'vv33llllX', 'vvllllX', 'jjjjllllX', 'vvlllX', '33TTllllX', 'vvvvllllX', 'llX', 'llllllllX', 'vvllllllX', 'vvTTllllX', 'LLLllllX', 'LLlllX', '33LllllX', '33lllX'}",ll,Xlll,Xllll,ll,"['tblllX', 'jjlllX', 'LLllllX', 'ttbbllllX', 'tbjjllllX', 'jjjjllllX', 'LlllX', 'tbLllllX', 'jjLllllX', 'vvlllX', 'llX', 'vvvvllllX', 'jjvvllllX', 'tbvvllllX', 'vvLllllX', 'llllll']","['LLLllllX', 'jjTTllllX', 'tbllllllX', 'jjllllllX', 'tbTTllllX', '(JJ)lllX', '33jjllllX', 'tbbbllllX', 'tttbllllX', 'jjjjllllX', 'jjllllX', 'tbllllX', '(JJ)LllllX', 'lllX', 'vvlllX', 'vvllllX', 'vvvvllllX', '(JJ)vvllllX', 'vvLllllX', 'LLlllX', '(LL)vvllllX']","['jjTTllllX', 'jjllllllX', 'bbTTllllX', 'bbllllllX', 'ttllllllX', 'ttTTllllX', 'TTllllllX', 'TTTTllllX', 'llllllllX', '(LL)llllX', 'ttjjllllX', 'bbbbllllX', 'bbjjllllX', 'jjjjllllX', 'ttttllllX', 'ttbbllllX', '(JJ)llllX', 'llllX', 'vvllllX', 'vvvvllllX', '(JJ)vvllllX', '(LL)vvllllX']","['jjTTllllX', '33llllllX', 'jjllllllX', '33TTllllX', 'LLllllX', '(JJ)llllX', 'lllX', 'vvlllX', 'vvllllX', 'vvvvllllX', 'vvLllllX', 'llllll', 'LLLllllX', 'llX', '(LL)vvllllX', 'TTllllllX', 'TTTTllllX', 'llllllllX', '(JJ)lllX', 'LlllX', '(JJ)vvllllX', 'LLlllX', '33jjllllX', '3333llllX', 'jjjjllllX', '(JJ)LllllX']"
L L E,['G'],"{'33jjllllX', 'tttblllX', 'tbjjllX', 'jjjjlllX', 'bbbbllllX', 'tbbblllllX', 'ttbbllX', 'jjjjllX', 'ttbbllllll', 'tbjjllllll', 'jjjjlllllX', '33jjlllX', 'jjjjllllX', 'tbbblllX', 'ttttllllX', '33jjlllllX', 'ttbbllllX', 'jjjjllllll', 'tttblllllX'}",-,-,"{'33jjllllX', 'tttblllX', 'tbjjllX', 'jjjjlllX', 'bbbbllllX', 'tbbblllllX', 'ttbbllX', 'jjjjllX', 'ttbbllllll', 'tbjjllllll', 'jjjjlllllX', '33jjlllX', 'jjjjllllX', 'tbbblllX', 'ttttllllX', '33jjlllllX', 'ttbbllllX', 'jjjjllllll', 'tttblllllX'}",ll,-,-,ll,"['ttbbllllll', 'tbjjllllll', 'jjjjllllll', '33jjllllX', 'bbbbllllX', 'jjjjllllX', 'ttttllllX', 'ttbbllllX', 'tttblllX', 'jjjjlllX', '33jjlllX', 'tbbblllX', 'tbjjllX', 'ttbbllX', 'jjjjllX', 'tbbblllllX', 'jjjjlllllX', '33jjlllllX', 'tttblllllX']",-,-,"['ttbbllllll', 'tbjjllllll', 'jjjjllllll', '33jjllllX', 'bbbbllllX', 'jjjjllllX', 'ttttllllX', 'ttbbllllX', 'tttblllX', 'jjjjlllX', '33jjlllX', 'tbbblllX', 'tbjjllX', 'ttbbllX', 'jjjjllX', 'tbbblllllX', 'jjjjlllllX', '33jjlllllX', 'tttblllllX']"
L L E,"['H^+', 'H^0']","{'vvlllllX', 'vvllllX', 'vvllllll', 'vvlllX', 'vvllX'}","{'vvlllllX', 'vvllllX', 'vvllllll', 'vvlllX', 'vvllX'}","{'vvlllllX', 'vvllllX', 'vvllllll', 'vvlllX', 'vvllX'}","{'vvlllllX', 'vvllllX', 'vvllllll', 'vvlllX', 'vvllX'}",vvll,vvll,vvll,vvll,"['vvllllll', 'vvllX', 'vvlllX', 'vvllllX', 'vvlllllX']","['vvllllll', 'vvllX', 'vvlllX', 'vvllllX', 'vvlllllX']","['vvllllll', 'vvllX', 'vvlllX', 'vvllllX', 'vvlllllX']","['vvllllll', 'vvllX', 'vvlllX', 'vvllllX', 'vvlllllX']"
L L E,['q'],"{'jjllllX', 'jjlllllX', 'jjllllll', 'jjlllX', 'jjllX'}",-,-,"{'jjllllX', 'jjlllllX', 'jjllllll', 'jjlllX', 'jjllX'}",jjll,-,-,jjll,"['jjlllX', 'jjllllll', 'jjllllX', 'jjlllllX', 'jjllX']",-,-,"['jjlllX', 'jjllllll', 'jjllllX', 'jjlllllX', 'jjllX']"
L L E,['d'],{'jjllllX'},-,-,{'jjllllX'},Xjjllll,-,-,Xjjllll,['jjllllX'],-,-,['jjllllX']
L L E,['u'],{'jjllllX'},-,-,{'jjllllX'},Xjjllll,-,-,Xjjllll,['jjllllX'],-,-,['jjllllX']
L L E,"['l', 'nu']","{'llllX', 'llX', 'llllllX'}","{'lllX', 'lllllX'}","{'llllX', 'llll'}","{'lllX', 'llllllX', 'llllX', 'llX', 'lllllX', 'llll'}",Xll,Xlll,llll,ll,"['llX', 'llllllX', 'llllX']","['lllllX', 'lllX']","['llllX', 'llll']","['llllllX', 'llllX', 'lllX', 'llX', 'lllllX', 'llll']"
L L E,['e'],"{'llllX', 'llX', 'llllllX'}",-,-,"{'llllX', 'llX', 'llllllX'}",Xll,-,-,Xll,"['llX', 'llllllX', 'llllX']",-,-,"['llX', 'llllllX', 'llllX']"
L L E,"['b_L', 't_L']","{'tblllX', 'bbllllX', 'ttllllll', 'tblllllX', 'ttllllX', 'ttllX'}","{'bblllX', 'tbllllX', 'bblllllX', 'tbllllll', 'tbllX', 'ttlllX', 'ttlllllX'}","{'tblllX', 'bbllllX', 'bbllllll', 'tblllllX', 'ttllllX', 'bbllX'}","{'33lllllX', '33llllll', '33llllX', '33lllX', '33llX'}",ll,ll,ll,ll,"['tblllX', 'ttllllll', 'bbllllX', 'ttllllX', 'tblllllX', 'ttllX']","['bblllX', 'ttlllX', 'tbllllll', 'tbllllX', 'bblllllX', 'ttlllllX', 'tbllX']","['tblllX', 'bbllllll', 'bbllllX', 'ttllllX', 'tblllllX', 'bbllX']","['33lllX', '33llllll', '33llllX', '33lllllX', '33llX']"
