Category,LSP,decays via,Signatures,Chain,NV_cascade,Signatures (ER)
L Q D,B,l,jjl,"['B -- (l) -- l -- [j,j]']",1, 2j_l + 1l
L Q D,B,q,jjl,"['B -- (j) -- q -- [l,j]']",1, 2j_l + 1l
L Q D,B,d,jjl,"['B -- (j) -- d -- [l,j]']",1, 2j_l + 1l
L Q D,B,nu,jjX,"['B -- (X) -- nu -- [j,j]']",1, 2j_l + MET
L Q D,B,q,jjX,"['B -- (j) -- q -- [X,j]']",1, 2j_l + MET
L Q D,B,d,jjX,"['B -- (j) -- d -- [X,j]']",1, 2j_l + MET
L Q D_3,B,l,bjl,"['B -- (l) -- l -- [j,b]']",1, 1j_l + 1b + 1l
L Q D_3,B,q,bjl,"['B -- (j) -- q -- [l,b]']",1, 1j_l + 1b + 1l
L Q D_3,B,b,bjl,"['B -- (b) -- b -- [l,j]']",1, 1j_l + 1b + 1l
L Q D_3,B,nu,bjX,"['B -- (X) -- nu -- [j,b]']",1, 1j_l + 1b + MET
L Q D_3,B,q,bjX,"['B -- (j) -- q -- [X,b]']",1, 1j_l + 1b + MET
L Q D_3,B,b,bjX,"['B -- (b) -- b -- [X,j]']",1, 1j_l + 1b + MET
L Q_3 D,B,l,tjl,"['B -- (l) -- l -- [t,j]']",1, 1j_l + 1t + 1l
L Q_3 D,B,t_L,tjl,"['B -- (t) -- t_L -- [l,j]']",1, 1j_l + 1t + 1l
L Q_3 D,B,d,tjl,"['B -- (j) -- d -- [l,t]']",1, 1j_l + 1t + 1l
L Q_3 D,B,nu,bjX,"['B -- (X) -- nu -- [b,j]']",1, 1j_l + 1b + MET
L Q_3 D,B,b_L,bjX,"['B -- (b) -- b_L -- [X,j]']",1, 1j_l + 1b + MET
L Q_3 D,B,d,bjX,"['B -- (j) -- d -- [X,b]']",1, 1j_l + 1b + MET
L Q_3 D_3,B,l,tbl,"['B -- (l) -- l -- [t,b]']",1, 1t + 1b + 1l
L Q_3 D_3,B,t_L,tbl,"['B -- (t) -- t_L -- [l,b]']",1, 1t + 1b + 1l
L Q_3 D_3,B,b,tbl,"['B -- (b) -- b -- [l,t]']",1, 1t + 1b + 1l
L Q_3 D_3,B,nu,bbX,"['B -- (X) -- nu -- [b,b]']",1, 2b + MET
L Q_3 D_3,B,b_L,bbX,"['B -- (b) -- b_L -- [X,b]']",1, 2b + MET
