LSP,L Q D,L Q D_3,L Q_3 D,L Q_3 D_3,L_3 Q D,L_3 Q D_3,L_3 Q_3 D,L_3 Q_3 D_3
['B'],"{'jjjjX', 'jjjjlX', 'jjjjll'}","{'bbjjX', 'bbjjll', 'bbjjlX'}","{'tbjjlX', 'bbjjX', 'ttjjll'}","{'tbbblX', 'ttbbll', 'bbbbX'}","{'jjjjTT', 'jjjjX', 'jjjjTX'}","{'bbjjX', 'bbjjTX', 'bbjjTT'}","{'ttjjTT', 'bbjjX', 'tbjjTX'}","{'ttbbTT', 'tbbbTX', 'bbbbX'}"
"['W^+', 'W^0']","{'jjjjjjX', 'vvjjjjX', 'jjjjllll', 'vvjjjjjjll', '3333jjjjX', 'jjjjjjjjll', 'jjjjTTllll', 'vvjjjjllll', 'vvjjjjLX', 'jjjjjjTTll', 'jjjjLLLLX', '3333jjjjlX', 'jjjjjjjjlX', '3333jjjjll', '33jjjjLX', '33jjjjjjX', 'vv33jjjjX', 'jjjjjjjjX', '33jjjjjjlX', '33jjjjTTll', 'vvjjjjll', 'jjjjLX', 'jjjjLLLLlX', 'jjjjX', 'vv33jjjjlX', 'vvjjjjTTll', 'jjjjjjll', 'vvvvjjjjX', '33jjjjll', 'jjjjllllll', 'vvvvjjjjlX', 'jjjjjjLLX', 'jjjjLLX', 'vvjjjjLLX', 'jjjjjjllll', 'vvvvjjjjll', 'jjjjTTTTll', '33jjjjX', 'vvjjjjjjlX', 'jjjjjjLX', '33jjjjLLX', 'vvjjjjLLlX', 'vv33jjjjll', '33jjjjjjll', 'jjjjLLLX', 'jjjjll', 'vvjjjjjjX', 'jjjjjjLLlX', 'jjjjTTll', '33jjjjLLlX', '33jjjjllll'}","{'vv33jjlX', 'bbjjX', 'bbjjlX', 'v3bjjlX', 'vv33jjX', 'v3bjjX', 'v3bjjll', 'bbjjll', 'vv33jjll'}","{'3tjjllll', 'vvtbjjjjlX', '3333tbjjlX', 'vvttjjLllX', 'vv3bjjX', '33jjjjlX', '33jjll', 'tbjjjjTTlX', 'ttjjjjTTll', '33bbjjTTX', '3tjjLLllX', 'vv33jjllX', 'vvbbjjLX', '3tbbjjLLX', 'ttjjTTTTll', '33ttjjllll', '3tjjjjlllX', 'vvbbjjTTX', '33ttjjjjll', 'vv3tjjll', '3tjjjjll', 'ttjjjjLllX', '33jjlX', '333tjjll', '3333jjlX', '33jjTTllX', 'bbjjLLLX', '33tbjjjjlX', '33jjX', 'vvvvttjjll', '33tbjjLlX', '33jjjjllX', 'vv33ttjjll', '3bjjLX', '333bjjX', 'bbjjjjTTX', 'ttjjjjllll', 'tbjjjjLlX', '3tjjTTll', 'vvttjjjjll', 'tbjjLLLlX', 'bbjjjjjjX', 'vv33bbjjX', 'vvvvtbjjlX', '3bjjLLX', '33ttjjLllX', '33bbjjLX', '333tjjlllX', 'tbjjjjjjlX', '33bbjjjjX', 'ttjjTTllll', '33jjllllX', 'tbjjTTTTlX', 'vv33tbjjlX', '33jjLLlX', 'vvtbjjLlX', 'ttjjjjjjll', 'vvttjjllll', '3333jjllX', 'vv33jjlX', 'vvttjjTTll', 'vvvvbbjjX', '33tbjjTTlX', '33ttjjTTll', 'vvbbjjjjX', 'bbjjTTTTX', '3333ttjjll', 'vvtbjjTTlX', 'ttjjLLLllX', 'ttjjllllll', '3bjjjjX', '3tjjlllllX', 'bbjjjjLX', '33jjLlX', 'vv3tjjlllX', '3333bbjjX', '3tjjTTlllX'}","{'v333blX', 'v33bbX', 'vv33tblX', 'v33tbll', '33bbll', '33bblX', '33bbX', 'vv33ttll', 'vv33bbX'}","{'jjjjjjX', 'vvjjjjX', '3333jjjjX', 'vvjjjjjjTX', 'jjjjjjLLTX', 'jjjjTTllll', 'vvjjjjjjX', 'vvjjjjLX', 'jjjjjjTTll', 'jjjjLLLLX', 'vv33jjjjTX', 'jjjjjjTTTT', '33jjjjjjTT', 'jjjjjjjjTT', 'jjjjLLLLTX', '33jjjjjjTX', '33jjjjLX', '33jjjjjjX', 'vv33jjjjX', 'jjjjTT', 'vvjjjjjjTT', 'jjjjTTTT', 'jjjjjjjjX', '33jjjjTTll', 'jjjjjjTT', '33jjjjTTTT', 'jjjjLX', 'vvvvjjjjTX', 'jjjjX', 'vvjjjjTTll', 'jjjjjjjjTX', 'vvvvjjjjX', 'vv33jjjjTT', 'jjjjjjLLX', '33jjjjTT', 'vvjjjjLLTX', '33jjjjLLTX', 'jjjjLLX', 'vvjjjjLLX', '3333jjjjTX', 'vvvvjjjjTT', 'jjjjTTTTll', '33jjjjX', 'jjjjjjLX', '33jjjjLLX', 'vvjjjjTT', 'jjjjLLLX', '3333jjjjTT', 'jjjjTTTTTT', 'jjjjTTll', 'vvjjjjTTTT'}","{'v3bjjTX', 'bbjjTT', 'vv33jjTT', 'bbjjX', 'bbjjTX', 'vv33jjX', 'v3bjjX', 'vv33jjTX', 'v3bjjTT'}","{'333tjjTTTX', 'ttjjjjTTTT', 'vvvvttjjTT', 'vv3bjjX', '33jjTX', '33jjjjTTX', '3tjjTTTT', '33ttjjLTTX', 'vv33jjTX', 'ttjjjjTTll', '33bbjjllX', 'vvttjjLTTX', '3333ttjjTT', 'vvbbjjLX', 'ttjjTTTTll', '33jjTT', '33ttjjjjTT', '33jjLTX', 'vv33jjTTX', '3333tbjjTX', 'ttjjLLLTTX', 'ttjjTTTTTT', 'tbjjjjLTX', '33jjTTllX', '33tbjjjjTX', 'bbjjLLLX', 'vvttjjjjTT', '33jjLLTX', 'vvtbjjLTX', '33jjX', 'bbjjjjllX', 'vvvvtbjjTX', 'vv3tjjTTTX', '3bjjLX', '333bjjX', '3tjjLLTTX', 'vvtbjjjjTX', 'tbjjjjTllX', '333tjjTT', '3tjjTTll', '3ttbjjLLTX', 'tbjjjjjjTX', 'bbjjjjjjX', 'ttjjjjjjTT', '3333jjTTX', 'vv33bbjjX', '3bjjLLX', '3tjjTTTllX', '33bbjjLX', '33bbjjjjX', 'ttjjTTllll', '33tbjjLTX', 'vvbbjjllX', '3tjjjjTT', 'vv33ttjjTT', 'tbjjTllllX', '33tbjjTllX', 'vvttjjTTTT', 'vvttjjTTll', 'tbjjLLLTX', 'vvvvbbjjX', 'bbjjllllX', '33ttjjTTll', '33ttjjTTTT', 'vvbbjjjjX', '3tjjjjTTTX', '33jjjjTX', 'vvtbjjTllX', 'vv3tjjTT', '3bjjjjX', '3tjjTTTTTX', 'bbjjjjLX', '33jjTTTTX', 'ttjjjjLTTX', '3333bbjjX', 'vv33tbjjTX', '3333jjTX'}","{'33bbTX', 'v33bbX', '33bbX', 'vv33tbTX', 'v33tbTT', '33bbTT', 'v333bTX', 'vv33ttTT', 'vv33bbX'}"
['G'],"{'jjjjjjX', '3333jjjjX', 'jjjjjjjjll', '33jjjjlX', 'jjjjlX', 'jjjjjjll', '33jjjjll', '3333jjjjlX', 'jjjjjjjjlX', '3333jjjjll', '33jjjjjjX', 'jjjjjjjjX', '33jjjjX', '33jjjjjjlX', '33jjjjjjll', 'jjjjjjlX', 'jjjjll', 'jjjjX'}","{'bbjjjjll', 'bbjjjjjjlX', 'bbjjjjjjX', '3333bbjjlX', 'bbjjX', 'bbjjjjjjll', 'bbjjjjlX', 'bbjjjjX', '33bbjjll', 'bbjjll', '33bbjjjjX', '33bbjjjjll', 'bbjjlX', '3333bbjjll', '3333bbjjX', '33bbjjlX', '33bbjjjjlX', '33bbjjX'}","{'ttbbjjX', '3tjjjjll', 'tttbbbjjlX', 'tbjjlX', '33jjjjlX', 'tbbbbbjjlX', 'bbjjX', 'bbbbjjX', 'ttbbbbjjll', 'ttbbjjll', 'ttbbbbjjX', '3333jjjjlX', 'ttttbbjjll', 'tbbbjjlX', 'ttjjll', '33jjjjjjX', '3bjjjjX', '333bjjjjX', '333tjjjjll', 'bbbbbbjjX', '33jjjjjjlX', 'ttttbbjjX', 'tttttbjjlX', 'ttttjjll', '33jjjjjjll', 'ttttttjjll', 'tttbjjlX'}","{'ttbbbbbbX', 'tttttbbblX', '333bbbjjX', '3333bbjjlX', 'tttbbblX', 'ttttbbll', '3tbbjjll', 'ttttbbbbll', 'ttbbbbll', 'bbbbbbX', 'tttbbbbblX', 'ttbbll', '3bbbjjX', 'tbbbbblX', '33bbjjjjX', '33bbjjjjll', 'ttttbbbbX', 'ttbbbbbbll', 'bbbbX', 'bbbbbbbbX', '333tbbjjll', 'tbbbbbbblX', 'ttbbbbX', 'tbbblX', 'ttttttbbll', '33bbjjlX', '33bbjjjjlX'}","{'jjjjjjTX', 'jjjjjjX', '3333jjjjX', 'jjjjjjjjTX', 'jjjjTX', '33jjjjjjTT', '33jjjjTX', '33jjjjTT', 'jjjjjjjjTT', '33jjjjjjTX', '33jjjjjjX', '3333jjjjTX', 'jjjjTT', 'jjjjjjjjX', '33jjjjX', 'jjjjjjTT', '3333jjjjTT', 'jjjjX'}","{'bbjjTT', 'bbjjjjjjX', 'bbjjX', 'bbjjjjTT', 'bbjjjjX', '3333bbjjTX', '33bbjjTX', '3333bbjjTT', '33bbjjjjX', '33bbjjjjTX', 'bbjjjjjjTX', '33bbjjTT', 'bbjjTX', '33bbjjjjTT', 'bbjjjjTX', '3333bbjjX', '33bbjjX', 'bbjjjjjjTT'}","{'ttbbjjX', 'tttttbjjTX', '333tjjjjTT', 'tbbbjjTX', 'bbjjX', 'bbbbjjX', 'tbjjTX', 'tttbjjTX', 'ttbbbbjjX', '33jjjjjjTT', 'ttjjTT', 'ttbbbbjjTT', '33jjjjjjTX', '33jjjjTX', 'tttbbbjjTX', 'tbbbbbjjTX', '33jjjjjjX', '3333jjjjTX', '3bjjjjX', '333bjjjjX', 'ttttbbjjTT', 'ttbbjjTT', 'ttttbbjjX', 'bbbbbbjjX', '3tjjjjTT', 'ttttjjTT', 'ttttttjjTT'}","{'ttbbbbbbX', 'tttbbbTX', '333bbbjjX', 'ttttttbbTT', 'tttbbbbbTX', '3tbbjjTT', 'ttttbbbbTT', '3333bbjjTX', '33bbjjTX', 'bbbbbbX', 'tbbbbbbbTX', 'ttbbTT', 'ttttbbTT', 'ttbbbbTT', '3bbbjjX', 'tbbbbbTX', '33bbjjjjX', '33bbjjjjTX', '333tbbjjTT', 'ttttbbbbX', 'tbbbTX', 'ttbbbbbbTT', 'bbbbbbbbX', 'bbbbX', '33bbjjjjTT', 'ttbbbbX', 'tttttbbbTX'}"
"['H^+', 'H^0']","{'vvjjjjlX', 'vvjjjjX', 'vvjjjjll'}","{'vvbbjjll', 'vvbbjjX', '33jjll', 'vvbbjjlX', '33jjlX', 'v3bjjlX', 'v3bjjX', 'v3bjjll', '33jjX'}","{'vv33jjlX', '33jjll', 'vv33jjll', 'v33jjlX', '33jjlX', 'v33jjX', 'vv33jjX', 'v33jjll', '33jjX'}","{'v333blX', 'v33bbX', '333blX', 'vv33bbll', '33bbX', 'v333bll', 'vv33bblX', '3333ll', 'vv33bbX'}","{'vvjjjjX', 'vvjjjjTX', 'vvjjjjTT'}","{'v3bjjTX', 'vvbbjjTT', 'vvbbjjX', '33jjTT', '33jjTX', 'v3bjjX', 'v3bjjTT', 'vvbbjjTX', '33jjX'}","{'v33jjTT', '33jjTX', 'vv33jjTT', '33jjTT', 'v33jjTX', 'v33jjX', 'vv33jjX', 'vv33jjTX', '33jjX'}","{'v33bbX', '333bTX', 'vv33bbTT', 'vv33bbTX', '33bbX', '3333TT', 'v333bTX', 'v333bTT', 'vv33bbX'}"
['q'],"{'jjlX', 'jjjjjjX', 'jjX', 'jjjjlX', 'jjjjjjll', 'jjll', 'jjjjjjlX', 'jjjjll', 'jjjjX'}","{'bblX', 'bbX', 'bbjjjjll', 'bbjjX', 'bbjjlX', 'bbll', 'bbjjjjX', 'bbjjjjlX', 'bbjjll'}","{'33jjjjlX', '33jjjjX', '33jjjjll'}","{'33bbjjll', '33bbjjlX', '33bbjjX'}","{'jjjjjjTX', 'jjjjjjX', 'jjjjTT', 'jjX', 'jjjjTX', 'jjjjjjTT', 'jjTX', 'jjTT', 'jjjjX'}","{'bbX', 'bbTT', 'bbTX', 'bbjjTT', 'bbjjX', 'bbjjjjTT', 'bbjjTX', 'bbjjjjX', 'bbjjjjTX'}","{'33jjjjX', '33jjjjTX', '33jjjjTT'}","{'33bbjjTT', '33bbjjTX', '33bbjjX'}"
['d'],"{'jjlX', 'jjjjjjX', 'jjX', 'jjjjlX', 'jjjjjjll', 'jjll', 'jjjjjjlX', 'jjjjll', 'jjjjX'}","{'bbjjjjll', 'bbjjjjX', 'bbjjjjlX'}","{'bbX', 'ttll', 'tbjjlX', 'bbjjX', 'tbjjjjlX', 'bbjjjjX', 'ttjjll', 'tblX', 'ttjjjjll'}","{'tbbbjjlX', 'ttbbjjll', 'bbbbjjX'}","{'jjjjjjTX', 'jjjjjjX', 'jjjjTT', 'jjX', 'jjjjTX', 'jjjjjjTT', 'jjTX', 'jjTT', 'jjjjX'}","{'bbjjjjX', 'bbjjjjTT', 'bbjjjjTX'}","{'bbX', 'bbjjX', 'tbjjjjTX', 'tbjjTX', 'bbjjjjX', 'ttTT', 'ttjjTT', 'tbTX', 'ttjjjjTT'}","{'ttbbjjTT', 'bbbbjjX', 'tbbbjjTX'}"
['u'],"{'jjjjjjX', 'jjjjjjlX', 'jjjjjjll'}","{'bbjjjjll', 'bbjjjjX', 'bbjjjjlX'}","{'bbjjjjX', 'ttjjjjll', 'tbjjjjlX'}","{'tbbbjjlX', 'ttbbjjll', 'bbbbjjX'}","{'jjjjjjTX', 'jjjjjjX', 'jjjjjjTT'}","{'bbjjjjX', 'bbjjjjTT', 'bbjjjjTX'}","{'bbjjjjX', 'ttjjjjTT', 'tbjjjjTX'}","{'ttbbjjTT', 'bbbbjjX', 'tbbbjjTX'}"
"['l', 'nu']","{'jjjj', 'jjjjlllX', 'jjjjllll', 'jjjjll', 'jjjjllX', 'jjjjX', 'jjjjlX'}","{'bbjjllX', 'bbjjlllX', 'bbjj', 'bbjjX', 'bbjjllll', 'bbjjlX', 'bbjjll'}","{'33jjlX', '33jj', '33jjll', '33jjlllX', '33jjllll', '33jjllX', '33jjX'}","{'33bbllll', '33bb', '33bblllX', '33bblX', '33bbllX', '33bbX', '33bbll'}","{'jjjjX', 'jjjjLX', 'jjjjTTll', 'jjjjLLX', 'jjjjLTlX'}","{'bbjjLTlX', 'bbjjTTll', 'bbjjLLX', 'bbjjX', 'bbjjLX'}","{'33jjLX', '33jjLTlX', '33jjTTll', '33jjLLX', '33jjX'}","{'33bbLX', '33bbLTlX', '33bbLLX', '33bbX', '33bbTTll'}"
['e'],"{'jjjjlllX', 'jjjjllll', 'jjjjllX'}","{'bbjjllX', 'bbjjlllX', 'bbjjllll'}","{'bbjjllX', 'tbjjlllX', 'ttjjllll'}","{'ttbbllll', 'tbbblllX', 'bbbbllX'}","{'jjjjTTll', 'jjjjTllX', 'jjjjllX'}","{'bbjjllX', 'bbjjTllX', 'bbjjTTll'}","{'bbjjllX', 'tbjjTllX', 'ttjjTTll'}","{'bbbbllX', 'tbbbTllX', 'ttbbTTll'}"
"['b_L', 't_L']","{'33jjjjlX', '33jjjjX', '33jjjjll'}","{'3333jjlX', '3333jjX', '3333jjll'}","{'jjlX', '33jjll', '3333jjX', 'jjX', '33jjlX', 'jjll', '3333jjlX', '3333jjll', '33jjX'}","{'bblX', 'bbX', '333bll', '3333bbX', '333blX', '33333blX', '33bbX', 'bbll', '333333ll'}","{'33jjjjX', '33jjjjTX', '33jjjjTT'}","{'3333jjTT', '3333jjX', '3333jjTX'}","{'3333jjTT', '33jjTT', '33jjTX', '3333jjX', 'jjX', 'jjTT', 'jjTX', '3333jjTX', '33jjX'}","{'bbX', 'bbTT', '333bTX', '333333TT', 'bbTX', '3333bbX', '33bbX', '33333bTX', '333bTT'}"
