CAT,LSP,AA,AB,BB,ALL,AA (Common),AB (Common),BB (Common),ALL (Common),AA (Same Flavour),AB (Same Flavour),BB (Same Flavour),ALL (Same Flavour)
L Q D,['B'],"{'jjjjll', 'jjjjX', 'jjjjlX'}",-,-,"{'jjjjll', 'jjjjX', 'jjjjlX'}",jjjj,-,-,jjjj,"['jjjjll', 'jjjjX', 'jjjjlX']",-,-,"['jjjjll', 'jjjjX', 'jjjjlX']"
L Q D,"['W^+', 'W^0']","{'jjjjLLlX', 'jjjjjjX', 'tbjjjjjjlX', 'vvjjjjjjll', 'ttbbjjjjlX', 'vvjjjjLllX', 'vvtbjjjjll', 'vvvvjjjjll', 'vvtbjjjjX', 'ttbbjjjjX', 'jjjjX', 'jjjjjjLllX', 'jjjjll', 'jjjjjjjjX', 'vvtbjjjjlX', 'jjjjLLX', 'tbjjjjLllX', 'jjjjLX', 'vvjjjjll', 'jjjjjjLX', 'jjjjjjll', 'tbjjjjjjX', 'tbjjjjLlX', 'ttbbjjjjll', 'jjjjjjjjlX', 'vvjjjjjjlX', 'jjjjLLllX', 'vvjjjjjjX', 'vvvvjjjjX', 'vvvvjjjjlX', 'tbjjjjX', 'tbjjjjll', 'vvjjjjLlX', 'jjjjjjLlX', 'tbjjjjLX', 'vvjjjjX', 'vvjjjjLX', 'jjjjjjjjll', 'tbjjjjjjll'}","{'ttjjjjLllX', '33jjjjlllX', '33jjjjjjX', 'jjjjLLLlX', 'jjjjjjX', 'jjjjLLLX', 'tttbjjjjX', 'vvjjjjTTll', 'bbjjjjLX', 'vvjjjjjjll', '33jjjjll', 'jjjjjjTTll', 'tbjjjjTTll', 'vvvvjjjjll', 'tttbjjjjll', 'bbjjjjLllX', 'jjjjllll', 'jjjjX', 'vv33jjjjX', 'jjjjjjLLX', 'jjjjll', 'jjjjjjjjX', 'tbbbjjjjll', 'bbjjjjLlX', 'jjjjLLX', 'vvjjjjLLlX', 'tbbbjjjjX', 'vv33jjjjll', 'tbjjjjllll', 'jjjjLX', 'vvjjjjll', 'vvjjjjLLX', 'tttbjjjjlX', 'jjjjjjll', 'jjjjjjLX', 'ttjjjjLlX', '33jjjjX', 'jjjjjjLLlX', 'jjjjjjjjlX', 'vvjjjjllll', 'vvjjjjjjlX', 'jjjjjjllll', 'tbbbjjjjlX', 'vvjjjjjjX', 'vvvvjjjjX', '33jjjjllX', 'tbjjjjTTlX', 'vv33jjjjlX', 'vvvvjjjjlX', 'tbjjjjTTX', 'jjjjLLLllX', 'ttjjjjLX', '33jjjjjjll', '33jjjjlX', 'jjjjTTll', 'vvjjjjX', '33jjjjjjlX', 'vvjjjjLX', 'jjjjjjjjll'}","{'jjjjjjX', 'bbjjjjjjll', 'jjjjllllll', 'jjjjTTTTll', 'jjjjjjlX', 'jjjjjjllX', 'jjjjjjTTX', 'ttbbjjjjX', 'ttjjjjjjlX', 'vvjjjjll', 'ttjjjjTTX', 'vvjjjjllll', 'bbjjjjTTll', 'bbjjjjTTX', 'ttjjjjll', 'vvjjjjlX', 'vvttjjjjX', 'bbbbjjjjlX', 'vvbbjjjjll', 'ttjjjjX', 'jjjjjjlllX', 'vvjjjjTTX', 'ttjjjjTTlX', 'ttttjjjjX', 'jjjjX', 'vvjjjjTTlX', 'jjjjjjll', 'vvjjjjlllX', 'vvjjjjllX', 'bbbbjjjjll', 'jjjjjjjjlX', 'vvbbjjjjlX', 'vvvvjjjjX', 'vvbbjjjjX', 'bbjjjjTTlX', 'ttjjjjlX', 'jjjjjjTTlX', 'vvjjjjX', 'ttjjjjTTll', 'jjjjlllX', 'bbjjjjlX', 'jjjjTTlllX', 'ttjjjjjjll', 'ttjjjjjjX', 'vvjjjjTTll', 'jjjjTTTTlX', 'ttbbjjjjlX', 'jjjjjjTTll', 'vvvvjjjjll', 'bbjjjjll', 'jjjjjjjjX', 'jjjjlX', 'ttjjjjllll', 'bbjjjjjjlX', 'ttttjjjjlX', 'jjjjTTX', 'jjjjlllllX', 'vvttjjjjll', 'jjjjllX', 'bbjjjjX', 'jjjjTTll', 'jjjjjjjjll', 'jjjjTTlX', 'bbjjjjjjX', 'vvttjjjjlX', 'vvjjjjjjll', 'ttttjjjjll', 'ttjjjjlllX', 'ttjjjjllX', 'jjjjllll', 'bbjjjjllX', 'jjjjTTTTX', 'jjjjll', 'bbjjjjlllX', 'bbjjjjllll', 'ttbbjjjjll', 'vvjjjjjjlX', 'jjjjjjllll', 'jjjjTTllll', 'vvjjjjjjX', 'jjjjllllX', 'vvvvjjjjlX', 'jjjjTTllX', 'bbbbjjjjX'}","{'33jjjjjjX', 'jjjjjjX', '3333jjjjX', 'jjjjllllll', 'jjjjLLLX', 'vvjjjjjjll', 'vvjjjjTTll', '33jjjjll', 'jjjjTTTTll', '33jjjjLLlX', '33jjjjLX', 'jjjjjjTTll', 'vvvvjjjjll', '33jjjjLLX', 'jjjjllll', 'jjjjX', 'vv33jjjjX', 'jjjjjjLLX', 'jjjjll', 'jjjjjjjjX', 'jjjjLLX', '33jjjjllll', 'vvjjjjLLlX', 'vv33jjjjll', 'jjjjLX', 'vvjjjjll', '3333jjjjll', 'jjjjjjLX', 'jjjjjjll', 'jjjjLLLLX', 'vvjjjjLLX', '33jjjjX', 'jjjjjjLLlX', 'jjjjjjjjlX', 'vvjjjjllll', '3333jjjjlX', 'vvjjjjjjlX', 'jjjjjjllll', 'jjjjTTllll', 'vvjjjjjjX', 'vvvvjjjjX', 'vv33jjjjlX', 'vvvvjjjjlX', '33jjjjTTll', '33jjjjjjll', 'jjjjTTll', 'jjjjLLLLlX', 'vvjjjjX', '33jjjjjjlX', 'vvjjjjLX', 'jjjjjjjjll'}",jjjj,jjjj,jjjj,jjjj,"['jjjjjjll', 'tbjjjjll', 'vvjjjjLllX', 'tbvvjjjjX', 'jjvvjjjjX', 'jjjjjjLllX', 'tbjjjjLllX', 'tbjjjjLlX', 'jjjjjjLlX', 'jjjjLLllX', 'vvjjjjll', 'jjjjLLlX', 'vvjjjjLX', 'jjjjLLX', 'tbvvjjjjlX', 'jjvvjjjjlX', 'tbjjjjjjlX', 'ttbbjjjjlX', 'jjjjjjjjlX', 'jjjjll', 'jjjjjjX', 'tbjjjjX', 'jjjjjjLX', 'tbjjjjLX', 'vvjjjjX', 'ttbbjjjjX', 'jjjjjjjjX', 'tbjjjjjjX', 'jjjjLX', 'jjvvjjjjll', 'tbvvjjjjll', 'vvvvjjjjX', 'jjjjX', 'vvvvjjjjll', 'ttbbjjjjll', 'jjjjjjjjll', 'tbjjjjjjll', 'vvjjjjLlX', 'vvvvjjjjlX']","['(JJ)jjjjll', 'vvjjjjLLlX', 'jjjjLLLllX', '(JJ)vvjjjjX', 'ttLljjjjlX', '33lljjjjlX', 'bbLljjjjlX', 'jjLLjjjjlX', 'tbTTjjjjlX', 'jjLLjjjjX', 'bbLljjjjX', 'ttLljjjjX', '33lljjjjX', 'tbTTjjjjX', 'jjjjLLLlX', 'vvjjjjll', 'jjTTjjjjll', 'tbTTjjjjll', 'tblljjjjll', 'jjlljjjjll', 'jjjjLLLX', 'vvjjjjLX', 'jjjjLLX', '(JJ)vvjjjjlX', 'tttbjjjjlX', 'jjjjjjjjlX', 'tbbbjjjjlX', '33jjjjjjlX', 'jjjjll', '(JJ)jjjjX', '(LL)vvjjjjll', 'bbLjjjjX', 'jjLjjjjX', 'ttLjjjjX', '33ljjjjX', 'vvjjjjX', '33jjjjjjX', 'tttbjjjjX', 'jjjjjjjjX', 'tbbbjjjjX', 'jjjjLX', '(JJ)vvjjjjll', 'vvvvjjjjX', 'jjjjX', 'vvvvjjjjll', 'tttbjjjjll', 'tbbbjjjjll', '33jjjjjjll', 'jjjjjjjjll', '(LL)jjjjll', 'vvjjjjLLX', 'vvvvjjjjlX']","['(JJ)jjjjll', '(LL)vvjjjjlX', 'TTlljjjjlX', 'TTTTjjjjlX', 'lllljjjjlX', '(JJ)vvjjjjX', 'jjlljjjjlX', 'ttTTjjjjlX', 'bbTTjjjjlX', 'jjTTjjjjlX', 'ttlljjjjlX', 'bblljjjjlX', 'jjlljjjjX', 'jjTTjjjjX', 'ttTTjjjjX', 'bbTTjjjjX', 'ttlljjjjX', 'bblljjjjX', 'TTTTjjjjX', 'lllljjjjX', 'TTlljjjjX', 'vvjjjjll', 'bbTTjjjjll', 'ttTTjjjjll', 'jjTTjjjjll', 'ttlljjjjll', 'bblljjjjll', 'jjlljjjjll', '(LL)jjjjlX', 'vvjjjjlX', '(LL)jjjjX', '(JJ)vvjjjjlX', 'ttjjjjjjlX', 'bbbbjjjjlX', 'jjjjjjjjlX', 'ttbbjjjjlX', 'bbjjjjjjlX', 'ttttjjjjlX', 'jjjjll', '(JJ)jjjjX', '(LL)vvjjjjll', '(JJ)jjjjlX', 'vvjjjjX', 'ttbbjjjjX', 'ttttjjjjX', 'ttjjjjjjX', 'jjjjjjjjX', 'bbjjjjjjX', 'bbbbjjjjX', 'jjjjlX', '(JJ)vvjjjjll', 'vvvvjjjjX', 'jjjjX', 'vvvvjjjjll', 'bbjjjjjjll', 'bbbbjjjjll', 'ttjjjjjjll', 'jjjjjjjjll', 'ttttjjjjll', 'ttbbjjjjll', '(LL)jjjjll', 'lllljjjjll', 'TTTTjjjjll', 'TTlljjjjll', '(LL)vvjjjjX', 'vvvvjjjjlX']","['(JJ)jjjjll', 'vvjjjjLLlX', 'jjjjLLLLlX', '(JJ)vvjjjjX', '(JJ)jjjjLLlX', '(JJ)jjjjLLX', 'jjjjLLLLX', 'vvjjjjll', 'jjTTjjjjll', '33lljjjjll', 'jjlljjjjll', '33TTjjjjll', 'jjjjLLLX', 'vvjjjjLX', 'jjjjLLX', '(JJ)vvjjjjlX', 'jjjjjjjjlX', '3333jjjjlX', '33jjjjjjlX', 'jjjjll', '(JJ)jjjjX', '(LL)vvjjjjll', '(JJ)jjjjLX', 'vvjjjjX', '33jjjjjjX', '3333jjjjX', 'jjjjjjjjX', 'jjjjLX', '(JJ)vvjjjjll', 'vvvvjjjjX', 'jjjjX', 'vvvvjjjjll', '3333jjjjll', '33jjjjjjll', 'jjjjjjjjll', '(LL)jjjjll', 'lllljjjjll', 'TTTTjjjjll', 'TTlljjjjll', 'vvjjjjLLX', 'vvvvjjjjlX']"
L Q D,['G'],"{'jjjjjjlX', '3333jjjjll', 'jjjjjjll', '33jjjjjjX', '33jjjjX', 'jjjjX', 'jjjjjjX', 'jjjjjjjjlX', '3333jjjjX', '3333jjjjlX', 'jjjjjjjjX', '33jjjjlX', 'jjjjll', '33jjjjjjll', 'jjjjlX', '33jjjjll', '33jjjjjjlX', 'jjjjjjjjll'}",-,-,"{'jjjjjjlX', '3333jjjjll', 'jjjjjjll', '33jjjjjjX', '33jjjjX', 'jjjjX', 'jjjjjjX', 'jjjjjjjjlX', '3333jjjjX', '3333jjjjlX', 'jjjjjjjjX', '33jjjjlX', 'jjjjll', '33jjjjjjll', 'jjjjlX', '33jjjjll', '33jjjjjjlX', 'jjjjjjjjll'}",jjjj,-,-,jjjj,"['(JJ)jjjjll', '(JJ)jjjjlX', '(JJ)jjjjX', '33jjjjjjX', '3333jjjjX', 'jjjjjjjjX', 'jjjjlX', 'jjjjX', 'jjjjjjjjlX', '3333jjjjlX', '33jjjjjjlX', 'jjjjll', '3333jjjjll', '33jjjjjjll', 'jjjjjjjjll']",-,-,"['(JJ)jjjjll', '(JJ)jjjjlX', '(JJ)jjjjX', '33jjjjjjX', '3333jjjjX', 'jjjjjjjjX', 'jjjjlX', 'jjjjX', 'jjjjjjjjlX', '3333jjjjlX', '33jjjjjjlX', 'jjjjll', '3333jjjjll', '33jjjjjjll', 'jjjjjjjjll']"
L Q D,"['H^+', 'H^0']","{'vvjjjjll', 'vvjjjjlX', 'vvjjjjX'}","{'vvjjjjll', 'vvjjjjlX', 'vvjjjjX'}","{'vvjjjjll', 'vvjjjjlX', 'vvjjjjX'}","{'vvjjjjll', 'vvjjjjlX', 'vvjjjjX'}",jjjjvv,jjjjvv,jjjjvv,jjjjvv,"['vvjjjjlX', 'vvjjjjX', 'vvjjjjll']","['vvjjjjlX', 'vvjjjjX', 'vvjjjjll']","['vvjjjjlX', 'vvjjjjX', 'vvjjjjll']","['vvjjjjlX', 'vvjjjjX', 'vvjjjjll']"
L Q D,['q'],"{'jjjjjjlX', 'jjjjjjll', 'jjlX', 'jjX', 'jjll', 'jjjjX', 'jjjjjjX', 'jjjjll', 'jjjjlX'}",-,-,"{'jjjjjjlX', 'jjjjjjll', 'jjlX', 'jjX', 'jjll', 'jjjjX', 'jjjjjjX', 'jjjjll', 'jjjjlX'}",jj,-,-,jj,"['jjjjjjll', 'jjjjjjlX', 'jjjjlX', 'jjll', 'jjX', 'jjjjX', 'jjlX', 'jjjjll', 'jjjjjjX']",-,-,"['jjjjjjll', 'jjjjjjlX', 'jjjjlX', 'jjll', 'jjX', 'jjjjX', 'jjlX', 'jjjjll', 'jjjjjjX']"
L Q D,['d'],"{'jjjjjjlX', 'jjjjjjll', 'jjlX', 'jjX', 'jjll', 'jjjjX', 'jjjjjjX', 'jjjjll', 'jjjjlX'}",-,-,"{'jjjjjjlX', 'jjjjjjll', 'jjlX', 'jjX', 'jjll', 'jjjjX', 'jjjjjjX', 'jjjjll', 'jjjjlX'}",jj,-,-,jj,"['jjjjjjll', 'jjjjjjlX', 'jjjjlX', 'jjll', 'jjX', 'jjjjX', 'jjlX', 'jjjjll', 'jjjjjjX']",-,-,"['jjjjjjll', 'jjjjjjlX', 'jjjjlX', 'jjll', 'jjX', 'jjjjX', 'jjlX', 'jjjjll', 'jjjjjjX']"
L Q D,['u'],"{'jjjjjjlX', 'jjjjjjll', 'jjjjjjX'}",-,-,"{'jjjjjjlX', 'jjjjjjll', 'jjjjjjX'}",jjjjjj,-,-,jjjjjj,"['jjjjjjll', 'jjjjjjlX', 'jjjjjjX']",-,-,"['jjjjjjll', 'jjjjjjlX', 'jjjjjjX']"
L Q D,"['l', 'nu']","{'jjjj', 'jjjjllll', 'jjjjllX', 'jjjjX', 'jjjjll', 'jjjjlX', 'jjjjlllX'}","{'jjjj', 'jjjjllll', 'jjjjllX', 'jjjjX', 'jjjjll', 'jjjjlX', 'jjjjlllX'}","{'jjjj', 'jjjjllll', 'jjjjllX', 'jjjjX', 'jjjjll', 'jjjjlX', 'jjjjlllX'}","{'jjjj', 'jjjjllll', 'jjjjllX', 'jjjjX', 'jjjjll', 'jjjjlX', 'jjjjlllX'}",jjjj,jjjj,jjjj,jjjj,"['jjjjlllX', 'jjjjlX', 'jjjj', 'jjjjllX', 'jjjjX', 'jjjjll', 'jjjjllll']","['jjjjlllX', 'jjjjlX', 'jjjj', 'jjjjllX', 'jjjjX', 'jjjjll', 'jjjjllll']","['jjjjlllX', 'jjjjlX', 'jjjj', 'jjjjllX', 'jjjjX', 'jjjjll', 'jjjjllll']","['jjjjlllX', 'jjjjlX', 'jjjj', 'jjjjllX', 'jjjjX', 'jjjjll', 'jjjjllll']"
L Q D,['e'],"{'jjjjllll', 'jjjjllX', 'jjjjlllX'}",-,-,"{'jjjjllll', 'jjjjllX', 'jjjjlllX'}",jjjjll,-,-,jjjjll,"['jjjjllX', 'jjjjlllX', 'jjjjllll']",-,-,"['jjjjllX', 'jjjjlllX', 'jjjjllll']"
L Q D,"['b_L', 't_L']","{'33jjjjX', '33jjjjlX', '33jjjjll'}","{'33jjjjX', '33jjjjlX', '33jjjjll'}","{'33jjjjX', '33jjjjlX', '33jjjjll'}","{'33jjjjX', '33jjjjlX', '33jjjjll'}",jjjj,jjjj,jjjj,jjjj,"['33jjjjll', '33jjjjlX', '33jjjjX']","['33jjjjll', '33jjjjlX', '33jjjjX']","['33jjjjll', '33jjjjlX', '33jjjjX']","['33jjjjll', '33jjjjlX', '33jjjjX']"
