CAT,LSP,AA,AB,BB,ALL,AA (Common),AB (Common),BB (Common),ALL (Common),AA (Same Flavour),AB (Same Flavour),BB (Same Flavour),ALL (Same Flavour)
U D D,['B'],{'jjjjjj'},-,-,{'jjjjjj'},jjjjjj,-,-,jjjjjj,['jjjjjj'],-,-,['jjjjjj']
U D D,"['W^+', 'W^0']","{'tbjjjjjjjj', 'tbjjjjjjLX', 'jjjjjjjjLX', 'jjjjjjLLX', 'jjjjjjjjjj', 'ttbbjjjjjj', 'vvjjjjjjjj', 'vvtbjjjjjj', 'vvvvjjjjjj', 'vvjjjjjjLX'}","{'vvjjjjjjll', 'jjjjjjjjLX', 'tbjjjjjjX', 'vv33jjjjjj', 'tbbbjjjjjj', 'vvjjjjjjX', 'jjjjjjLX', 'tbjjjjjjTT', 'jjjjjjjjjj', 'jjjjjjLLLX', 'tttbjjjjjj', 'bbjjjjjjLX', 'jjjjjjjjX', 'tbjjjjjjll', 'vvjjjjjjTT', 'jjjjjjjjTT', 'vvjjjjjjjj', 'vvvvjjjjjj', 'jjjjjjjjll', 'ttjjjjjjLX', 'vvjjjjjjLX', '33jjjjjjjj'}","{'vvjjjjjjll', 'jjjjjjTTX', 'ttjjjjjjTT', 'ttbbjjjjjj', 'vvjjjjjjX', 'bbjjjjjjll', 'jjjjjjllll', 'vvbbjjjjjj', 'jjjjjjjjjj', 'jjjjjjTTTT', 'jjjjjjjjX', 'ttjjjjjjjj', 'vvjjjjjjTT', 'ttttjjjjjj', 'bbjjjjjjX', 'vvttjjjjjj', 'jjjjjjjjTT', 'vvjjjjjjjj', 'jjjjjjX', 'vvvvjjjjjj', 'ttjjjjjjX', 'jjjjjjjjll', 'jjjjjjllX', 'bbjjjjjjTT', 'jjjjjjTTll', 'bbjjjjjjjj', 'ttjjjjjjll', 'bbbbjjjjjj'}","{'vvjjjjjjll', 'jjjjjjjjLX', 'jjjjjjLLX', 'vv33jjjjjj', 'vvjjjjjjX', 'jjjjjjLX', 'jjjjjjllll', 'jjjjjjjjjj', 'jjjjjjTTTT', 'jjjjjjLLLX', 'jjjjjjjjX', 'vvjjjjjjTT', 'jjjjjjjjTT', 'vvjjjjjjjj', 'jjjjjjX', '33jjjjjjll', 'vvvvjjjjjj', 'jjjjjjjjll', 'jjjjjjTTll', '33jjjjjjTT', '33jjjjjjX', '33jjjjjjLX', 'vvjjjjjjLX', '33jjjjjjjj', '3333jjjjjj'}",jjjjjj,jjjjjj,jjjjjj,jjjjjj,"['jjjjjjLLX', 'jjvvjjjjjj', 'tbvvjjjjjj', 'vvjjjjjjLX', 'vvvvjjjjjj', 'tbjjjjjjjj', 'jjjjjjjjjj', 'ttbbjjjjjj', 'tbjjjjjjLX', 'jjjjjjjjLX']","['tbTTjjjjjj', 'tblljjjjjj', 'jjTTjjjjjj', 'jjlljjjjjj', 'vvjjjjjjX', 'jjjjjjLLLX', '(JJ)vvjjjjjj', '(LL)vvjjjjjj', 'vvjjjjjjLX', 'vvvvjjjjjj', 'jjjjjjLX', 'tbbbjjjjjj', 'jjjjjjjjjj', 'tttbjjjjjj', '33jjjjjjjj', '(JJ)jjjjjjLX', 'tbjjjjjjX', 'jjjjjjjjX']","['ttTTjjjjjj', 'bblljjjjjj', 'jjTTjjjjjj', 'jjlljjjjjj', 'bbTTjjjjjj', 'ttlljjjjjj', 'vvjjjjjjX', '(LL)jjjjjjX', 'lllljjjjjj', 'TTTTjjjjjj', 'TTlljjjjjj', '(JJ)vvjjjjjj', '(LL)vvjjjjjj', 'vvvvjjjjjj', 'ttbbjjjjjj', 'jjjjjjjjjj', 'ttjjjjjjjj', 'ttttjjjjjj', 'bbjjjjjjjj', 'bbbbjjjjjj', 'jjjjjjX', '(JJ)jjjjjjX']","['jjTTjjjjjj', '33lljjjjjj', 'jjlljjjjjj', '33TTjjjjjj', 'vvjjjjjjX', 'jjjjjjLLX', 'lllljjjjjj', 'TTTTjjjjjj', 'TTlljjjjjj', 'jjjjjjLLLX', '(JJ)vvjjjjjj', '(LL)vvjjjjjj', 'vvjjjjjjLX', 'vvvvjjjjjj', 'jjjjjjLX', 'jjjjjjjjjj', '33jjjjjjjj', '3333jjjjjj', 'jjjjjjX', '(JJ)jjjjjjLX', '(JJ)jjjjjjX']"
U D D,['G'],{'jjjjjj'},-,-,{'jjjjjj'},jjjjjj,-,-,jjjjjj,['jjjjjj'],-,-,['jjjjjj']
U D D,"['H^+', 'H^0']",{'vvjjjjjj'},{'vvjjjjjj'},{'vvjjjjjj'},{'vvjjjjjj'},jjjjjjvv,jjjjjjvv,jjjjjjvv,jjjjjjvv,['vvjjjjjj'],['vvjjjjjj'],['vvjjjjjj'],['vvjjjjjj']
U D D,['q'],{'jjjjjjjj'},-,-,{'jjjjjjjj'},jjjjjjjj,-,-,jjjjjjjj,['jjjjjjjj'],-,-,['jjjjjjjj']
U D D,['d'],"{'jjjj', 'jjjjjj', 'jjjjjjjj'}",-,-,"{'jjjj', 'jjjjjj', 'jjjjjjjj'}",jjjj,-,-,jjjj,"['jjjjjj', 'jjjjjjjj', 'jjjj']",-,-,"['jjjjjj', 'jjjjjjjj', 'jjjj']"
U D D,['u'],"{'jjjj', 'jjjjjj', 'jjjjjjjj'}",-,-,"{'jjjj', 'jjjjjj', 'jjjjjjjj'}",jjjj,-,-,jjjj,"['jjjjjj', 'jjjjjjjj', 'jjjj']",-,-,"['jjjjjj', 'jjjjjjjj', 'jjjj']"
U D D,"['l', 'nu']",{'jjjjjjll'},{'jjjjjjlX'},{'jjjjjjX'},"{'jjjjjjX', 'jjjjjjlX', 'jjjjjjll'}",jjjjjjll,Xjjjjjjl,Xjjjjjj,jjjjjj,['jjjjjjll'],['jjjjjjlX'],['jjjjjjX'],"['jjjjjjlX', 'jjjjjjX', 'jjjjjjll']"
U D D,['e'],{'jjjjjjll'},-,-,{'jjjjjjll'},jjjjjjll,-,-,jjjjjjll,['jjjjjjll'],-,-,['jjjjjjll']
U D D,"['b_L', 't_L']",{'bbjjjjjj'},{'tbjjjjjj'},{'ttjjjjjj'},{'33jjjjjj'},bbjjjjjj,tbjjjjjj,ttjjjjjj,jjjjjj,['bbjjjjjj'],['tbjjjjjj'],['ttjjjjjj'],['33jjjjjj']
U D D,['t'],{'ttjjjjjj'},-,-,{'ttjjjjjj'},ttjjjjjj,-,-,ttjjjjjj,['ttjjjjjj'],-,-,['ttjjjjjj']
U D D,['b'],{'bbjjjjjj'},-,-,{'bbjjjjjj'},bbjjjjjj,-,-,bbjjjjjj,['bbjjjjjj'],-,-,['bbjjjjjj']
U D D,"['tau_L', 'nu_tau']",{'jjjjjjTT'},{'jjjjjjTX'},{'jjjjjjX'},"{'jjjjjjTX', 'jjjjjjX', 'jjjjjjTT'}",TTjjjjjj,TXjjjjjj,Xjjjjjj,jjjjjj,['jjjjjjTT'],['jjjjjjTX'],['jjjjjjX'],"['jjjjjjTX', 'jjjjjjX', 'jjjjjjTT']"
U D D,['tau'],{'jjjjjjTT'},-,-,{'jjjjjjTT'},TTjjjjjj,-,-,TTjjjjjj,['jjjjjjTT'],-,-,['jjjjjjTT']
U D_3 D,['B'],{'bbjjjj'},-,-,{'bbjjjj'},bbjjjj,-,-,bbjjjj,['bbjjjj'],-,-,['bbjjjj']
