Mother,Daughter,Nvertex,Intermediate,Signatures,Chain,Signatures (Easy-Read),All Possible Signature,Minimal Set,Minimal Set (number of elements),Minimal Set (same flavour)
B,W^+,2,H^+,vv,B -- (v) -- H^+ -- (v) -- W^+, 2v,"{'vv', 'jj', 'lX', 'TX', 'tb'}","['jj', 'tb', 'vv', 'LX']","[1, 1, 1, 2]","['jj', 'tb', 'vv', 'LX']"
B,W^+,2,H^0,vv,B -- (v) -- H^0 -- (v) -- W^+, 2v,"{'vv', 'jj', 'lX', 'TX', 'tb'}","['jj', 'tb', 'vv', 'LX']","[1, 1, 1, 2]","['jj', 'tb', 'vv', 'LX']"
B,W^+,2,q,jj,B -- (j) -- q -- (j) -- W^+, 2j_l,"{'vv', 'jj', 'lX', 'TX', 'tb'}","['jj', 'tb', 'vv', 'LX']","[1, 1, 1, 2]","['jj', 'tb', 'vv', 'LX']"
B,W^+,2,l,lX,B -- (l) -- l -- (X) -- W^+, 1l + MET,"{'vv', 'jj', 'lX', 'TX', 'tb'}","['jj', 'tb', 'vv', 'LX']","[1, 1, 1, 2]","['jj', 'tb', 'vv', 'LX']"
B,W^+,2,nu,lX,B -- (X) -- nu -- (l) -- W^+, 1l + MET,"{'vv', 'jj', 'lX', 'TX', 'tb'}","['jj', 'tb', 'vv', 'LX']","[1, 1, 1, 2]","['jj', 'tb', 'vv', 'LX']"
B,W^+,2,b_L,tb,B -- (b) -- b_L -- (t) -- W^+, 1t + 1b,"{'vv', 'jj', 'lX', 'TX', 'tb'}","['jj', 'tb', 'vv', 'LX']","[1, 1, 1, 2]","['jj', 'tb', 'vv', 'LX']"
B,W^+,2,t_L,tb,B -- (t) -- t_L -- (b) -- W^+, 1t + 1b,"{'vv', 'jj', 'lX', 'TX', 'tb'}","['jj', 'tb', 'vv', 'LX']","[1, 1, 1, 2]","['jj', 'tb', 'vv', 'LX']"
B,W^+,2,tau_L,TX,B -- (T) -- tau_L -- (X) -- W^+, 1tau + MET,"{'vv', 'jj', 'lX', 'TX', 'tb'}","['jj', 'tb', 'vv', 'LX']","[1, 1, 1, 2]","['jj', 'tb', 'vv', 'LX']"
B,W^+,2,nu_tau,TX,B -- (X) -- nu_tau -- (T) -- W^+, 1tau + MET,"{'vv', 'jj', 'lX', 'TX', 'tb'}","['jj', 'tb', 'vv', 'LX']","[1, 1, 1, 2]","['jj', 'tb', 'vv', 'LX']"
B,W^0,2,H^+,vv,B -- (v) -- H^+ -- (v) -- W^0, 2v,"{'ll', 'TT', 'vv', 'jj', 'X', 'tt', 'bb'}","['jj', 'tt', 'bb', 'll', 'TT', 'X', 'vv']","[1, 1, 1, 1, 1, 1, 1]","['(JJ)', '(LL)', 'X', 'vv']"
B,W^0,2,H^0,vv,B -- (v) -- H^0 -- (v) -- W^0, 2v,"{'ll', 'TT', 'vv', 'jj', 'X', 'tt', 'bb'}","['jj', 'tt', 'bb', 'll', 'TT', 'X', 'vv']","[1, 1, 1, 1, 1, 1, 1]","['(JJ)', '(LL)', 'X', 'vv']"
B,W^0,2,q,jj,B -- (j) -- q -- (j) -- W^0, 2j_l,"{'ll', 'TT', 'vv', 'jj', 'X', 'tt', 'bb'}","['jj', 'tt', 'bb', 'll', 'TT', 'X', 'vv']","[1, 1, 1, 1, 1, 1, 1]","['(JJ)', '(LL)', 'X', 'vv']"
B,W^0,2,l,ll,B -- (l) -- l -- (l) -- W^0, 2l,"{'ll', 'TT', 'vv', 'jj', 'X', 'tt', 'bb'}","['jj', 'tt', 'bb', 'll', 'TT', 'X', 'vv']","[1, 1, 1, 1, 1, 1, 1]","['(JJ)', '(LL)', 'X', 'vv']"
B,W^0,2,nu,X,B -- (X) -- nu -- (X) -- W^0, MET,"{'ll', 'TT', 'vv', 'jj', 'X', 'tt', 'bb'}","['jj', 'tt', 'bb', 'll', 'TT', 'X', 'vv']","[1, 1, 1, 1, 1, 1, 1]","['(JJ)', '(LL)', 'X', 'vv']"
B,W^0,2,b_L,bb,B -- (b) -- b_L -- (b) -- W^0, 2b,"{'ll', 'TT', 'vv', 'jj', 'X', 'tt', 'bb'}","['jj', 'tt', 'bb', 'll', 'TT', 'X', 'vv']","[1, 1, 1, 1, 1, 1, 1]","['(JJ)', '(LL)', 'X', 'vv']"
B,W^0,2,t_L,tt,B -- (t) -- t_L -- (t) -- W^0, 2t,"{'ll', 'TT', 'vv', 'jj', 'X', 'tt', 'bb'}","['jj', 'tt', 'bb', 'll', 'TT', 'X', 'vv']","[1, 1, 1, 1, 1, 1, 1]","['(JJ)', '(LL)', 'X', 'vv']"
B,W^0,2,tau_L,TT,B -- (T) -- tau_L -- (T) -- W^0, 2tau,"{'ll', 'TT', 'vv', 'jj', 'X', 'tt', 'bb'}","['jj', 'tt', 'bb', 'll', 'TT', 'X', 'vv']","[1, 1, 1, 1, 1, 1, 1]","['(JJ)', '(LL)', 'X', 'vv']"
B,W^0,2,nu_tau,X,B -- (X) -- nu_tau -- (X) -- W^0, MET,"{'ll', 'TT', 'vv', 'jj', 'X', 'tt', 'bb'}","['jj', 'tt', 'bb', 'll', 'TT', 'X', 'vv']","[1, 1, 1, 1, 1, 1, 1]","['(JJ)', '(LL)', 'X', 'vv']"
B,G,2,q,jj,B -- (j) -- q -- (j) -- G, 2j_l,"{'jj', 'tt', 'bb'}","['jj', 'tt', 'bb']","[1, 1, 1]",['(JJ)']
B,G,2,d,jj,B -- (j) -- d -- (j) -- G, 2j_l,"{'jj', 'tt', 'bb'}","['jj', 'tt', 'bb']","[1, 1, 1]",['(JJ)']
B,G,2,u,jj,B -- (j) -- u -- (j) -- G, 2j_l,"{'jj', 'tt', 'bb'}","['jj', 'tt', 'bb']","[1, 1, 1]",['(JJ)']
B,G,2,b_L,bb,B -- (b) -- b_L -- (b) -- G, 2b,"{'jj', 'tt', 'bb'}","['jj', 'tt', 'bb']","[1, 1, 1]",['(JJ)']
B,G,2,t_L,tt,B -- (t) -- t_L -- (t) -- G, 2t,"{'jj', 'tt', 'bb'}","['jj', 'tt', 'bb']","[1, 1, 1]",['(JJ)']
B,G,2,t,tt,B -- (t) -- t -- (t) -- G, 2t,"{'jj', 'tt', 'bb'}","['jj', 'tt', 'bb']","[1, 1, 1]",['(JJ)']
B,G,2,b,bb,B -- (b) -- b -- (b) -- G, 2b,"{'jj', 'tt', 'bb'}","['jj', 'tt', 'bb']","[1, 1, 1]",['(JJ)']
B,H^+,1,-,v,B -- (v) -- H^+, 1v,{'v'},['v'],[1],['v']
B,H^0,1,-,v,B -- (v) -- H^0, 1v,{'v'},['v'],[1],['v']
B,q,1,-,j,B -- (j) -- q, 1j_l,{'j'},['j'],[1],['j']
B,d,1,-,j,B -- (j) -- d, 1j_l,{'j'},['j'],[1],['j']
B,u,1,-,j,B -- (j) -- u, 1j_l,{'j'},['j'],[1],['j']
B,l,1,-,l,B -- (l) -- l, 1l,{'l'},['l'],[1],['l']
B,nu,1,-,X,B -- (X) -- nu, MET,{'X'},['X'],[1],['X']
B,e,1,-,l,B -- (l) -- e, 1l,{'l'},['l'],[1],['l']
B,b_L,1,-,b,B -- (b) -- b_L, 1b,{'b'},['b'],[1],['b']
B,t_L,1,-,t,B -- (t) -- t_L, 1t,{'t'},['t'],[1],['t']
B,t,1,-,t,B -- (t) -- t, 1t,{'t'},['t'],[1],['t']
B,b,1,-,b,B -- (b) -- b, 1b,{'b'},['b'],[1],['b']
B,tau_L,1,-,T,B -- (T) -- tau_L, 1tau,{'T'},['T'],[1],['T']
B,nu_tau,1,-,X,B -- (X) -- nu_tau, MET,{'X'},['X'],[1],['X']
B,tau,1,-,T,B -- (T) -- tau, 1tau,{'T'},['T'],[1],['T']
W^+,B,2,H^+,vv,W^+ -- (v) -- H^+ -- (v) -- B, 2v,"{'vv', 'jj', 'lX', 'TX', 'tb'}","['jj', 'tb', 'vv', 'LX']","[1, 1, 1, 2]","['jj', 'tb', 'vv', 'LX']"
W^+,B,2,H^0,vv,W^+ -- (v) -- H^0 -- (v) -- B, 2v,"{'vv', 'jj', 'lX', 'TX', 'tb'}","['jj', 'tb', 'vv', 'LX']","[1, 1, 1, 2]","['jj', 'tb', 'vv', 'LX']"
W^+,B,2,q,jj,W^+ -- (j) -- q -- (j) -- B, 2j_l,"{'vv', 'jj', 'lX', 'TX', 'tb'}","['jj', 'tb', 'vv', 'LX']","[1, 1, 1, 2]","['jj', 'tb', 'vv', 'LX']"
W^+,B,2,l,lX,W^+ -- (X) -- l -- (l) -- B, 1l + MET,"{'vv', 'jj', 'lX', 'TX', 'tb'}","['jj', 'tb', 'vv', 'LX']","[1, 1, 1, 2]","['jj', 'tb', 'vv', 'LX']"
W^+,B,2,nu,lX,W^+ -- (l) -- nu -- (X) -- B, 1l + MET,"{'vv', 'jj', 'lX', 'TX', 'tb'}","['jj', 'tb', 'vv', 'LX']","[1, 1, 1, 2]","['jj', 'tb', 'vv', 'LX']"
W^+,B,2,b_L,tb,W^+ -- (t) -- b_L -- (b) -- B, 1t + 1b,"{'vv', 'jj', 'lX', 'TX', 'tb'}","['jj', 'tb', 'vv', 'LX']","[1, 1, 1, 2]","['jj', 'tb', 'vv', 'LX']"
W^+,B,2,t_L,tb,W^+ -- (b) -- t_L -- (t) -- B, 1t + 1b,"{'vv', 'jj', 'lX', 'TX', 'tb'}","['jj', 'tb', 'vv', 'LX']","[1, 1, 1, 2]","['jj', 'tb', 'vv', 'LX']"
