Mother,Daughter,All Possible Signature,Minimal Set (same flavour)
B,W^+,"['jj', 'lX', 'tb', 'vv', 'TX']","['jj', 'LX', 'tb', 'vv']"
B,W^0,"['jj', 'll', 'TT', 'X', 'vv', 'bb', 'tt']","['(LL)', '(JJ)', 'X', 'vv']"
B,G,"['jj', 'bb', 'tt']",['(JJ)']
B,H^+,['v'],['v']
B,H^0,['v'],['v']
B,q,['j'],['j']
B,d,['j'],['j']
B,u,['j'],['j']
B,l,['l'],['l']
B,nu,['X'],['X']
B,e,['l'],['l']
B,b_L,['b'],['b']
B,t_L,['t'],['t']
B,t,['t'],['t']
B,b,['b'],['b']
B,tau_L,['T'],['T']
B,nu_tau,['X'],['X']
B,tau,['T'],['T']
W^+,B,"['jj', 'lX', 'tb', 'vv', 'TX']","['jj', 'LX', 'tb', 'vv']"
W^+,W^0,"['jj', 'lX', 'tb', 'vv', 'TX']","['jj', 'LX', 'tb', 'vv']"
W^+,G,"['jj', 'tb']","['jj', 'tb']"
W^+,H^+,['v'],['v']
W^+,H^0,['v'],['v']
W^+,q,['j'],['j']
W^+,d,"['jlX', 'jTX', 'jjj', 'vvj', 'tbj']","['vvj', 'jjj', 'tbj', 'jLX']"
W^+,u,"['jlX', 'jTX', 'jjj', 'vvj', 'tbj']","['vvj', 'jjj', 'tbj', 'jLX']"
W^+,l,['X'],['X']
W^+,nu,['l'],['l']
W^+,e,"['llX', 'TlX', 'vvl', 'tbl', 'jjl']","['tbl', 'jjl', 'LlX', 'vvl']"
W^+,b_L,['t'],['t']
W^+,t_L,['b'],['b']
W^+,t,"['vt', 'vb']",['v3']
W^+,b,"['vt', 'vb']",['v3']
W^+,tau_L,['X'],['X']
W^+,nu_tau,['T'],['T']
W^+,tau,"['tbT', 'vvT', 'TlX', 'TTX', 'jjT']","['LTX', 'tbT', 'vvT', 'jjT']"
W^0,B,"['jj', 'll', 'TT', 'X', 'vv', 'bb', 'tt']","['(LL)', '(JJ)', 'X', 'vv']"
W^0,W^+,"['jj', 'lX', 'tb', 'vv', 'TX']","['jj', 'LX', 'tb', 'vv']"
W^0,G,"['jj', 'bb', 'tt']",['(JJ)']
W^0,H^+,['v'],['v']
W^0,H^0,['v'],['v']
W^0,q,['j'],['j']
W^0,d,"['jX', 'jjj', 'ttj', 'vvj', 'jll', 'bbj', 'jTT']","['vvj', '(LL)j', '(JJ)j', 'jX']"
W^0,u,"['jX', 'jjj', 'ttj', 'vvj', 'jll', 'bbj', 'jTT']","['vvj', '(LL)j', '(JJ)j', 'jX']"
W^0,l,['l'],['l']
W^0,nu,['X'],['X']
W^0,e,"['lll', 'lX', 'vvl', 'bbl', 'TTl', 'ttl', 'jjl']","['(LL)l', 'lX', '(JJ)l', 'vvl']"
W^0,b_L,['b'],['b']
W^0,t_L,['t'],['t']
W^0,t,"['vt', 'vb']",['v3']
W^0,b,"['vt', 'vb']",['v3']
W^0,tau_L,['T'],['T']
W^0,nu_tau,['X'],['X']
W^0,tau,"['bbT', 'vvT', 'ttT', 'TTT', 'jjT', 'Tll', 'TX']","['(JJ)T', '(LL)T', 'vvT', 'TX']"
G,B,"['jj', 'bb', 'tt']",['(JJ)']
G,W^+,"['jj', 'tb']","['jj', 'tb']"
G,W^0,"['jj', 'bb', 'tt']",['(JJ)']
G,H^+,['tb'],['tb']
G,H^0,"['bb', 'tt']","['bb', 'tt']"
G,q,['j'],['j']
G,d,['j'],['j']
G,u,['j'],['j']
G,l,"['bbl', 'ttl', 'jjl', 'tbX', 'jjX']","['tbX', '(JJ)l', 'jjX']"
G,nu,"['ttX', 'tbl', 'jjl', 'bbX', 'jjX']","['tbl', 'jjl', '(JJ)X']"
G,e,"['ttl', 'jjl', 'bbl']",['(JJ)l']
G,b_L,['b'],['b']
G,t_L,['t'],['t']
G,t,['t'],['t']
G,b,['b'],['b']
G,tau_L,"['bbT', 'ttT', 'jjT', 'tbX', 'jjX']","['(JJ)T', 'tbX', 'jjX']"
G,nu_tau,"['ttX', 'tbT', 'jjX', 'bbX', 'jjT']","['tbT', '(JJ)X', 'jjT']"
G,tau,"['bbT', 'ttT', 'jjT']",['(JJ)T']
H^+,B,['v'],['v']
H^+,W^+,['v'],['v']
H^+,W^0,['v'],['v']
H^+,G,['tb'],['tb']
H^+,H^0,"['tb', 'vv']","['tb', 'vv']"
H^+,q,['vj'],['vj']
H^+,d,['vj'],['vj']
H^+,u,['vj'],['vj']
H^+,l,"['vl', 'vX']","['vl', 'vX']"
H^+,nu,"['vl', 'vX']","['vl', 'vX']"
H^+,e,['vl'],['vl']
H^+,b_L,['t'],['t']
H^+,t_L,['b'],['b']
H^+,t,['b'],['b']
H^+,b,['t'],['t']
H^+,tau_L,"['vT', 'vX']","['vX', 'vT']"
H^+,nu_tau,"['vX', 'vT']","['vX', 'vT']"
H^+,tau,['vT'],['vT']
H^0,B,['v'],['v']
H^0,W^+,['v'],['v']
H^0,W^0,['v'],['v']
H^0,G,"['bb', 'tt']","['bb', 'tt']"
H^0,H^+,"['tb', 'vv']","['tb', 'vv']"
H^0,q,['vj'],['vj']
H^0,d,['vj'],['vj']
H^0,u,['vj'],['vj']
H^0,l,"['vl', 'vX']","['vl', 'vX']"
H^0,nu,"['vl', 'vX']","['vl', 'vX']"
H^0,e,['vl'],['vl']
H^0,b_L,['b'],['b']
H^0,t_L,['t'],['t']
H^0,t,['t'],['t']
H^0,b,['b'],['b']
H^0,tau_L,"['vT', 'vX']","['vX', 'vT']"
H^0,nu_tau,"['vX', 'vT']","['vX', 'vT']"
H^0,tau,['vT'],['vT']
q,B,['j'],['j']
q,W^+,['j'],['j']
q,W^0,['j'],['j']
q,G,['j'],['j']
q,H^+,['vj'],['vj']
q,H^0,['vj'],['vj']
q,d,['jj'],['jj']
q,u,['jj'],['jj']
q,l,"['jl', 'jX']","['jl', 'jX']"
q,nu,"['jl', 'jX']","['jl', 'jX']"
q,e,['jl'],['jl']
q,b_L,"['bj', 'tj']",['3j']
q,t_L,"['bj', 'tj']",['3j']
q,t,['tj'],['tj']
q,b,['bj'],['bj']
q,tau_L,"['jT', 'jX']","['jT', 'jX']"
q,nu_tau,"['jT', 'jX']","['jT', 'jX']"
q,tau,['jT'],['jT']
d,B,['j'],['j']
d,W^+,"['jlX', 'jTX', 'jjj', 'vvj', 'tbj']","['vvj', 'jjj', 'tbj', 'jLX']"
d,W^0,"['jX', 'jjj', 'ttj', 'vvj', 'jll', 'bbj', 'jTT']","['vvj', '(LL)j', '(JJ)j', 'jX']"
d,G,['j'],['j']
d,H^+,['vj'],['vj']
d,H^0,['vj'],['vj']
d,q,['jj'],['jj']
d,u,['jj'],['jj']
d,l,['jl'],['jl']
d,nu,['jX'],['jX']
d,e,['jl'],['jl']
d,b_L,['bj'],['bj']
d,t_L,['tj'],['tj']
d,t,['tj'],['tj']
d,b,['bj'],['bj']
d,tau_L,['jT'],['jT']
d,nu_tau,['jX'],['jX']
d,tau,['jT'],['jT']
u,B,['j'],['j']
u,W^+,"['jlX', 'jTX', 'jjj', 'vvj', 'tbj']","['vvj', 'jjj', 'tbj', 'jLX']"
u,W^0,"['jX', 'jjj', 'ttj', 'vvj', 'jll', 'bbj', 'jTT']","['vvj', '(LL)j', '(JJ)j', 'jX']"
u,G,['j'],['j']
u,H^+,['vj'],['vj']
u,H^0,['vj'],['vj']
u,q,['jj'],['jj']
u,d,['jj'],['jj']
u,l,['jl'],['jl']
u,nu,['jX'],['jX']
u,e,['jl'],['jl']
u,b_L,['bj'],['bj']
u,t_L,['tj'],['tj']
u,t,['tj'],['tj']
u,b,['bj'],['bj']
u,tau_L,['jT'],['jT']
u,nu_tau,['jX'],['jX']
u,tau,['jT'],['jT']
l,B,['l'],['l']
l,W^+,['X'],['X']
l,W^0,['l'],['l']
l,G,"['bbl', 'ttl', 'jjl', 'tbX', 'jjX']","['tbX', '(JJ)l', 'jjX']"
l,H^+,"['vl', 'vX']","['vl', 'vX']"
l,H^0,"['vl', 'vX']","['vl', 'vX']"
l,q,"['jl', 'jX']","['jl', 'jX']"
l,d,['jl'],['jl']
l,u,['jl'],['jl']
l,nu,['lX'],['lX']
l,e,['ll'],['ll']
l,b_L,"['tX', 'bl']","['tX', 'bl']"
l,t_L,"['tl', 'bX']","['tl', 'bX']"
l,t,['tl'],['tl']
l,b,['bl'],['bl']
l,tau_L,"['Tl', 'X']","['Tl', 'X']"
l,nu_tau,"['lX', 'TX']",['LX']
l,tau,['Tl'],['Tl']
nu,B,['X'],['X']
nu,W^+,['l'],['l']
nu,W^0,['X'],['X']
nu,G,"['ttX', 'tbl', 'jjl', 'bbX', 'jjX']","['tbl', 'jjl', '(JJ)X']"
nu,H^+,"['vl', 'vX']","['vl', 'vX']"
nu,H^0,"['vl', 'vX']","['vl', 'vX']"
nu,q,"['jl', 'jX']","['jl', 'jX']"
nu,d,['jX'],['jX']
nu,u,['jX'],['jX']
nu,l,['lX'],['lX']
nu,e,['lX'],['lX']
nu,b_L,"['tl', 'bX']","['tl', 'bX']"
nu,t_L,"['tX', 'bl']","['tX', 'bl']"
nu,t,['tX'],['tX']
nu,b,['bX'],['bX']
nu,tau_L,"['lX', 'TX']",['LX']
nu,nu_tau,"['Tl', 'X']","['Tl', 'X']"
nu,tau,['TX'],['TX']
e,B,['l'],['l']
e,W^+,"['llX', 'TlX', 'vvl', 'tbl', 'jjl']","['tbl', 'jjl', 'LlX', 'vvl']"
e,W^0,"['lll', 'lX', 'vvl', 'bbl', 'TTl', 'ttl', 'jjl']","['(LL)l', 'lX', '(JJ)l', 'vvl']"
e,G,"['ttl', 'jjl', 'bbl']",['(JJ)l']
e,H^+,['vl'],['vl']
e,H^0,['vl'],['vl']
e,q,['jl'],['jl']
e,d,['jl'],['jl']
e,u,['jl'],['jl']
e,l,['ll'],['ll']
e,nu,['lX'],['lX']
e,b_L,['bl'],['bl']
e,t_L,['tl'],['tl']
e,t,['tl'],['tl']
e,b,['bl'],['bl']
e,tau_L,['Tl'],['Tl']
e,nu_tau,['lX'],['lX']
e,tau,['Tl'],['Tl']
b_L,B,['b'],['b']
b_L,W^+,['t'],['t']
b_L,W^0,['b'],['b']
b_L,G,['b'],['b']
b_L,H^+,['t'],['t']
b_L,H^0,['b'],['b']
b_L,q,"['bj', 'tj']",['3j']
b_L,d,['bj'],['bj']
b_L,u,['bj'],['bj']
b_L,l,"['tX', 'bl']","['tX', 'bl']"
b_L,nu,"['tl', 'bX']","['tl', 'bX']"
b_L,e,['bl'],['bl']
b_L,t_L,['tb'],['tb']
b_L,t,['tb'],['tb']
b_L,b,"['bb', 'tt']","['bb', 'tt']"
b_L,tau_L,"['bT', 'tX']","['bT', 'tX']"
b_L,nu_tau,"['bX', 'tT']","['bX', 'tT']"
b_L,tau,['bT'],['bT']
t_L,B,['t'],['t']
t_L,W^+,['b'],['b']
t_L,W^0,['t'],['t']
t_L,G,['t'],['t']
t_L,H^+,['b'],['b']
t_L,H^0,['t'],['t']
t_L,q,"['bj', 'tj']",['3j']
t_L,d,['tj'],['tj']
t_L,u,['tj'],['tj']
t_L,l,"['tl', 'bX']","['tl', 'bX']"
t_L,nu,"['tX', 'bl']","['tX', 'bl']"
t_L,e,['tl'],['tl']
t_L,b_L,['tb'],['tb']
t_L,t,"['bb', 'tt']","['bb', 'tt']"
t_L,b,['tb'],['tb']
t_L,tau_L,"['bX', 'tT']","['bX', 'tT']"
t_L,nu_tau,"['bT', 'tX']","['bT', 'tX']"
t_L,tau,['tT'],['tT']
t,B,['t'],['t']
t,W^+,"['vt', 'vb']",['v3']
t,W^0,"['vt', 'vb']",['v3']
t,G,['t'],['t']
t,H^+,['b'],['b']
t,H^0,['t'],['t']
t,q,['tj'],['tj']
t,d,['tj'],['tj']
t,u,['tj'],['tj']
t,l,['tl'],['tl']
t,nu,['tX'],['tX']
t,e,['tl'],['tl']
t,b_L,['tb'],['tb']
t,t_L,"['bb', 'tt']","['bb', 'tt']"
t,b,['tb'],['tb']
t,tau_L,['tT'],['tT']
t,nu_tau,['tX'],['tX']
t,tau,['tT'],['tT']
b,B,['b'],['b']
b,W^+,"['vt', 'vb']",['v3']
b,W^0,"['vt', 'vb']",['v3']
b,G,['b'],['b']
b,H^+,['t'],['t']
b,H^0,['b'],['b']
b,q,['bj'],['bj']
b,d,['bj'],['bj']
b,u,['bj'],['bj']
b,l,['bl'],['bl']
b,nu,['bX'],['bX']
b,e,['bl'],['bl']
b,b_L,"['bb', 'tt']","['bb', 'tt']"
b,t_L,['tb'],['tb']
b,t,['tb'],['tb']
b,tau_L,['bT'],['bT']
b,nu_tau,['bX'],['bX']
b,tau,['bT'],['bT']
tau_L,B,['T'],['T']
